Table 1-3,,,,,,,,,,,,,,
"Research doctorate recipients, by historical major field of doctorate: Selected years, 1991–2021",,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,
Field of doctorate,1991,,1996,,2001,,2006,,2011,,2016,,2021,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
All fields,"37,530",100.0,"42,437",100.0,"40,744",100.0,"45,620",100.0,"48,909",100.0,"54,809",100.0,"52,250",100.0
Life sciences,"6,967",18.6,"8,337",19.6,"8,369",20.5,"9,703",21.3,"11,535",23.6,"12,539",22.9,"11,814",22.6
Agricultural sciences and natural resources,"1,277",3.4,"1,289",3.0,"1,132",2.8,"1,146",2.5,"1,206",2.5,"1,379",2.5,"1,334",2.6
Biological and biomedical sciences,"4,649",12.4,"5,724",13.5,"5,697",14.0,"6,652",14.6,"8,152",16.7,"8,863",16.2,"8,149",15.6
Health sciences,"1,041",2.8,"1,324",3.1,"1,540",3.8,"1,905",4.2,"2,177",4.5,"2,297",4.2,"2,331",4.5
Physical sciences and earth sciences,"4,406",11.7,"4,550",10.7,"4,024",9.9,"4,686",10.3,"5,271",10.8,"6,251",11.4,"5,757",11.0
Chemistry,"2,194",5.8,"2,149",5.1,"1,981",4.9,"2,364",5.2,"2,432",5.0,"2,703",4.9,"2,555",4.9
"Geosciences, atmospheric sciences, and ocean sciences",801,2.1,724,1.7,660,1.6,757,1.7,852,1.7,"1,227",2.2,"1,064",2.0
Physics and astronomy,"1,411",3.8,"1,677",4.0,"1,383",3.4,"1,565",3.4,"1,987",4.1,"2,321",4.2,"2,138",4.1
Mathematics and computer sciences,"1,838",4.9,"2,042",4.8,"1,840",4.5,"2,778",6.1,"3,273",6.7,"3,954",7.2,"4,373",8.4
Computer and information sciences,800,2.1,920,2.2,830,2.0,"1,453",3.2,"1,667",3.4,"2,082",3.8,"2,361",4.5
Mathematics and statistics,"1,038",2.8,"1,122",2.6,"1,010",2.5,"1,325",2.9,"1,606",3.3,"1,872",3.4,"2,012",3.9
