Table 1-5,,,,,,,,,,,,
"Research doctorate recipients, by historical major field of doctorate and sex: 2011–21",,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,
Field and sex,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% change 2011–21
All doctorate recipientsa,"48,909","50,943","52,703","53,986","54,886","54,809","54,552","55,080","55,609","55,224","52,250",6.8
Life sciences,"11,535","11,964","12,207","12,484","12,493","12,539","12,554","12,754","12,748","12,549","11,814",2.4
Agricultural sciences and natural resources,"1,206","1,255","1,324","1,338","1,434","1,379","1,493","1,442","1,488","1,470","1,334",10.6
Biological and biomedical sciences,"8,152","8,322","8,354","8,868","8,783","8,863","8,566","8,782","8,678","8,410","8,149",0.0
Health sciences,"2,177","2,387","2,529","2,278","2,276","2,297","2,495","2,530","2,582","2,669","2,331",7.1
Physical sciences and earth sciences,"5,271","5,419","5,584","5,910","5,916","6,251","6,082","6,330","6,579","6,241","5,757",9.2
Chemistry,"2,432","2,416","2,484","2,673","2,666","2,703","2,699","2,807","2,939","2,761","2,555",5.1
"Geosciences, atmospheric sciences, and ocean sciences",852,941,989,"1,098","1,057","1,227","1,169","1,185","1,272","1,241","1,064",24.9
Physics and astronomy,"1,987","2,062","2,111","2,139","2,193","2,321","2,214","2,338","2,368","2,239","2,138",7.6
Mathematics and computer sciences,"3,273","3,496","3,660","3,862","3,818","3,954","3,842","4,022","4,230","4,387","4,373",33.6
Computer and information sciences,"1,667","1,793","1,843","1,988","2,003","2,082","1,998","2,000","2,220","2,363","2,361",41.6
Mathematics and statistics,"1,606","1,703","1,817","1,874","1,815","1,872","1,844","2,022","2,010","2,024","2,012",25.3
Psychology and social sciences,"8,220","8,498","8,580","8,748","9,073","9,037","9,034","8,876","9,043","8,932","8,675",5.5
Psychology,"3,576","3,599","3,592","3,724","3,776","3,910","3,925","3,821","3,909","3,871","3,797",6.2
Anthropology,553,547,550,523,492,460,446,424,445,447,400,-27.7
Economics,"1,121","1,243","1,183","1,196","1,255","1,236","1,239","1,245","1,247","1,212","1,230",9.7
Political science and government,685,724,803,775,859,745,743,734,707,636,581,-15.2
Sociology,656,633,636,678,741,613,683,668,632,606,560,-14.6
Other social sciences,"1,629","1,752","1,816","1,852","1,950","2,073","1,998","1,984","2,103","2,160","2,107",29.3
Engineering,"8,032","8,469","9,000","9,626","9,875","9,459","9,776","10,164","10,298","10,471","10,240",27.5
"Aerospace, aeronautical, and astronautical engineering",262,307,348,386,361,370,379,383,379,399,373,42.4
Bioengineering and biomedical engineering,898,943,"1,039","1,046","1,125","1,089","1,032","1,133","1,163","1,082","1,064",18.5
Chemical engineering,823,840,824,973,"1,002",921,931,981,980,994,"1,024",24.4
Civil engineering,634,495,542,617,632,564,713,675,700,795,621,-2.1
"Electrical, electronics, and communications engineering","1,886","1,938","1,897","1,952","1,997","1,823","1,879","1,943","1,799","1,973","2,081",10.3
Industrial and manufacturing engineering,258,226,241,298,243,256,249,272,234,304,361,39.9
Materials science engineering,662,743,815,832,871,984,937,992,992,879,936,41.4
Mechanical engineering,"1,084","1,220","1,277","1,331","1,466","1,297","1,398","1,503","1,532","1,633","1,444",33.2
Other engineering,"1,525","1,757","2,017","2,191","2,178","2,155","2,258","2,282","2,519","2,412","2,336",53.2
Education,"4,670","4,802","4,934","4,789","5,098","5,146","4,826","4,818","4,633","4,715","4,252",-9.0
Education administration,924,"1,057",965,893,920,824,922,895,839,931,710,-23.2
Education research,"2,378","2,516","2,638","2,490","2,717","2,328","2,373","2,457","2,253","2,275","2,167",-8.9
Teacher education,204,156,109,152,156,180,114,96,104,113,111,-45.6
Teaching fields,805,757,892,915,953,"1,166",925,959,957,939,797,-1.0
Other education,359,316,330,339,352,648,492,411,480,457,467,30.1
Humanities and arts,"5,225","5,561","5,715","5,524","5,594","5,482","5,286","5,139","5,051","4,924","4,137",-20.8
Foreign languages and literature,644,684,701,674,656,599,618,617,610,564,377,-41.5
History,"1,065","1,086","1,148","1,186","1,146","1,148","1,058",948,912,884,725,-31.9
Letters,"1,513","1,638","1,606","1,551","1,583","1,531","1,462","1,439","1,386","1,389","1,192",-21.2
Other humanities and arts,"2,003","2,153","2,260","2,113","2,209","2,204","2,148","2,135","2,143","2,087","1,843",-8.0
Other,"2,683","2,734","3,023","3,043","3,019","2,941","3,152","2,977","3,027","3,005","3,002",11.9
Business management and administration,"1,327","1,404","1,551","1,584","1,582","1,509","1,565","1,473","1,533","1,468","1,392",4.9
Communication,650,595,645,663,667,672,622,630,543,591,507,-22.0
Non-science and engineering fields nec,706,735,827,796,770,760,965,874,951,946,"1,103",56.2
