,All doctorate recipientsa,Life sciences,Agricultural sciences and natural resources,Biological and biomedical sciences,Health sciences,Physical sciences and earth sciences,Chemistry,"Geosciences, atmospheric sciences, and ocean sciences",Physics and astronomy,Mathematics and computer sciences,Computer and information sciences,Mathematics and statistics,Psychology and social sciences,Psychology,Anthropology,Economics,Political science and government,Sociology,Other social sciences,Engineering,"Aerospace, aeronautical, and astronautical engineering",Bioengineering and biomedical engineering,Chemical engineering,Civil engineering,"Electrical, electronics, and communications engineering",Industrial and manufacturing engineering,Materials science engineering,Mechanical engineering,Other engineering,Education,Education administration,Education research,Teacher education,Teaching fields,Other education,Humanities and arts,Foreign languages and literature,History,Letters,Other humanities and arts,Other,Business management and administration,Communication,Non-science and engineering fields nec
2011,48909,11535,1206,8152,2177,5271,2432,852,1987,3273,1667,1606,8220,3576,553,1121,685,656,1629,8032,262,898,823,634,1886,258,662,1084,1525,4670,924,2378,204,805,359,5225,644,1065,1513,2003,2683,1327,650,706
2012,50943,11964,1255,8322,2387,5419,2416,941,2062,3496,1793,1703,8498,3599,547,1243,724,633,1752,8469,307,943,840,495,1938,226,743,1220,1757,4802,1057,2516,156,757,316,5561,684,1086,1638,2153,2734,1404,595,735
2013,52703,12207,1324,8354,2529,5584,2484,989,2111,3660,1843,1817,8580,3592,550,1183,803,636,1816,9000,348,1039,824,542,1897,241,815,1277,2017,4934,965,2638,109,892,330,5715,701,1148,1606,2260,3023,1551,645,827
2014,53986,12484,1338,8868,2278,5910,2673,1098,2139,3862,1988,1874,8748,3724,523,1196,775,678,1852,9626,386,1046,973,617,1952,298,832,1331,2191,4789,893,2490,152,915,339,5524,674,1186,1551,2113,3043,1584,663,796
2015,54886,12493,1434,8783,2276,5916,2666,1057,2193,3818,2003,1815,9073,3776,492,1255,859,741,1950,9875,361,1125,1002,632,1997,243,871,1466,2178,5098,920,2717,156,953,352,5594,656,1146,1583,2209,3019,1582,667,770
2016,54809,12539,1379,8863,2297,6251,2703,1227,2321,3954,2082,1872,9037,3910,460,1236,745,613,2073,9459,370,1089,921,564,1823,256,984,1297,2155,5146,824,2328,180,1166,648,5482,599,1148,1531,2204,2941,1509,672,760
2017,54552,12554,1493,8566,2495,6082,2699,1169,2214,3842,1998,1844,9034,3925,446,1239,743,683,1998,9776,379,1032,931,713,1879,249,937,1398,2258,4826,922,2373,114,925,492,5286,618,1058,1462,2148,3152,1565,622,965
2018,55080,12754,1442,8782,2530,6330,2807,1185,2338,4022,2000,2022,8876,3821,424,1245,734,668,1984,10164,383,1133,981,675,1943,272,992,1503,2282,4818,895,2457,96,959,411,5139,617,948,1439,2135,2977,1473,630,874
2019,55609,12748,1488,8678,2582,6579,2939,1272,2368,4230,2220,2010,9043,3909,445,1247,707,632,2103,10298,379,1163,980,700,1799,234,992,1532,2519,4633,839,2253,104,957,480,5051,610,912,1386,2143,3027,1533,543,951
2020,55224,12549,1470,8410,2669,6241,2761,1241,2239,4387,2363,2024,8932,3871,447,1212,636,606,2160,10471,399,1082,994,795,1973,304,879,1633,2412,4715,931,2275,113,939,457,4924,564,884,1389,2087,3005,1468,591,946
2021,52250,11814,1334,8149,2331,5757,2555,1064,2138,4373,2361,2012,8675,3797,400,1230,581,560,2107,10240,373,1064,1024,621,2081,361,936,1444,2336,4252,710,2167,111,797,467,4137,377,725,1192,1843,3002,1392,507,1103
