Table 1-9,,,,,,,,,,,
"Male research doctorate recipients, by ethnicity, race, and citizenship status: 2011–21",,,,,,,,,,,
(Number),,,,,,,,,,,
"Ethnicity, race, and citizenship status",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Male doctorate recipients,"26,188","27,362","28,326","29,008","29,532","29,572","29,446","29,743","30,111","29,855","28,082"
U.S. citizen or permanent resident,"15,396","16,072","16,550","16,660","17,218","17,530","17,565","17,312","17,263","16,776","15,231"
Temporary visa holder,"9,179","9,556","10,103","10,204","10,395","10,671","10,601","11,308","11,767","11,870","11,399"
Unknown citizenship,"1,613","1,734","1,673","2,144","1,919","1,371","1,280","1,123","1,081","1,209","1,452"
Hispanic or Latino,"1,494","1,549","1,523","1,588","1,758","1,766","1,805","1,865","2,011","2,047","2,005"
U.S. citizen or permanent resident,893,948,905,999,"1,119","1,134","1,152","1,196","1,302","1,266","1,279"
Temporary visa holder,598,599,612,580,634,630,634,666,706,778,724
Unknown citizenship,3,2,6,9,5,2,19,3,3,3,2
Not Hispanic or Latino,,,,,,,,,,,
American Indian or Alaska Native,56,42,62,54,64,63,49,44,58,39,40
U.S. citizen or permanent resident,50,41,56,49,58,57,48,43,56,39,38
Temporary visa holdera,D,D,D,D,D,6,D,D,D,0,D
Unknown citizenship,D,D,D,D,D,0,D,D,D,0,D
Asian,"7,407","7,730","8,038","8,091","8,235","8,538","8,670","8,902","9,182","9,192","8,930"
U.S. citizen or permanent resident,"1,263","1,312","1,264","1,243","1,359","1,432","1,656","1,562","1,626","1,535","1,442"
Temporary visa holder,"6,131","6,405","6,761","6,842","6,867","7,081","6,998","7,315","7,532","7,638","7,474"
Unknown citizenship,13,13,13,6,9,25,16,25,24,19,14
Black or African American,917,"1,047","1,101","1,151","1,113","1,205","1,205","1,324","1,261","1,317","1,243"
U.S. citizen or permanent resident,666,741,801,821,807,863,850,923,893,917,879
Temporary visa holder,248,303,297,329,306,341,347,398,365,396,358
Unknown citizenship,3,3,3,1,0,1,8,3,3,4,6
White,"13,601","14,041","14,608","14,624","15,101","15,155","14,950","14,982","14,887","14,568","12,867"
U.S. citizen or permanent resident,"11,737","12,168","12,582","12,590","12,978","13,033","12,667","12,608","12,366","12,087","10,670"
Temporary visa holder,"1,838","1,859","2,005","2,021","2,101","2,103","2,246","2,360","2,477","2,449","2,182"
Unknown citizenship,26,14,21,13,22,19,37,14,44,32,15
More than one race,381,384,432,451,436,511,517,556,588,607,550
U.S. citizen or permanent resident,346,347,388,411,394,455,462,485,495,531,485
Temporary visa holder,35,37,44,40,42,56,D,D,D,76,D
Unknown citizenship,0,0,0,0,0,0,D,D,D,0,D
Other race or race not reported,273,260,243,249,291,278,476,528,521,478,584
U.S. citizen or permanent resident,136,148,148,162,152,149,269,215,207,175,209
Temporary visa holder,D,D,D,D,D,118,191,305,298,293,350
Unknown citizenship,D,D,D,D,D,11,16,8,16,10,25
Ethnicity not reported,"2,059","2,309","2,319","2,800","2,534","2,056","1,774","1,542","1,603","1,607","1,863"
U.S. citizen or permanent resident,305,367,406,385,351,407,461,280,318,226,229
Temporary visa holder,189,243,290,305,320,336,129,192,294,240,244
Unknown citizenship,"1,565","1,699","1,623","2,110","1,863","1,313","1,184","1,070",991,"1,141","1,390"
