"Median years to research doctorate, by historical major field of doctorate: Selected years, 1971–2021",,,,,,,,,,,
Field and time to degree,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
All fields,6.7,7.7,7.9,8.7,8.7,8.7,8.3,8,7.7,7.3,7.3
Life sciences,5.7,6.2,6.4,7.2,7.7,7.9,7.3,7,6.9,6.7,6.8
Agricultural sciences and natural resources,6.2,6.7,6.5,7.7,8.3,8.7,8.7,8,8,7.3,7.3
Biological and biomedical sciences,5.7,6.1,6.2,6.7,6.9,7.2,6.7,6.7,6.7,6.4,6.4
Health sciences,6.7,7.5,8.7,10,11.2,11.7,10.7,9.7,9.3,8.7,8.8
Physical sciences and earth sciences,5.7,5.9,5.9,6.2,6.7,6.8,6.6,6.5,6.6,6.1,6
Chemistry,5.1,5.7,5.2,5.7,5.8,6.2,5.9,5.9,6,5.7,5.8
"Geosciences, atmospheric sciences, and ocean sciences",6.7,6.7,7.2,7.7,8,9.2,8.2,7.7,7.7,6.9,6.8
Physics and astronomy,6,6.5,6.3,6.5,6.7,6.9,6.7,6.8,6.7,6.4,6.3
Mathematics and computer sciences,5.7,6.2,6.2,6.9,7.2,7.7,7.2,7.2,6.9,6.9,6.8
Computer and information sciences,-,-,6.7,7.6,7.7,8.2,7.9,7.8,7.7,7.6,7.3
Mathematics and statistics,5.7,6.2,6.2,6.6,6.9,7.1,6.8,6.7,6.2,6.1,6.2
Psychology and social sciences,6.7,6.7,7.7,8.7,8.7,8.2,7.9,8,7.8,7.9,7.8
Psychology,5.7,5.9,7.1,8.2,8.2,7.7,7.2,7,6.9,7,7
Anthropology,7.7,7.9,8.7,10.2,10.7,10.2,9.7,10.3,9.6,9.3,9.6
Economics,6.5,6.7,6.9,7.2,7.7,7.7,7,7.2,7,7,7.7
Political science and government,7.2,8.1,8.7,9.2,9.5,8.3,8.7,9.2,8.3,8.2,7.9
Sociology,7.7,7.7,9.1,9.9,9.9,9.5,8.9,9.3,8.9,8.9,8.8
Other social sciences,7.7,8.2,8.7,9.9,9.9,9.8,9.9,9.3,9.3,9.3,9.3
Engineering,6,6.4,6.7,6.7,6.9,7.2,7.1,7,6.8,6.5,6.6
"Aerospace, aeronautical, and astronautical engineering",5.7,6.9,8.5,8.2,6.9,7.2,7.7,6.7,6.6,6.7,6.3
Bioengineering and biomedical engineering,6.2,6.2,6.7,7.8,7,7.2,7,6.3,6.3,6,6.3
Chemical engineering,5.2,5.7,5.7,5.7,5.9,6.1,5.7,5.8,5.7,5.6,5.7
Civil engineering,6.4,6.7,6.7,6.9,7.1,8.3,7.7,7.8,7.7,7,7.7
"Electrical, electronics, and communications engineering",-,-,-,6.6,6.7,7.2,7.2,7.2,7,7,7
Industrial and manufacturing engineering,7.2,6.2,7.7,6.9,7.7,7.9,7.7,7.9,8,7.1,7.8
Materials science engineering,5.9,6.6,6.1,6.7,6.7,6.7,6.7,6.5,6.3,5.7,5.8
Mechanical engineering,6.2,6.7,6.4,6.7,7.2,7.2,7.2,7,7,6.6,6.7
Other engineering,6.1,6.4,6.7,6.9,7.5,7.9,7.4,7.3,7.3,7,6.9
Education,10.1,10.2,10.9,13.2,15.2,15.9,13.9,12.7,11.7,11.7,11.7
Education administration,11.7,12.7,12.7,14.7,16.9,19.2,16.7,14.7,14.9,15.3,14.3
Education research,8.9,9.5,10.7,12.7,14.7,14.7,12.7,11.7,10.7,11,10.9
Teacher education,11,10.1,10.9,13.7,15.3,15.7,14.7,13.3,12,13.3,12.4
Teaching fields,9.7,9.9,10.2,11.9,12.7,12.9,11.9,11.3,11.7,11.2,11.4
Other education,11.2,10.2,10.9,12.7,14.3,14.7,13.8,12.7,11.2,12.3,11.8
Humanities and arts,8,8.7,9.7,10.7,10.7,9.9,9.7,9.7,9.3,9.3,9.6
Foreign languages and literature,7.7,9,9.9,10.7,10.2,9.2,9,9.7,9.2,8.7,9.9
History,7.7,8.9,9.7,10.6,10.3,9.7,9.7,9.7,9.2,9.2,9.3
Letters,7.7,8.7,9.2,10.7,9.9,9.2,9.2,9.2,8.9,9,9
Other humanities and arts,9.2,9.1,9.7,10.7,11.1,10.7,10.3,9.8,9.9,9.7,9.8
Other,7.9,8.2,8.9,10.2,10.7,10.2,10.7,9.8,9.3,9,9.1
Business management and administration,7,7.7,8.2,9.7,9.4,9.7,10.1,9.2,9.1,8.7,8.7
Communication,9.3,7.3,8.2,9.7,10.2,8.7,9.6,9,8.3,8.3,8.3
Non-science and engineering fields nec,11.7,9.7,10.3,12.2,13.7,13.7,13.7,11.5,11.2,10.6,10.5
