Table 1-12,,,,,,,,,,,
"Median years to research doctorate, by historical major field of doctorate: Selected years, 1971–2021",,,,,,,,,,,
(Median years),,,,,,,,,,,
Field and time to degree,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
All fields,,,,,,,,,,,
Since earning bachelor's,8.0,8.7,9.5,10.5,10.5,10.8,10.2,9.6,9.1,8.8,8.7
Since starting graduate school,6.7,7.7,7.9,8.7,8.7,8.7,8.3,8.0,7.7,7.3,7.3
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.7
Life sciences,,,,,,,,,,,
Since earning bachelor's,6.9,7.3,7.5,8.7,9.2,9.6,9.0,8.6,8.6,8.2,8.3
Since starting graduate school,5.7,6.2,6.4,7.2,7.7,7.9,7.3,7.0,6.9,6.7,6.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.4
Agricultural sciences and natural resources,,,,,,,,,,,
Since earning bachelor's,7.9,8.2,8.2,9.3,10.4,11.5,10.7,9.7,9.7,9.0,8.5
Since starting graduate school,6.2,6.7,6.5,7.7,8.3,8.7,8.7,8.0,8.0,7.3,7.3
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.1,5.0
Biological and biomedical sciences,,,,,,,,,,,
Since earning bachelor's,6.5,7.0,7.0,8.0,8.4,8.7,8.2,8.0,8.0,7.7,8.0
Since starting graduate school,5.7,6.1,6.2,6.7,6.9,7.2,6.7,6.7,6.7,6.4,6.4
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.7
Health sciences,,,,,,,,,,,
Since earning bachelor's,8.5,8.8,10.0,12.0,14.0,14.4,13.7,12.4,11.9,11.3,11.0
Since starting graduate school,6.7,7.5,8.7,10.0,11.2,11.7,10.7,9.7,9.3,8.7,8.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.3,5.0
Physical sciences and earth sciences,,,,,,,,,,,
Since earning bachelor's,6.2,6.9,6.7,7.2,7.6,8.0,7.5,7.4,7.4,6.9,6.9
Since starting graduate school,5.7,5.9,5.9,6.2,6.7,6.8,6.6,6.5,6.6,6.1,6.0
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.5
Chemistry,,,,,,,,,,,
Since earning bachelor's,5.7,6.3,6.0,6.6,6.9,7.3,6.8,6.9,6.9,6.3,6.3
Since starting graduate school,5.1,5.7,5.2,5.7,5.8,6.2,5.9,5.9,6.0,5.7,5.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.3,5.3
"Geosciences, atmospheric sciences, and ocean sciences",,,,,,,,,,,
Since earning bachelor's,7.7,8.0,8.0,9.0,9.3,11.0,9.6,9.0,8.6,8.0,8.0
Since starting graduate school,6.7,6.7,7.2,7.7,8.0,9.2,8.2,7.7,7.7,6.9,6.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.3
Physics and astronomy,,,,,,,,,,,
Since earning bachelor's,6.7,7.0,7.0,7.3,7.7,7.8,7.5,7.6,7.4,7.0,7.0
Since starting graduate school,6.0,6.5,6.3,6.5,6.7,6.9,6.7,6.8,6.7,6.4,6.3
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.9,5.9
Mathematics and computer sciences,,,,,,,,,,,
Since earning bachelor's,6.3,7.0,7.3,8.0,8.6,9.2,8.5,8.2,7.9,7.9,7.9
Since starting graduate school,5.7,6.2,6.2,6.9,7.2,7.7,7.2,7.2,6.9,6.9,6.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.5
Computer and information sciences,,,,,,,,,,,
Since earning bachelor's,-,-,7.7,9.3,8.9,10.0,9.6,8.9,8.9,8.8,8.8
Since starting graduate school,-,-,6.7,7.6,7.7,8.2,7.9,7.8,7.7,7.6,7.3
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.7,5.8
Mathematics and statistics,,,,,,,,,,,
Since earning bachelor's,6.3,7.0,7.0,7.3,8.3,8.3,8.0,7.3,7.0,7.0,7.0
Since starting graduate school,5.7,6.2,6.2,6.6,6.9,7.1,6.8,6.7,6.2,6.1,6.2
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,5.3,5.3
Psychology and social sciences,,,,,,,,,,,
Since earning bachelor's,7.3,8.0,9.0,10.2,10.7,10.3,9.9,9.8,9.6,9.6,9.3
Since starting graduate school,6.7,6.7,7.7,8.7,8.7,8.2,7.9,8.0,7.8,7.9,7.8
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,6.0,6.0
Psychology,,,,,,,,,,,
Since earning bachelor's,6.3,7.0,8.4,9.9,10.3,9.6,9.0,8.9,8.3,8.6,8.6
Since starting graduate school,5.7,5.9,7.1,8.2,8.2,7.7,7.2,7.0,6.9,7.0,7.0
Since starting doctoral programa,na,na,na,na,na,na,na,na,na,6.0,5.9
Anthropology,,,,,,,,,,,
