Table 1-14,,,,,,
Highest educational attainment of either parent of research doctorate recipients: 1970–2021,,,,,,
(Percent),,,,,,
Year,High school or less,Some collegea,Bachelor's degree,Master's degree,Professional doctorateb,Research doctoral degree
1970,47.9,16.7,19.3,11.7,na,4.4
1971,46.9,16.6,19.3,12.6,na,4.7
1972,46.2,16.4,19.7,12.8,na,4.9
1973,45.7,16.8,19.5,13.2,na,4.8
1974,45.3,16.8,19.7,13.3,na,4.8
1975,44.2,16.1,20.7,13.7,na,5.2
1976,43.8,16.3,20.1,14.3,na,5.4
1977,43.1,16.5,20.5,14.3,na,5.7
1978,41.6,16.4,20.9,15.2,na,5.9
1979,41.1,16.6,21.0,15.3,na,6.0
1980,40.8,16.0,21.7,15.4,na,6.1
1981,39.9,15.8,21.8,16.0,na,6.4
1982,39.4,15.8,21.6,16.3,na,7.0
1983,38.1,15.7,22.2,16.9,na,7.1
1984,38.3,15.0,22.5,16.9,na,7.3
1985,37.9,14.7,22.6,17.5,na,7.3
1986,37.1,14.6,22.6,17.8,na,7.9
1987,36.4,14.5,22.6,18.0,na,8.6
1988,35.2,14.7,22.8,18.6,na,8.7
1989,34.5,13.9,23.4,19.0,na,9.1
1990,32.9,15.2,20.9,13.8,7.0,10.3
1991,32.5,15.3,20.3,12.5,8.7,10.8
1992,31.4,15.4,20.9,12.4,8.8,11.1
1993,31.2,15.1,20.8,12.8,8.6,11.4
1994,30.0,15.2,21.1,12.9,8.9,11.9
1995,28.7,15.1,21.6,14.0,8.8,11.8
1996,28.2,14.3,21.9,14.4,8.6,12.5
1997,26.5,13.9,22.6,15.1,8.6,13.4
1998,25.8,13.7,22.4,15.5,8.9,13.7
1999,25.1,13.6,21.9,16.1,9.1,14.2
2000,25.2,13.3,22.4,16.2,9.0,14.0
2001,23.9,13.6,22.3,17.0,8.9,14.2
2002,23.6,13.5,22.9,17.0,8.9,14.2
2003,23.2,13.3,23.2,17.2,9.0,14.0
2004,22.8,13.4,23.9,18.8,8.9,12.1
2005,22.3,13.5,24.8,19.0,8.8,11.6
2006,21.8,13.4,25.6,19.4,8.6,11.3
2007,21.3,13.5,26.0,19.7,9.3,10.3
2008,20.9,13.4,25.5,20.5,9.3,10.4
2009,20.2,13.0,25.4,21.3,10.0,10.2
2010,19.2,13.1,25.5,21.3,10.4,10.5
2011,19.2,13.0,25.6,21.7,9.9,10.6
2012,19.0,12.5,25.7,21.8,10.3,10.7
2013,18.6,12.7,25.5,22.5,10.0,10.6
2014,18.2,12.3,26.2,22.3,10.3,10.6
2015,18.1,12.3,26.7,22.2,10.0,10.7
2016,17.7,12.8,26.1,22.7,10.0,10.7
2017,17.4,13.4,26.3,22.1,9.4,11.4
2018,16.3,12.9,26.5,22.2,9.6,12.4
2019,16.6,13.1,26.5,22.3,9.4,12.1
2020,16.1,13.2,27.1,22.5,9.2,11.9
2021,14.9,13.1,26.1,22.0,8.7,15.2
