Table 2-2,,,,,,,,,,,,,
"Postgraduation commitment of research doctorate recipients, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
Commitment status and year,Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All doctorate recipients (number),,,,,,,,,,,,,
1991,"37,530","23,521","13,873","27,437","9,374",869,132,"1,529","1,166","23,184",na,127,430
1996,"42,437","25,288","16,956","31,548","9,740","1,115",186,"3,674","1,446","24,668",na,192,267
2001,"40,744","22,780","17,887","28,894","9,812","1,266",142,"2,134","1,640","22,179",301,355,877
2006,"45,620","25,020","20,559","29,028","14,198","1,532",113,"2,391","1,789","21,923",464,287,529
2011,"48,909","26,188","22,699","31,725","14,235","1,989",127,"2,832","1,899","23,278",722,248,630
2016,"54,809","29,572","25,222","35,678","16,477","2,548",128,"3,084","2,358","25,502","1,033",272,753
2021,"52,250","28,082","24,156","31,674","17,638","2,856",100,"3,022","2,431","21,333","1,088",376,468
All postgraduation commitments,,,,,,,,,,,,,
1991,"34,350","21,490","12,855","26,013","8,332",820,127,"1,422","1,050","22,252",na,105,237
1996,"38,634","23,124","15,505","29,695","8,909","1,051",171,"3,447","1,299","23,429",na,183,115
2001,"37,127","20,817","16,309","27,780","9,303","1,210",135,"2,078","1,569","21,722",296,334,436
2006,"42,069","23,037","19,030","28,307","13,682","1,457",109,"2,359","1,743","21,674",455,267,243
2011,"44,703","23,965","20,737","30,802","13,660","1,880",117,"2,767","1,849","22,886",718,222,363
2016,"49,818","26,965","22,852","34,158","15,526","2,422",121,"3,016","2,239","24,953","1,021",222,164
2021,"47,433","25,662","21,769","30,374","16,814","2,729",91,"2,937","2,328","20,717","1,074",306,192
Definite commitment for employment or postdoctoral training (%)d,,,,,,,,,,,,,
1991,70.5,70.3,70.8,72.8,63.4,68.8,67.7,61.7,68.6,73.9,na,68.6,71.7
1996,67.5,67.6,67.4,69.3,61.5,70.9,69.6,61.9,67.9,70.4,na,65.0,71.3
2001,72.9,74.2,71.1,73.4,71.4,74.0,68.9,69.3,69.5,74.2,70.9,65.0,70.9
2006,71.6,72.8,70.1,73.5,67.5,71.7,67.9,68.5,68.8,74.7,72.1,69.7,72.4
2011,65.5,67.1,63.7,66.3,63.8,60.7,63.2,60.5,59.7,68.3,62.3,61.7,60.1
2016,61.8,62.7,60.6,63.2,58.6,59.0,62.0,57.6,53.5,65.1,63.3,63.5,59.1
2021,70.0,70.3,69.7,70.3,69.4,70.0,76.9,68.3,67.5,71.0,71.5,67.6,64.1
"No definite commitment for employment or postdoctoral training (%)d,e",,,,,,,,,,,,,
1991,29.5,29.7,29.2,27.2,36.6,31.2,32.3,38.3,31.4,26.1,na,31.4,28.3
1996,32.5,32.4,32.6,30.7,38.5,29.1,30.4,38.1,32.1,29.6,na,35.0,28.7
2001,27.1,25.8,28.9,26.6,28.6,26.0,31.1,30.7,30.5,25.8,29.1,35.0,29.1
2006,28.4,27.2,29.9,26.5,32.5,28.3,32.1,31.5,31.2,25.3,27.9,30.3,27.6
2011,34.5,32.9,36.3,33.7,36.2,39.3,36.8,39.5,40.3,31.7,37.7,38.3,39.9
2016,38.2,37.3,39.4,36.8,41.4,41.0,38.0,42.4,46.5,34.9,36.7,36.5,40.9
2021,30.0,29.7,30.3,29.7,30.6,30.0,23.1,31.7,32.5,29.0,28.5,32.4,35.9
