Table 2-5,,,,,,,,,,,,,
"Sources of support for research doctorate recipients with postdoctoral training commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Postdoctoral training commitments, source of support, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All postdoctoral training commitments (number),,,,,,,,,,,,,
1991,"6,631","4,546","2,084","4,659","1,971",144,19,321,97,"4,005",na,26,47
1996,"7,668","4,985","2,682","5,516","2,150",185,20,948,133,"4,174",na,28,28
2001,"7,809","4,608","3,201","5,533","2,269",248,17,513,243,"4,332",59,54,67
2006,"9,990","5,858","4,131","6,280","3,696",307,11,662,270,"4,814",118,51,47
2011,"11,853","6,724","5,129","7,595","4,192",477,19,706,338,"5,725",190,58,82
2016,"11,356","6,356","5,000","7,578","3,746",557,18,676,320,"5,668",268,45,26
2021,"13,715","7,513","6,201","8,340","5,307",790,23,833,398,"5,866",329,64,37
U.S. government (%)d,,,,,,,,,,,,,
1991,36.5,35.8,38.1,43.7,19.5,31.3,42.1,36.1,25.8,45.3,na,30.8,44.7
1996,35.6,35.3,36.2,41.5,20.6,41.6,40.0,37.3,22.6,42.9,na,42.9,57.1
2001,31.8,32.7,30.4,37.4,18.1,41.1,41.2,35.9,27.6,38.1,39.0,38.9,20.9
2006,28.8,28.8,28.7,34.9,18.4,31.6,45.5,31.3,24.8,36.0,39.8,37.3,34.0
2011,32.4,31.8,33.2,38.7,21.1,36.9,D,37.1,32.8,39.5,43.2,D,37.8
2016,29.4,29.3,29.5,34.3,19.4,33.6,27.8,35.9,32.8,34.6,30.6,15.6,53.8
2021,30.7,29.6,32.1,38.9,18.1,34.6,21.7,36.1,33.7,40.9,33.4,23.4,32.4
College or university (%)d,,,,,,,,,,,,,
1991,26.8,28.7,22.6,20.1,42.5,29.2,D,26.5,28.9,19.0,na,D,23.4
1996,29.8,32.3,25.1,24.6,43.0,28.1,25.0,28.6,32.3,23.3,na,35.7,17.9
2001,38.1,38.3,37.7,33.5,49.3,37.5,29.4,32.9,39.5,33.0,32.2,24.1,43.3
2006,47.6,49.2,45.4,41.3,58.4,43.3,D,42.3,44.1,41.0,41.5,D,31.9
2011,40.0,41.3,38.4,34.5,50.2,34.0,57.9,36.4,38.2,33.9,37.4,43.1,32.9
2016,44.5,45.8,42.8,39.9,53.9,38.8,38.9,37.7,43.1,40.1,39.6,53.3,19.2
2021,39.2,41.3,36.8,32.6,49.8,37.3,43.5,33.9,39.4,31.1,36.5,29.7,27.0
Private foundation (%)d,,,,,,,,,,,,,
1991,10.7,10.2,12.0,10.7,10.9,10.4,D,15.3,13.4,10.3,na,D,8.5
1996,9.4,9.2,9.6,9.2,9.8,8.1,D,8.4,14.3,9.2,na,D,7.1
2001,7.1,6.8,7.4,7.4,6.2,3.2,D,6.0,7.0,7.8,D,13.0,7.5
2006,4.9,4.3,5.6,5.6,3.7,4.6,D,5.7,6.7,5.6,D,3.9,8.5
2011,4.7,4.3,5.2,5.6,3.2,6.1,0.0,5.0,6.5,5.6,4.2,6.9,3.7
2016,4.3,3.9,4.7,4.8,3.2,4.3,0.0,4.0,3.4,4.9,6.3,8.9,3.8
2021,4.1,3.4,4.9,4.8,2.9,5.2,D,3.6,D,5.1,4.3,6.3,2.7
"Nonprofit, other than private foundation (%)d",,,,,,,,,,,,,
1991,2.5,2.4,2.7,2.3,3.1,D,D,D,2.1,2.3,na,D,2.1
1996,3.1,2.9,3.5,2.9,3.5,3.2,D,D,0.8,2.8,na,D,0.0
2001,3.3,3.0,3.8,3.0,4.2,D,D,3.7,3.7,3.0,D,D,1.5
2006,2.7,2.2,3.4,2.7,2.8,3.6,D,2.7,4.8,2.5,D,D,2.1
2011,3.5,2.7,4.6,3.5,3.5,4.0,D,3.4,4.4,3.6,D,D,2.4
2016,3.6,2.9,4.5,3.9,3.1,4.3,D,2.5,D,4.0,4.1,D,0.0
2021,2.9,2.3,3.6,3.3,2.2,3.2,D,2.8,D,3.2,4.6,6.3,2.7
Other (%)d,,,,,,,,,,,,,
1991,10.3,10.9,9.1,9.5,12.2,9.7,10.5,8.1,4.1,9.6,na,19.2,12.8
