Table 2-6,,,,,,,,,,,
"Employment sector of research doctorate recipients with definite postgraduation commitments for employment in the United States, by historical broad field of doctorate: Selected years, 1991–2021",,,,,,,,,,,
(Number and percent),,,,,,,,,,,
"Employment commitment, sector, and year",All fields,Science and engineering,,,,,,Non-science and engineering,,,
,,Total,Life sciencesa,Physical sciences and earth sciences,Mathematics and computer sciences,Psychology and social sciences,Engineering,Total,Education,Humanities and arts,Otherb
All U.S. employment commitments (number),,,,,,,,,,,
1991,"15,465","8,102","1,427","1,092",745,"3,007","1,831","7,363","3,997","2,069","1,297"
1996,"16,273","8,665","1,542","1,023",806,"2,865","2,429","7,608","4,113","2,285","1,210"
2001,"17,304","9,660","1,848","1,270",845,"3,070","2,627","7,644","3,710","2,712","1,222"
2006,"17,681","9,888","1,993","1,026","1,190","2,993","2,686","7,793","3,717","2,631","1,445"
2011,"14,167","8,603","1,746",919,"1,077","2,586","2,275","5,564","2,369","1,952","1,243"
2016,"16,303","10,812","2,300","1,265","1,480","2,841","2,926","5,491","2,435","1,717","1,339"
2021,"17,404","12,360","2,908","1,324","1,820","2,774","3,534","5,044","2,286","1,437","1,321"
Academe (%)c,,,,,,,,,,,
1991,52.1,43.0,51.1,21.0,64.4,52.3,25.8,62.1,46.6,80.2,81.3
1996,48.8,38.1,51.8,24.8,46.8,53.4,14.1,61.1,46.4,79.2,76.5
2001,48.4,36.2,45.8,20.2,45.8,54.0,13.4,63.7,49.0,79.1,74.4
2006,51.1,39.8,47.4,27.7,44.4,59.9,14.3,65.5,51.0,80.8,74.7
2011,51.8,39.1,48.7,25.8,36.4,60.9,13.6,71.4,57.9,82.5,79.6
2016,44.6,32.6,38.4,20.0,29.5,54.2,14.0,68.1,58.2,76.3,75.7
2021,35.9,25.8,30.5,14.9,26.3,43.8,11.6,60.5,53.9,64.7,67.4
Government (%)c,,,,,,,,,,,
1991,8.6,11.9,14.8,13.6,4.4,12.3,11.1,5.0,6.6,2.2,4.4
1996,7.9,10.9,15.2,9.4,4.1,11.3,10.6,4.6,6.4,1.3,4.5
2001,6.5,8.7,11.6,6.7,4.0,10.4,7.3,3.6,4.5,2.1,4.7
2006,6.0,8.1,12.0,7.1,4.3,9.5,5.6,3.4,3.8,2.1,4.8
2011,8.0,11.1,13.3,10.9,7.9,11.1,10.9,3.2,3.2,2.4,4.5
2016,7.3,9.2,10.4,8.8,3.4,12.3,8.2,3.8,3.8,2.4,5.5
2021,7.7,8.9,9.1,8.9,3.7,14.5,7.1,4.8,4.2,3.5,7.0
"Industry or business (%)c,d",,,,,,,,,,,
1991,21.1,35.3,25.2,61.6,28.6,17.0,60.3,5.6,5.7,3.5,8.5
1996,25.9,42.4,24.5,62.6,46.4,17.7,73.0,7.2,6.3,5.0,14.1
2001,29.4,46.4,33.1,68.3,44.9,20.4,76.0,7.9,6.6,6.5,15.1
2006,25.0,40.6,25.8,56.4,45.7,13.9,72.9,5.2,3.6,3.8,11.7
2011,26.9,40.7,26.6,56.4,51.3,13.6,71.1,5.6,4.3,4.4,9.9
2016,34.6,48.9,37.6,65.8,62.0,19.1,72.9,6.4,4.8,5.1,11.0
2021,43.2,56.5,48.9,70.3,65.8,27.1,75.8,10.7,8.0,8.8,17.3
Nonprofit organization (%)c,,,,,,,,,,,
1991,6.7,7.0,7.1,2.7,2.0,12.5,2.3,6.5,5.6,9.7,4.2
1996,6.1,6.1,6.7,1.7,1.6,12.2,1.9,6.1,4.5,10.4,3.5
2001,5.3,5.5,6.5,2.4,2.7,9.8,2.1,5.1,4.4,7.0,3.2
2006,4.5,4.7,6.2,2.5,1.4,7.7,2.5,4.3,4.3,4.7,3.5
2011,5.7,6.0,8.7,3.9,2.8,9.2,2.7,5.1,5.4,6.1,3.1
2016,5.7,5.6,9.2,3.2,2.8,7.9,3.1,5.8,5.4,7.7,4.0
2021,6.7,6.2,8.7,3.9,2.8,9.9,3.7,8.1,6.5,12.8,5.8
"Other or unknown (%)c,e",,,,,,,,,,,
1991,11.4,2.8,1.8,1.0,0.5,5.9,0.4,20.8,35.6,4.4,1.6
1996,11.2,2.5,1.8,1.6,1.1,5.4,0.4,21.1,36.3,4.1,1.3
2001,10.4,3.2,3.0,2.5,2.6,5.4,1.1,19.6,35.5,5.4,2.6
2006,13.4,6.9,8.6,6.2,4.2,9.0,4.7,21.7,37.3,8.6,5.3
2011,7.7,3.1,2.7,3.0,1.6,5.2,1.8,14.7,29.3,4.6,2.8
2016,7.8,3.7,4.4,2.2,2.2,6.4,1.8,15.9,27.8,8.4,3.8
2021,6.5,2.6,2.8,2.0,1.4,4.7,1.8,15.9,27.3,10.1,2.3
