Table 2-7,,,,,,,,,,,,,
"Employment sector of research doctorate recipients with definite postgraduation commitments for employment in the United States, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Employment commitment, sector, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asianb,Black or African American,White,More than one race,Other race or race not reportedc,
All U.S. employment commitments (number),,,,,,,,,,,,,
1991,"15,465","8,919","6,544","13,845","1,618",409,64,519,605,"12,092",na,42,114
1996,"16,273","9,066","7,205","14,632","1,629",544,99,"1,088",731,"12,032",na,87,51
2001,"17,304","9,549","7,755","14,385","2,910",626,73,880,834,"11,448",148,149,227
2006,"17,681","9,432","8,248","13,757","3,892",689,60,861,888,"10,827",200,120,112
2011,"14,167","7,438","6,728","11,364","2,740",555,D,810,681,"8,856",D,69,111
2016,"16,303","8,790","7,513","12,573","3,682",759,D,947,790,"9,538",332,D,66
2021,"17,404","9,216","8,188","12,729","4,578","1,103",44,"1,143","1,158","8,634",431,135,81
Academe (%)d,,,,,,,,,,,,,
1991,52.1,48.3,57.3,51.8,54.6,62.8,53.1,37.6,58.7,51.7,na,54.8,50.9
1996,48.8,43.3,55.8,50.5,34.1,60.3,54.5,27.5,52.8,51.9,na,57.5,47.1
2001,48.4,42.5,55.6,52.0,30.3,60.7,52.1,34.7,50.5,52.9,54.1,55.7,55.1
2006,51.1,46.3,56.7,54.7,38.3,55.6,66.7,38.7,50.3,56.4,54.0,47.5,50.0
2011,51.8,44.7,59.5,55.5,36.8,62.2,68.1,42.0,57.7,56.3,51.9,62.3,43.2
2016,44.6,38.0,52.3,48.5,31.5,49.8,D,36.4,47.3,49.8,45.8,D,40.9
2021,35.9,29.5,43.1,39.9,24.8,41.8,59.1,30.5,42.6,40.7,38.1,33.3,33.3
Government (%)d,,,,,,,,,,,,,
1991,8.6,9.4,7.5,9.4,1.9,7.6,9.4,8.9,8.9,9.5,na,4.8,10.5
1996,7.9,8.7,7.0,8.6,1.6,8.6,15.2,6.3,10.1,8.7,na,8.0,13.7
2001,6.5,7.1,5.8,7.5,1.7,7.5,9.6,5.5,9.5,7.5,5.4,9.4,4.8
2006,6.0,6.2,5.8,7.4,1.2,8.0,8.3,7.9,9.8,7.1,6.0,10.8,8.0
2011,8.0,9.0,6.8,9.5,2.0,10.5,D,9.0,11.3,9.3,8.1,D,17.1
2016,7.3,8.0,6.6,9.0,1.6,8.7,9.4,8.7,12.2,8.7,11.1,13.6,10.6
2021,7.7,8.0,7.4,10.0,1.6,10.1,11.4,7.5,12.7,9.8,10.0,14.8,17.3
"Industry or business (%)d,e",,,,,,,,,,,,,
1991,21.1,27.0,13.2,19.2,38.0,13.4,14.1,46.8,7.9,18.7,na,21.4,26.3
1996,25.9,34.7,14.9,22.2,59.5,15.4,12.1,59.0,10.4,20.0,na,14.9,29.4
2001,29.4,38.4,18.4,22.4,63.8,14.9,20.5,52.0,13.9,21.1,26.4,26.2,23.3
2006,25.0,32.9,15.9,17.1,52.9,14.5,10.0,39.4,9.5,16.1,18.0,18.3,20.5
2011,26.9,35.8,17.1,19.8,56.7,14.4,10.6,39.1,9.0,19.2,D,D,20.7
2016,34.6,43.9,23.8,26.5,62.1,25.2,13.2,43.2,17.1,25.6,28.0,30.7,33.3
2021,43.2,52.1,33.2,33.8,69.4,30.0,D,50.4,21.6,33.9,34.6,D,30.9
Nonprofit organization (%)d,,,,,,,,,,,,,
1991,6.7,6.4,7.2,7.2,2.9,6.8,D,3.3,5.0,7.5,na,D,8.8
1996,6.1,5.3,7.1,6.6,2.2,6.8,D,4.2,5.1,6.9,na,D,2.0
2001,5.3,4.7,6.0,5.9,2.3,6.2,6.8,5.1,4.8,6.1,6.1,4.7,5.3
2006,4.5,3.4,5.7,5.2,2.1,4.6,D,4.8,6.1,5.2,4.0,D,3.6
2011,5.7,4.9,6.5,6.4,2.7,6.1,12.8,5.8,5.9,6.4,8.9,8.7,6.3
2016,5.7,4.5,7.0,6.7,2.5,6.1,11.3,7.3,7.2,6.6,6.3,6.8,7.6
2021,6.7,5.9,7.7,8.2,2.7,8.4,D,7.7,9.7,7.9,9.0,D,9.9
"Other or unknown (%)d,f",,,,,,,,,,,,,
1991,11.4,8.9,14.8,12.4,2.5,9.3,20.3,3.5,19.5,12.6,na,11.9,3.5
1996,11.2,8.0,15.3,12.2,2.6,8.8,14.1,3.0,21.6,12.6,na,10.3,7.8
2001,10.4,7.3,14.3,12.1,1.9,10.7,11.0,2.7,21.3,12.5,8.1,4.0,11.5
2006,13.4,11.2,15.9,15.6,5.5,17.3,8.3,9.3,24.3,15.2,18.0,15.0,17.9
2011,7.7,5.5,10.1,8.8,1.9,6.8,6.4,4.1,16.2,8.7,10.2,10.1,12.6
2016,7.8,5.6,10.3,9.4,2.3,10.3,5.7,4.4,16.2,9.3,8.7,9.1,7.6
2021,6.5,4.6,8.6,8.2,1.6,9.7,11.4,3.8,13.5,7.8,8.4,8.9,8.6
