Table 2-8,,,,,,,,,,,,,,
"Research doctorate recipients with temporary visas intending to stay in the United States after doctorate receipt, by country or economy of citizenship: 2015–21",,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,
Country or economy of citizenship,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,Number,% staying,Number,% staying,Number,% staying,Number,% staying,Number,% staying,Number,% staying,Number,% staying
All temporary visa holders reporting intention to stay,"16,129",71.3,"16,477",72.5,"16,288",74.3,"17,582",72.0,"18,324",71.2,"18,476",73.0,"17,638",71.3
Africa,649,66.4,653,70.8,700,70.9,745,70.6,743,72.0,788,72.6,758,74.0
Egypt,129,62.8,117,66.7,156,69.9,156,73.7,163,74.8,127,81.1,133,80.5
Nigeria,83,75.9,112,83.9,113,77.9,147,75.5,145,81.4,161,79.5,193,78.2
Ghana,83,65.1,87,70.1,85,71.8,103,66.0,88,72.7,106,73.6,88,79.5
Libya,60,71.7,67,65.7,48,75.0,56,76.8,61,68.9,61,77.0,56,78.6
Kenya,57,68.4,60,66.7,57,63.2,50,68.0,38,78.9,57,70.2,53,58.5
Ethiopia,28,75.0,42,85.7,31,83.9,31,D,35,71.4,28,82.1,30,76.7
South Africa,25,52.0,20,60.0,20,45.0,26,53.8,29,51.7,24,54.2,23,60.9
Uganda,23,60.9,16,56.3,19,47.4,20,50.0,20,45.0,30,53.3,28,42.9
Zimbabwe,22,77.3,15,D,24,D,18,66.7,16,D,22,D,18,D
Cameroon,20,D,17,D,23,D,17,70.6,18,D,14,D,11,D
Tunisia,10,D,11,72.7,14,D,8,D,14,D,15,D,13,D
Tanzania,15,40.0,6,D,17,29.4,9,D,7,D,10,D,12,D
Other,94,59.6,83,59.0,93,67.7,104,66.3,109,60.6,133,59.4,100,69.0
Americas,"1,480",55.7,"1,503",57.5,"1,445",56.5,"1,474",60.0,"1,534",60.8,"1,663",60.3,"1,492",64.5
Canada,454,56.6,408,56.6,409,59.2,431,62.2,427,62.3,398,57.8,367,54.8
Brazil,149,50.3,156,56.4,168,61.3,178,61.2,253,63.6,318,60.7,273,72.5
Mexico,194,53.1,221,61.1,180,69.4,185,71.4,187,64.2,236,64.0,214,72.0
Colombia,183,68.3,187,61.5,190,48.4,205,52.7,202,58.9,191,60.2,190,66.8
Chile,103,32.0,130,32.3,128,25.8,91,39.6,100,35.0,106,43.4,85,54.1
Argentina,64,53.1,65,61.5,52,69.2,60,66.7,52,61.5,64,68.8,46,63.0
Peru,53,66.0,56,69.6,50,70.0,46,50.0,51,76.5,55,72.7,48,72.9
Ecuador,42,38.1,42,40.5,49,36.7,44,38.6,50,42.0,49,63.3,54,59.3
Jamaica,36,69.4,34,76.5,29,69.0,44,54.5,32,68.8,30,80.0,30,60.0
Costa Rica,31,38.7,33,42.4,24,45.8,28,50.0,26,38.5,31,41.9,35,51.4
Venezuela,29,75.9,27,D,31,67.7,26,76.9,28,82.1,32,D,30,D
Uruguay,19,68.4,13,D,7,D,15,D,18,55.6,15,46.7,16,50.0
Guatemala,17,52.9,12,D,12,41.7,12,D,11,D,17,70.6,13,46.2
Honduras,11,D,15,D,12,58.3,14,D,13,D,10,D,13,100.0
Dominican Republic,10,D,13,D,8,D,10,50.0,6,D,18,33.3,8,D
Other,85,60.0,91,D,96,63.5,85,74.1,78,66.7,93,D,70,67.1
Asia,"10,885",76.0,"11,016",78.1,"10,640",80.0,"11,323",77.5,"11,622",77.2,"11,816",79.0,"11,557",75.5
Chinaa,"5,374",81.1,"5,527",81.0,"5,553",83.3,"6,188",79.4,"6,316",79.2,"6,336",80.1,"6,148",74.4
India,"2,229",84.6,"2,195",87.2,"1,970",88.5,"2,045",87.1,"2,056",85.9,"2,250",88.0,"2,291",86.1
South Korea,"1,234",62.9,"1,229",66.7,"1,128",68.5,"1,039",63.6,"1,168",65.3,"1,056",67.0,"1,025",64.5
Taiwan,614,70.4,592,77.9,520,76.7,514,78.0,492,73.4,468,76.9,409,74.1
Bangladesh,154,87.7,185,90.3,236,88.1,280,88.2,292,86.0,392,86.0,397,88.2
Nepal,177,88.1,222,88.7,221,91.9,225,88.9,241,89.6,226,94.7,251,93.2
Thailand,220,21.4,185,30.3,171,25.7,177,31.1,159,30.2,127,30.7,124,D
Sri Lanka,133,76.7,132,78.0,146,81.5,150,85.3,151,83.4,174,85.1,180,76.7
Vietnam,134,74.6,124,71.8,133,75.9,122,80.3,168,76.2,167,73.7,150,80.7
Japan,164,39.6,166,53.6,117,58.1,118,50.0,128,51.6,114,50.0,122,50.0
Pakistan,124,54.0,102,45.1,113,54.0,110,59.1,112,64.3,157,70.7,135,64.4
Singapore,102,36.3,91,38.5,101,41.6,81,25.9,100,38.0,107,49.5,70,38.6
Indonesia,53,37.7,92,43.5,69,50.7,81,34.6,79,43.0,77,44.2,76,47.4
Malaysia,79,38.0,72,55.6,65,47.7,83,59.0,71,50.7,59,52.5,61,70.5
Philippines,40,75.0,51,76.5,47,70.2,57,73.7,38,65.8,45,64.4,58,51.7
Kazakhstan,11,D,12,D,6,D,8,D,11,D,17,70.6,18,72.2
Myanmar,6,D,8,D,6,D,6,D,9,D,9,D,7,D
Other,37,64.9,31,58.1,38,57.9,39,69.2,31,71.0,35,60.0,35,68.6
Australia-Oceania,83,55.4,65,61.5,79,62.0,66,57.6,81,71.6,80,63.8,69,63.8
Australia,52,48.1,42,66.7,47,72.3,37,64.9,53,73.6,51,66.7,39,64.1
New Zealand,26,65.4,23,52.2,D,D,23,56.5,D,D,D,D,30,63.3
Other,5,80.0,0,0.0,D,D,6,16.7,D,D,D,D,0,0.0
Europe,"1,832",61.4,"1,776",62.7,"1,785",67.4,"1,807",63.3,"1,757",64.4,"1,711",67.2,"1,677",63.9
Turkey,469,59.7,472,57.6,496,61.1,454,59.7,406,64.5,371,70.1,330,63.0
Germany,195,51.3,183,61.2,154,68.2,144,54.2,152,57.9,151,54.3,187,58.3
Italy,126,65.1,167,65.9,161,70.8,139,72.7,174,63.8,170,64.1,145,57.2
Russian Federation,118,78.0,108,69.4,112,81.3,154,73.4,111,73.0,120,82.5,110,67.3
United Kingdom,100,55.0,115,54.8,103,60.2,110,60.0,128,62.5,119,66.4,153,58.8
France,131,58.8,105,66.7,107,69.2,133,64.7,118,67.8,118,66.9,105,67.6
Spain,98,60.2,73,61.6,100,74.0,104,61.5,130,57.7,122,62.3,128,71.9
Greece,84,71.4,84,71.4,89,73.0,114,78.1,90,73.3,89,77.5,112,75.0
Romania,57,82.5,51,88.2,43,81.4,47,61.7,48,D,25,D,27,77.8
Ukraine,42,85.7,31,71.0,37,83.8,35,74.3,43,81.4,43,83.7,32,75.0
Poland,48,70.8,27,70.4,30,66.7,33,60.6,34,70.6,34,61.8,34,73.5
Netherlands,23,56.5,40,50.0,27,55.6,30,66.7,38,55.3,39,59.0,39,43.6
Switzerland,23,65.2,18,44.4,32,65.6,42,38.1,21,38.1,22,63.6,27,66.7
Bulgaria,34,70.6,44,88.6,30,D,23,78.3,21,D,15,D,16,D
Portugal,24,45.8,33,39.4,32,56.3,25,52.0,24,62.5,20,55.0,17,58.8
Serbia,28,78.6,25,80.0,20,70.0,16,D,21,71.4,24,D,21,D
Hungary,23,56.5,20,45.0,20,D,20,40.0,17,D,24,66.7,15,60.0
Ireland,26,42.3,21,61.9,13,61.5,20,55.0,24,45.8,17,D,7,D
Austria,16,31.3,21,71.4,17,D,14,50.0,17,52.9,22,54.5,20,50.0
Belgium,17,41.2,15,40.0,16,31.3,18,55.6,13,53.8,16,50.0,16,D
Sweden,18,50.0,19,63.2,14,64.3,14,64.3,12,D,15,46.7,7,D
Cyprus,13,61.5,14,64.3,16,68.8,11,45.5,9,D,11,D,10,D
Croatia ,12,50.0,13,46.2,17,76.5,10,D,6,D,7,D,8,D
Albania,7,D,10,D,8,75.0,9,88.9,14,D,12,D,9,D
Finland,10,50.0,12,50.0,11,54.5,6,D,7,D,10,50.0,7,D
Other,90,D,55,D,80,D,82,62.2,79,64.6,95,56.8,95,58.9
Middle East,"1,131",66.9,"1,309",63.9,"1,500",62.1,"1,749",62.3,"2,079",56.6,"2,102",58.0,"1,732",58.1
Iran,629,89.7,695,91.1,767,92.6,935,91.4,964,91.5,963,92.2,809,91.5
Saudi Arabia,134,14.2,238,10.1,339,10.3,403,14.9,554,12.8,614,14.3,477,9.9
Iraq,15,53.3,28,25.0,50,36.0,122,27.0,202,19.8,192,35.4,151,44.4
Jordan,128,44.5,98,44.9,114,44.7,77,57.1,89,56.2,114,51.8,83,59.0
Israel,86,59.3,83,51.8,77,49.4,64,50.0,80,53.8,69,50.7,65,55.4
Lebanon,39,64.1,57,70.2,52,78.8,51,76.5,53,79.2,39,84.6,41,D
Kuwait,29,D,42,D,38,D,46,D,68,7.4,45,11.1,46,10.9
Syria,6,D,12,D,9,D,7,D,12,D,10,D,6,D
Oman,7,D,6,D,10,D,13,D,7,D,8,D,10,D
Other,58,43.1,50,58.0,44,61.4,31,54.8,50,62.0,48,64.6,44,68.2
Country or economy unknown,69,47.8,155,12.9,139,62.6,418,45.5,508,49.4,316,48.4,353,56.7
