Table 3-1,
"Research doctorate recipients, by detailed field of doctorate: 2021",
(Number),
Field of doctorate,2021
All fields,"52,250"
Science and engineering,"41,356"
Agricultural sciences and natural resources,"1,223"
"Agricultural, animal, plant, and veterinary sciences",807
Agronomy and crop science,69
Animal sciences,160
Food science and technology,175
Plant sciences,152
Soil sciences,79
Veterinary biomedical and clinical sciences,78
"Agricultural, animal, plant, and veterinary sciences nec",94
Natural resources and conservation,416
Environmental science,117
Environmental/ natural resources management and policy,78
Forestry,74
Natural resources conservation and research,74
Natural resources and conservation nec,73
Biological and biomedical sciences,"8,259"
"Biochemistry, biophysics, and molecular biology","1,348"
Biochemistry,417
Biochemistry and molecular biology,263
Biophysics,206
Molecular biology,260
"Biochemistry, biophysics, and molecular biology nec",202
"Bioinformatics, biostatistics, and computational biology",563
Bioinformatics,136
Biostatistics,224
Computational biology,106
"Bioinformatics, biostatistics, and computational biology nec",97
Cell/ cellular biology and anatomy,657
Cell/ cellular and molecular biology,482
Developmental biology and embryology,103
Cell/ cellular biology and anatomy nec,72
"Ecology, evolutionary biology, and epidemiology",984
Ecology,227
Ecology and evolutionary biology,243
Epidemiology,298
Epidemiology and biostatistics,54
Evolutionary biology,68
"Ecology, evolutionary biology, and epidemiology nec",94
Genetics and genomics,398
"Genetics, general",121
Genome sciences and genomics,72
Human/ medical genetics,62
Molecular genetics,72
Genetics nec,71
Microbiology and immunology,974
Immunology,303
Microbiology and immunology,217
"Microbiology, general",257
Virology,107
Microbiology and immunology nec,90
Neurobiology and neurosciences,"1,014"
Cognitive neuroscience,102
Neurobiology and anatomy,94
Neuroscience,686
Neurobiology and neurosciences nec,132
Pharmacology and toxicology,311
Pharmacology,131
Toxicology,106
Pharmacology and toxicology nec,74
"Physiology, oncology and cancer biology",713
Biomechanics,77
Exercise physiology and kinesiology,76
Oncology and cancer biology,315
"Physiology, general",76
"Physiology, oncology and cancer biology nec",169
"Biological and biomedical sciences, other","1,297"
"Biology/ biological sciences, general",331
"Biomedical sciences, general",331
Botany and plant biology,62
Entomology,114
Plant physiology and biology nec,60
Plant pathology and phytopathology,119
Zoology and animal biology,96
Biological and biomedical sciences nec,184
Computer and information sciences,"2,195"
Computer science,"1,545"
Computer science,"1,545"
"Computer and information sciences, other",650
Artificial intelligence,167
"Computer and information sciences, general",110
Computer systems networking and telecommunications,113
Informatics and information technology ,88
Information science/ studies,103
Computer and information sciences nec,69
Engineering,"9,563"
"Biological, biomedical, and biosystems engineering","1,071"
Bioengineering and biomedical engineering,978
Biological/ biosystems engineering and biomedical technology,93
Chemical and petroleum engineering,"1,292"
Chemical and biomolecular engineering,189
Chemical engineering,803
Petroleum engineering,132
Chemical and petroleum engineering nec,168
"Civil, environmental, and transportation engineering","1,020"
Civil engineering,571
Environmental/ environmental health engineering,93
Geotechnical and geoenvironmental engineering,76
Structural engineering,135
Transportation and highway engineering,76
"Civil, environmental, and transportation engineering nec",69
Electrical and computer engineering,"2,047"
Computer engineering,264
Electrical and computer engineering,"1,205"
Electrical and electronics engineering,512
Electrical and computer engineering nec,66
Engineering technologies,452
Electrical and electronic engineering technologies,80
Electromechanical technologies,59
Environmental control technologies,148
Engineering technologies nec,165
Industrial engineering and operations research,604
Industrial engineering,325
Operations research,160
Systems and manufacturing engineering,119
Materials and mining engineering,672
Materials engineering,194
Materials science and engineering,429
Materials and mining engineering nec,49
Mechanical engineering,"1,413"
"Mechanical engineering, general","1,413"
"Engineering, other",992
"Aerospace, aeronautical, astronautical, and space engineering",350
"Engineering mechanics, physics, and science",111
Nanotechnology,61
Nuclear engineering,156
Engineering nec,314
"Geosciences, atmospheric, and ocean sciences","1,044"
Geological and earth sciences,613
Geochemistry,60
Geology,109
"Geology/ earth science, general",104
Geophysics and seismology,101
Hydrology and water resources science,81
Geological and earth sciences nec,158
Ocean/ marine sciences and atmospheric science,431
"Atmospheric sciences and meteorology, general",94
"Climatology, atmospheric chemistry and physics",60
Marine biology and biological oceanography,89
Marine sciences,57
"Oceanography, chemical and physical",84
Atmospheric sciences and meteorology nec,47
Health sciences,"2,582"
Nursing and nursing science,603
Nursing education,89
Nursing science,357
Nursing specialties and practice,157
Pharmacy and pharmaceutical sciences,408
Medicinal and pharmaceutical chemistry,64
Pharmaceutical sciences,243
"Pharmacy, pharmaceutical sciences, and administration nec",101
Public health,696
Environmental health,66
Health services research,86
Health/ medical physics,70
Public health education and promotion,95
"Public health, general",179
Public health nec,200
"Health sciences, other",875
Communication disorders sciences,127
Exercise science and kinesiology,92
"Health sciences, general",66
Marriage and family therapy/ counseling,58
Medical clinical science,60
"Medical, biomedical, and health informatics",61
"Mental health, counseling, and therapy services and sciences",91
Rehabilitation and therapeutic sciences,121
Health sciences nec,199
Mathematics and statistics,"1,915"
Applied mathematics,475
"Applied mathematics, general",265
Computational and applied mathematics,141
Applied mathematics nec,69
Mathematics,827
Algebra and number theory,69
"Mathematics, general",640
Mathematics nec,118
Statistics,613
"Applied statistics, general",56
Mathematics and statistics,90
Statistics,402
Statistics nec,65
Multidisciplinary/ interdisciplinary sciences,"1,299"
Interdisciplinary computer sciences,448
Computer science and engineering,119
Electrical engineering and computer science,224
Interdisciplinary computer sciences nec,105
" Multidisciplinary/ interdisciplinary sciences, other",851
Behavioral and cognitive sciences,79
Computational science and engineering,104
Data science and data analytics,106
"History/ philosophy of science, technology and society",68
Nanoscience/ nanoscale science,57
Nutrition sciences,138
 Multidisciplinary/ interdisciplinary sciences nec,299
Physical sciences,"4,811"
Astronomy and astrophysics,263
Astronomy,71
Astrophysics,113
Astronomy and astrophysics nec,79
Chemistry,"2,369"
Analytical chemistry,321
Chemical biology,151
"Chemistry, general",495
Inorganic chemistry,283
Organic chemistry,454
Physical chemistry,293
Polymer chemistry,121
Theoretical chemistry,108
Chemistry nec,143
Materials sciences,429
Materials science,276
Materials chemistry and materials science nec,153
Physics,"1,750"
Applied physics,133
Atomic/ molecular physics,89
Condensed matter and materials physics,358
Elementary particle physics,166
Nuclear physics,79
Optics/ optical sciences,120
Physics and astronomy,193
"Physics, general",339
Plasma and high-temperature physics,57
Theoretical and mathematical physics,99
Physics and physical sciences nec,117
Psychology,"3,716"
Clinical psychology,"1,256"
Clinical child psychology,52
Clinical psychology,"1,204"
Counseling and applied psychology,"1,338"
Applied behavior analysis,59
Counseling psychology,365
Educational psychology,229
Industrial and organizational psychology,181
School psychology,259
Counseling and applied psychology nec,245
Research and experimental psychology,651
Behavioral neuroscience,87
Cognitive psychology and psycholinguistics,106
Developmental and child psychology,78
Experimental psychology,98
Social psychology,143
Research and experimental psychology nec,139
"Psychology, other",471
Human development,142
"Psychology, general",261
Psychology nec,68
Social sciences,"4,749"
Anthropology,388
"Anthropology, general",80
Cultural anthropology,186
Physical and biological anthropology,71
Anthropology nec,51
"Area, ethnic, cultural, gender, and group studies",383
Area studies,224
Ethnic studies,81
"Area, ethnic, cultural, gender, and group studies nec",78
Economics,"1,317"
Agricultural economics,76
Applied economics,134
Development economics and international development,54
Econometrics and quantitative economics,145
"Economics, general",802
Environmental/ natural resource economics,54
Economics nec,52
Political science and government,581
"Political science and government, general",488
Political science and government nec,93
Public policy analysis,399
Education policy analysis,131
Health policy analysis,52
"Public policy analysis, general",158
Public policy nec,58
"Sociology, demography, and population studies",578
"Sociology, general",501
"Sociology, demography, and population studies nec",77
"Social sciences, other","1,103"
Applied linguistics,74
Archeology,83
Criminal justice and corrections,126
Criminology,97
Geography and cartography,223
International relations and national security studies,105
Linguistics,203
Social sciences nec,192
Non-science and engineering,"10,894"
Business,"1,340"
Business administration and management,456
Business management and administration,235
Organizational leadership,117
Business administration and management nec,104
"Business, other",884
Accounting and accounting-related,135
Finance and financial management,192
Management information systems,88
Management sciences,73
Marketing,119
Organizational behavior studies,103
Business nec,174
Education,"3,711"
Education leadership and administration,"1,082"
"Educational leadership and administration, general",500
Higher education and community college administration,391
Education leadership and administration nec,191
Education research,"1,204"
Curriculum and instruction,425
"Educational assessment, evaluation, and research methods",222
Educational/ instructional technology and media design,155
Higher education evaluation and research,61
Student counseling and personnel services,267
Education research nec,74
Teacher education,"1,010"
"Adult, continuing, and workforce education and development",66
"Bilingual, multilingual, and multicultural education",77
Mathematics teacher education,75
Music teacher education,73
Special education and teaching,235
STEM educational methods,70
"Teacher education, science and engineering",68
"Teacher education, specific levels and methods",154
"Teacher education, specific subject areas",192
"Education, other",415
"Education, general",268
Education nec,147
Humanities,"3,076"
"English language and literature, letters",933
American literature (United States),113
Creative writing,68
"English language and literature, general",362
English literature (British and commonwealth),131
"Rhetoric and composition, and writing studies",190
English language and literature nec,69
"Foreign languages, literatures, and linguistics",505
Comparative literature,118
"Hispanic/ Latin American languages, literatures, and linguistics",70
"Romance languages, literatures, and linguistics",72
Spanish language and literature,79
"Foreign languages, literatures, and linguistics nec",166
History,672
American history (United States),209
European history,88
"History, general",169
"History, regional focus",133
History nec,73
Philosophy and religious studies,592
Philosophy,399
Religion/ religious studies,126
Philosophy and religious studies nec,67
"Humanities, other",374
Bible/ biblical studies,71
Humanities and humanistic studies,62
Theological and ministerial studies,241
Visual and performing arts,771
Performing arts,491
"Dance, drama, theatre arts and stagecraft",82
Music performance,128
Music theory and composition,86
Music nec,79
Musicology and ethnomusicology,116
"Visual arts, media studies/ design",280
"Art history, criticism and conservation",167
"Film, cinema, and media studies",62
"Visual arts, media studies/ design, and arts management nec",51
Other non-science and engineering,"1,996"
Communications and journalism,520
"Applied communication, advertising, and public relations",94
Communication and media studies,160
"Communication, general",85
Mass communication/ media studies,95
Communications and journalism nec,86
Multidisciplinary/ interdisciplinary studies,331
Classical and ancient studies,91
Multidisciplinary/ interdisciplinary studies nec,240
Public administration and social services,490
Public administration,202
Social work and human services,288
"Non-science and engineering, other",655
Architecture and architectural studies ,134
"City/ urban, community, and regional planning",101
"Family, consumer sciences and human sciences",140
Homeland security and protective services,50
"Law, legal studies and research",80
"Parks, recreation, leisure, fitness, and sport studies and management",87
Other non-science and engineering nec,63
