Table 3-3,,,,,,,,,,,
"Research doctorate recipients, by detailed field of doctorate, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,
(Number),,,,,,,,,,,
Field of doctorate,All doctorate recipientsa,Temporary visa holders,U.S. citizens and permanent residents,,,,,,,,
,,,Total,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,,,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All fields,"52,250","17,638","31,674","2,856",100,"3,022","2,431","21,333","1,088",376,468
Science and engineering,"41,356","15,259","23,906","2,166",66,"2,553","1,459","16,235",834,283,310
Agricultural sciences and natural resources,"1,223",477,695,44,4,40,30,538,12,10,17
"Agricultural, animal, plant, and veterinary sciences",807,340,440,24,0,23,16,355,5,6,11
Agronomy and crop science,69,27,42,4,0,2,0,34,0,2,0
Animal sciences,160,66,88,2,0,3,0,81,1,0,1
Food science and technology,175,94,77,4,0,6,6,57,0,2,2
Plant sciences,152,57,88,5,0,7,3,69,0,0,4
Soil sciences,79,36,42,1,0,3,4,30,1,2,1
Veterinary biomedical and clinical sciences,78,30,44,4,0,1,2,34,1,0,2
"Agricultural, animal, plant, and veterinary sciences nec",94,30,59,4,0,1,1,50,2,0,1
Natural resources and conservation,416,137,255,20,4,17,14,183,7,4,6
Environmental science,117,46,66,5,1,5,4,46,2,2,1
Environmental/ natural resources management and policy,78,37,37,2,1,6,2,25,0,0,1
Forestry,74,28,44,2,0,3,4,33,0,1,1
Natural resources conservation and research,74,13,56,6,2,2,4,37,2,1,2
Natural resources and conservation nec,73,13,52,5,0,1,0,42,3,0,1
Biological and biomedical sciences,"8,259","2,067","5,876",571,13,700,269,"4,001",214,52,56
"Biochemistry, biophysics, and molecular biology","1,348",426,882,82,1,98,40,618,34,7,2
Biochemistry,417,141,262,24,1,22,12,191,9,2,1
Biochemistry and molecular biology,263,79,182,15,0,20,12,125,8,1,1
Biophysics,206,87,112,9,0,14,1,81,6,1,0
Molecular biology,260,54,199,20,0,26,9,133,8,3,0
"Biochemistry, biophysics, and molecular biology nec",202,65,127,14,0,16,6,88,3,0,0
"Bioinformatics, biostatistics, and computational biology",563,252,296,23,1,65,10,175,11,6,5
Bioinformatics,136,56,79,4,0,12,3,51,5,2,2
Biostatistics,224,110,105,10,0,25,5,60,3,1,1
Computational biology,106,43,61,6,1,18,1,29,2,3,1
"Bioinformatics, biostatistics, and computational biology nec",97,43,51,3,0,10,1,35,1,0,1
Cell/ cellular biology and anatomy,657,173,455,57,1,62,18,285,24,5,3
Cell/ cellular and molecular biology,482,137,324,42,1,46,14,194,20,4,3
Developmental biology and embryology,103,21,81,9,0,12,1,54,4,1,0
Cell/ cellular biology and anatomy nec,72,15,50,6,0,4,3,37,0,0,0
"Ecology, evolutionary biology, and epidemiology",984,166,793,61,0,67,45,591,20,5,4
Ecology,227,31,195,13,0,7,1,167,4,3,0
Ecology and evolutionary biology,243,27,214,24,0,5,6,172,6,0,1
Epidemiology,298,61,232,10,0,40,30,146,5,1,0
Epidemiology and biostatistics,54,12,31,2,0,7,5,14,2,0,1
Evolutionary biology,68,14,52,4,0,6,2,39,1,0,0
"Ecology, evolutionary biology, and epidemiology nec",94,21,69,8,0,2,1,53,2,1,2
