Table 3-4,,,,,,,,,,
"U.S. citizen and permanent resident research doctorate recipients, by major field of doctorate, ethnicity, and race: 2021",,,,,,,,,,
(Number and percent distribution),,,,,,,,,,
Field of doctorate,All U.S. citizens and permanent residents (number),Total,U.S. citizen or permanent resident,,,,,,,
,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All fields,"31,674",100.0,9.0,0.3,9.5,7.7,67.4,3.4,1.2,1.5
Science and engineering,"23,906",100.0,9.1,0.3,10.7,6.1,67.9,3.5,1.2,1.3
Agricultural sciences and natural resources,695,100.0,6.3,0.6,5.8,4.3,77.4,1.7,1.4,2.4
"Agricultural, animal, plant, and veterinary sciences",440,100.0,5.5,0.0,5.2,3.6,80.7,1.1,1.4,2.5
Natural resources and conservation,255,100.0,7.8,1.6,6.7,5.5,71.8,2.7,1.6,2.4
Biological and biomedical sciences,"5,876",100.0,9.7,0.2,11.9,4.6,68.1,3.6,0.9,1.0
"Biochemistry, biophysics, and molecular biology",882,100.0,9.3,0.1,11.1,4.5,70.1,3.9,0.8,0.2
"Bioinformatics, biostatistics, and computational biology",296,100.0,7.8,0.3,22.0,3.4,59.1,3.7,2.0,1.7
Cell/ cellular biology and anatomy,455,100.0,12.5,0.2,13.6,4.0,62.6,5.3,1.1,0.7
"Ecology, evolutionary biology, and epidemiology",793,100.0,7.7,0.0,8.4,5.7,74.5,2.5,0.6,0.5
Genetics and genomics,291,100.0,9.6,0.0,11.7,3.4,69.1,4.1,1.4,0.7
Microbiology and immunology,766,100.0,10.8,0.4,9.4,4.7,70.5,3.1,0.3,0.8
Neurobiology and neurosciences,795,100.0,10.6,0.3,12.7,2.6,68.4,3.3,1.1,1.0
Pharmacology and toxicology,222,100.0,10.4,0.0,14.4,6.3,61.7,3.6,0.9,2.7
"Physiology, oncology and cancer biology",517,100.0,9.7,0.4,13.2,6.2,65.0,3.1,1.2,1.4
"Biological and biomedical sciences, other",859,100.0,9.3,0.3,11.8,5.0,66.8,4.5,0.7,1.5
Computer and information sciences,703,100.0,4.6,0.0,19.3,5.1,64.0,3.8,1.6,1.6
Computer science,480,100.0,4.2,0.0,19.8,4.0,65.8,3.5,1.3,1.5
"Computer and information sciences, other",223,100.0,5.4,0.0,18.4,7.6,60.1,4.5,2.2,1.8
Engineering,"3,785",100.0,8.2,0.2,15.4,4.1,66.4,3.0,1.4,1.2
"Biological, biomedical, and biosystems engineering",732,100.0,9.3,0.1,20.2,2.7,61.1,4.0,1.5,1.1
Chemical and petroleum engineering,540,100.0,6.1,0.0,14.8,3.9,68.9,4.4,0.6,1.3
"Civil, environmental, and transportation engineering",325,100.0,10.2,0.3,14.2,4.3,65.8,2.2,2.5,0.6
Electrical and computer engineering,553,100.0,7.2,0.0,17.9,5.8,64.4,1.4,1.4,1.8
Engineering technologies,132,100.0,6.1,1.5,23.5,6.8,58.3,3.8,0.0,0.0
Industrial engineering and operations research,203,100.0,8.4,0.5,16.7,5.4,62.1,3.0,2.0,2.0
Materials and mining engineering,288,100.0,9.4,0.0,14.9,4.2,64.6,3.8,1.7,1.4
Mechanical engineering,571,100.0,9.1,0.2,10.0,3.5,72.3,1.8,1.6,1.6
"Engineering, other",441,100.0,7.5,0.0,10.0,3.9,73.5,3.4,1.1,0.7
"Geosciences, atmospheric, and ocean sciences",665,100.0,7.2,0.3,4.5,2.0,79.4,5.0,1.1,0.6
Geological and earth sciences,373,100.0,7.0,0.3,3.8,2.7,79.4,5.1,0.8,1.1
Ocean/ marine sciences and atmospheric science,292,100.0,7.5,0.3,5.5,1.0,79.5,4.8,1.4,0.0
Health sciences,"1,886",100.0,7.4,0.5,9.7,13.9,63.2,2.9,0.8,1.6
Nursing and nursing science,510,100.0,7.8,0.6,5.7,11.8,70.8,1.6,0.8,1.0
Pharmacy and pharmaceutical sciences,196,100.0,7.1,0.5,17.9,7.7,60.2,3.6,1.0,2.0
Public health,527,100.0,8.5,0.6,12.1,20.9,52.8,3.2,0.8,1.1
"Health sciences, other",653,100.0,6.1,0.3,8.3,11.9,66.6,3.5,0.9,2.3
Mathematics and statistics,847,100.0,7.7,0.0,11.3,3.3,70.5,3.9,1.5,1.8
Applied mathematics,228,100.0,6.6,0.0,9.6,6.1,70.6,3.5,2.2,1.3
Mathematics,428,100.0,8.9,0.0,10.5,1.4,72.9,4.2,0.9,1.2
Statistics,191,100.0,6.3,0.0,15.2,4.2,64.9,3.7,2.1,3.7
Multidisciplinary/ interdisciplinary sciences,674,100.0,10.1,0.3,10.4,7.6,65.1,4.0,1.3,1.2
Interdisciplinary computer sciences,175,100.0,9.1,0.6,18.9,3.4,59.4,5.1,2.9,0.6
" Multidisciplinary/ interdisciplinary sciences, other",499,100.0,10.4,0.2,7.4,9.0,67.1,3.6,0.8,1.4
Physical sciences,"2,712",100.0,8.0,0.2,9.8,2.8,73.5,3.5,1.0,1.1
Astronomy and astrophysics,183,100.0,6.6,0.5,6.0,2.2,79.8,3.8,1.1,0.0
Chemistry,"1,390",100.0,8.9,0.3,8.7,4.0,72.2,3.7,0.9,1.2
Materials sciences,226,100.0,5.3,0.0,17.7,2.2,71.7,2.7,0.4,0.0
Physics,913,100.0,7.4,0.1,10.3,1.2,74.7,3.4,1.3,1.5
Psychology,"3,070",100.0,11.7,0.3,6.4,7.9,66.2,4.1,1.5,2.0
Clinical psychology,"1,090",100.0,12.7,0.1,6.7,5.6,67.2,4.0,1.7,2.1
Counseling and applied psychology,"1,133",100.0,11.6,0.5,5.7,11.9,63.2,3.7,1.1,2.2
Research and experimental psychology,530,100.0,9.8,0.2,8.7,2.6,71.9,4.3,2.1,0.4
"Psychology, other",317,100.0,12.3,0.3,3.5,10.4,63.7,5.0,1.6,3.2
Social sciences,"2,993",100.0,10.4,0.5,8.6,9.8,65.2,3.2,1.2,1.1
Anthropology,294,100.0,11.9,1.0,8.8,2.7,64.6,6.8,2.7,1.4
"Area, ethnic, cultural, gender, and group studies",283,100.0,20.5,1.4,7.4,16.3,46.3,5.3,0.7,2.1
Economics,467,100.0,8.4,0.0,17.6,3.9,65.3,2.1,1.3,1.5
Political science and government,405,100.0,5.4,0.2,4.7,5.9,78.0,3.0,1.2,1.5
Public policy analysis,316,100.0,8.2,0.0,8.2,20.6,59.2,2.8,0.3,0.6
"Sociology, demography, and population studies",469,100.0,11.9,0.4,7.7,12.6,62.9,2.6,1.5,0.4
"Social sciences, other",759,100.0,10.0,0.7,6.1,9.7,69.3,2.5,1.1,0.7
Non-science and engineering,"7,768",100.0,8.9,0.4,6.0,12.5,65.6,3.3,1.2,2.0
Business,590,100.0,4.7,0.2,13.2,19.0,55.9,3.2,1.0,2.7
Business administration and management,219,100.0,4.6,0.0,11.0,26.5,49.8,4.6,0.9,2.7
"Business, other",371,100.0,4.9,0.3,14.6,14.6,59.6,2.4,1.1,2.7
Education,"2,962",100.0,9.6,0.7,5.4,17.3,61.1,3.2,0.9,1.9
Education leadership and administration,937,100.0,9.9,0.9,3.0,24.4,54.9,4.4,0.9,1.7
Education research,924,100.0,9.2,0.4,6.5,14.4,63.7,2.3,1.4,2.1
Teacher education,778,100.0,7.1,0.8,6.6,13.2,66.8,3.1,0.5,1.9
"Education, other",323,100.0,15.8,0.9,6.2,14.6,57.9,2.5,0.3,1.9
Humanities,"2,339",100.0,9.6,0.1,4.9,4.7,73.6,3.4,1.6,2.1
"English language and literature, letters",776,100.0,5.9,0.3,4.6,4.9,77.2,3.9,0.9,2.3
"Foreign languages, literatures, and linguistics",305,100.0,23.0,0.3,6.2,3.6,58.7,3.9,2.0,2.3
History,524,100.0,9.7,0.0,2.9,4.4,76.9,3.2,1.1,1.7
Philosophy and religious studies,457,100.0,7.7,0.0,5.0,4.6,75.9,2.4,2.4,2.0
"Humanities, other",277,100.0,7.9,0.0,7.6,6.5,69.7,3.6,2.5,2.2
Visual and performing arts,571,100.0,7.5,0.4,5.8,3.0,77.1,3.9,0.9,1.6
Performing arts,368,100.0,7.6,0.3,7.1,3.0,76.6,3.3,0.8,1.4
"Visual arts, media studies/ design",203,100.0,7.4,0.5,3.4,3.0,77.8,4.9,1.0,2.0
Other non-science and engineering,"1,306",100.0,8.5,0.5,6.5,16.8,61.0,3.0,1.5,2.1
Communications and journalism,358,100.0,6.4,0.3,6.7,11.2,67.6,4.2,0.8,2.8
Multidisciplinary/ interdisciplinary studies,233,100.0,9.4,1.3,4.3,14.2,65.7,1.3,1.7,2.1
Public administration and social services,357,100.0,9.2,0.8,6.4,30.3,47.6,2.8,1.7,1.1
"Non-science and engineering, other",358,100.0,9.2,0.0,7.8,10.9,64.8,3.1,1.7,2.5
