Table 3-5,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median years to science and engineering research doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
(Number and median years),,,,,,,,,,,,,,,,,,,,,,,,,,
Time to degree and demographic characteristic,All fields,,"Science and engineering, total",,Agricultural sciences and natural resources,,Biological and biomedical sciences,,Computer and information sciences,,Engineering,,"Geosciences, atmospheric, and ocean sciences",,Health sciences,,Mathematics and statistics,,Multidisciplinary/ interdisciplinary sciences,,Physical sciences,,Psychology,,Social sciences,
,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median,Number,Median
Years since bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctorate recipients reporting year of bachelor's degree,"49,332",8.7,"39,132",8.0,"1,144",8.6,"7,880",8.0,"2,051",8.8,"9,096",7.5,"1,005",8.0,"2,362",11.3,"1,839",7.0,"1,224",8.9,"4,602",6.6,"3,405",8.6,"4,524",10.0
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"26,610",8.3,"22,238",8.0,562,8.6,"3,768",8.0,"1,572",8.6,"6,733",7.6,558,8.0,729,10.0,"1,327",7.0,723,8.4,"3,098",6.7,927,8.6,"2,241",9.8
Female,"22,718",9.0,"16,891",8.3,582,8.4,"4,112",7.8,479,9.1,"2,362",7.2,447,7.8,"1,633",12.0,512,7.0,501,9.1,"1,503",6.3,"2,478",8.6,"2,282",10.3
Citizenship status,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,"31,287",9.0,"23,620",8.0,687,8.3,"5,811",7.7,692,9.0,"3,760",7.0,663,7.6,"1,825",12.0,844,6.8,670,9.2,"2,686",6.3,"3,016",8.6,"2,966",10.3
Temporary visa holder,"17,216",8.3,"14,894",8.1,445,8.8,"1,987",8.3,"1,310",8.6,"5,176",7.8,331,8.1,496,9.8,968,7.2,535,8.3,"1,860",7.2,305,8.4,"1,481",9.4
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,"2,808",8.6,"2,134",8.0,42,8.5,565,7.4,32,8.5,311,6.6,48,7.5,132,12.3,65,6.6,67,8.8,216,6.3,346,8.4,310,10.1
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,97,11.0,63,9.0,D,D,D,D,0,-,6,6.4,D,D,8,13.6,0,-,D,D,D,D,9,11.3,15,9.4
Asian,"2,986",8.6,"2,521",8.3,40,9.0,D,D,136,8.5,579,7.3,30,8.8,174,11.3,96,7.2,70,8.2,D,D,190,9.0,254,10.0
Black or African American,"2,397",12.3,"1,439",10.2,30,10.9,262,8.3,35,11.6,155,8.8,13,8.3,259,15.0,28,9.6,50,12.8,76,6.3,239,10.0,292,12.0
