Table 3-7,,,,,,,,
"Median age and age distribution of research doctorate recipients, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2021",,,,,,,,
(Median age and percent distribution),,,,,,,,
Field and demographic characteristic,Median age at doctorate (years),All ages,25 and under,26–30,31–35,36–40,41–45,Over 45
Doctorate recipients reporting birth year,31.4,100.0,0.8,44.7,30.9,11.6,5.1,6.9
Science and engineering ,30.8,100.0,0.9,51.7,30.3,9.3,3.6,4.2
Agricultural sciences and natural resources,31.7,100.0,0.7,42.5,34.8,11.8,5.8,4.5
Biological and biomedical sciences  ,30.4,100.0,0.7,55.7,31.8,7.9,2.3,1.5
Computer and information sciences  ,31.3,100.0,1.2,45.3,35.2,9.4,4.4,4.6
Engineering  ,30.2,100.0,1.3,58.9,28.0,7.4,2.2,2.2
"Geosciences, atmospheric, and ocean sciences  ",30.7,100.0,0.7,53.4,32.1,7.4,4.2,2.2
Health sciences  ,34.5,100.0,0.6,26.4,29.2,15.1,9.6,19.1
Mathematics and statistics  ,29.4,100.0,1.9,64.2,24.7,6.0,1.8,1.6
Multidisciplinary/ interdisciplinary sciences,31.6,100.0,1.0,43.2,31.8,12.6,5.6,5.7
Physical sciences  ,29.2,100.0,1.1,70.3,22.4,4.4,1.1,0.6
Psychology  ,31.2,100.0,0.6,46.4,31.2,10.3,4.6,6.9
Social sciences  ,33.1,100.0,0.2,30.9,38.4,16.8,6.2,7.5
Non-science and engineering,35.8,100.0,0.1,17.6,33.4,20.4,11.1,17.3
Business,33.9,100.0,0.5,26.4,33.3,15.2,7.9,16.7
Education  ,38.8,100.0,D,11.0,25.6,22.1,D,26.2
Humanities,34.6,100.0,D,19.0,40.5,21.2,D,10.9
Visual and performing arts  ,33.9,100.0,0.0,22.8,43.0,18.9,8.7,6.7
Othera,35.3,100.0,D,19.9,32.9,20.2,D,15.5
Sex,,,,,,,,
Male,31.3,100.0,0.7,46.4,32.0,11.2,4.5,5.3
Female,31.7,100.0,0.8,42.8,29.7,12.1,5.9,8.8
"Citizenship status, ethnicity, and race",,,,,,,,
U.S. citizen or permanent resident,31.7,100.0,0.8,43.1,28.2,12.2,6.3,9.6
Hispanic or Latino,31.8,100.0,0.5,41.4,30.3,12.8,6.3,8.8
Not Hispanic or Latino,,,,,,,,
American Indian or Alaska Native,37.3,100.0,D,23.2,20.2,16.2,17.2,D
Asian,31.3,100.0,1.1,46.2,32.2,10.6,5.3,4.6
Black or African American,36.6,100.0,0.3,25.1,23.0,15.9,11.0,24.7
White,31.4,100.0,0.8,45.0,28.0,11.7,5.8,8.7
More than one race,31.1,100.0,0.8,47.6,26.0,13.3,4.6,7.6
Other race or race not reported,32.9,100.0,D,37.5,32.7,16.2,7.9,D
Ethnicity not reported,33.8,100.0,0.0,31.3,28.5,15.2,9.0,16.1
Temporary visa holder,31.1,100.0,0.8,47.8,35.8,10.5,3.1,2.0
