Table 4-1,,,,,,,,,,,,,
"Research doctorate recipients' primary source of financial support, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,
Field and primary source of support,Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
,,,,,,Hispanic or Latino,Not Hispanic or Latino,,,,,,Ethnicity not reported
,,Male,Female,U.S. citizen or permanent resident,Temporary visa holder,,American Indian or Alaska Native,Asian,Black or African American,White,More than one race,Other race or race not reported,
All doctorate recipients (number),"52,250","28,082","24,156","31,674","17,638","2,856",100,"3,022","2,431","21,333","1,088",376,468
"All doctorate recipients reporting primary source of support, all fields (number)","46,056","24,907","21,147","29,394","16,399","2,620",87,"2,848","2,202","20,144","1,036",286,171
Teaching assistantships,21.3,21.9,20.5,19.5,24.4,18.4,10.3,17.0,10.6,21.0,18.9,21.3,23.4
Research assistantships or traineeshipsb,34.7,39.9,28.6,27.6,47.4,20.6,13.8,35.1,13.2,29.4,23.9,24.1,21.1
"Fellowships, scholarships, or dissertation grants",24.2,22.5,26.3,27.0,19.4,34.4,36.8,31.6,25.8,25.1,33.7,25.9,24.0
Own resources,15.3,11.1,20.2,21.3,4.4,23.2,33.3,13.4,44.3,19.6,20.7,22.4,26.3
Employer or other sources,4.5,4.7,4.4,4.6,4.5,3.4,5.7,2.9,6.0,4.8,2.8,6.3,5.3
Science and engineering (number),"36,741","20,930","15,809","22,312","14,223","1,993",59,"2,400","1,339","15,389",798,213,121
Teaching assistantships,20.2,21.0,19.2,17.9,23.9,16.8,D,15.2,11.2,19.1,16.3,D,22.3
Research assistantships or traineeshipsb,40.8,45.5,34.7,33.8,51.7,25.0,D,39.8,17.3,35.9,29.2,D,27.3
"Fellowships, scholarships, or dissertation grants",23.9,21.5,27.1,28.5,16.9,37.9,37.3,31.5,32.0,26.1,35.8,27.7,23.1
