Table 4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Research doctorate recipients' sources of financial support, by broad field of doctorate and sex: 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial source,All fields,,Science and engineering,,,,,,,,,,,,,,,,,,,,,,,,Non-science and engineering,,,,,,,,,,,
,,,Total,,Agricultural sciences and natural resources,,Biological and biomedical sciences,,Computer and information sciences,,Engineering,,"Geosciences, atmospheric, and ocean sciences",,Health sciences,,Mathematics and statistics,,Multidisciplinary/ interdisciplinary sciences,,Physical sciences,,Psychology,,Social sciences,,Total,,Business,,Education,,Humanities,,Visual and performing arts,,Othera,
,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Doctorate recipients reporting source of support and sex (number),"24,923","21,172","20,942","15,828",528,546,"3,583","3,940","1,459",456,"6,312","2,201",534,420,699,"1,553","1,248",486,683,460,"2,939","1,423",829,"2,188","2,128","2,155","3,981","5,344",628,505,930,"2,230","1,404","1,265",301,370,718,974
Fellowship or scholarship,63.8,68.3,62.8,69.3,66.3,73.4,71.0,74.2,54.7,56.4,57.9,66.3,69.5,78.8,58.1,60.8,61.1,64.6,60.3,73.5,60.0,68.4,57.5,61.7,76.1,78.0,68.6,65.4,65.0,65.1,45.8,49.4,83.5,85.2,85.7,89.5,64.9,67.2
Dissertation grant,14.3,21.5,12.2,19.7,14.4,19.0,12.8,15.7,5.8,11.4,7.1,9.0,14.4,16.0,15.9,22.4,8.6,8.8,11.0,22.2,7.2,10.0,22.1,23.4,34.0,43.1,25.3,26.8,14.5,14.9,12.8,15.4,38.2,45.9,32.2,40.8,23.0,28.9
Assistantship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teaching,69.8,65.7,70.5,66.9,46.4,59.2,54.1,54.5,75.7,80.0,65.5,66.3,76.0,80.2,51.5,42.5,94.2,89.7,74.8,72.0,86.7,88.5,72.7,69.2,81.3,81.4,66.5,62.0,65.9,63.2,35.2,39.9,82.5,88.3,90.0,87.6,66.4,68.3
Research,71.1,62.6,76.5,69.0,82.0,81.3,65.7,65.1,84.8,83.6,85.1,84.8,85.0,85.7,55.9,48.0,62.4,61.1,78.6,70.0,90.4,87.9,57.8,60.6,62.6,63.2,42.4,43.7,58.0,58.4,34.8,37.8,37.3,40.1,29.9,34.1,53.9,57.7
Other,7.0,10.0,6.0,8.2,8.9,8.4,4.1,4.0,5.6,6.6,4.8,4.5,5.4,4.8,9.0,7.5,5.4,5.1,7.0,7.2,3.0,3.0,20.7,20.7,9.5,12.7,12.4,15.3,6.1,8.5,14.9,16.0,14.4,18.3,15.6,16.5,9.3,12.8
Traineeship,3.3,5.0,3.8,6.3,2.1,2.2,11.6,12.9,D,D,1.7,3.5,1.7,3.8,7.7,7.6,1.8,2.9,D,D,1.8,3.1,6.2,6.5,1.9,2.3,0.8,1.2,D,D,0.5,1.0,1.0,1.1,D,D,0.7,2.1
Internship or clinical residency,12.1,11.1,13.7,13.6,4.4,6.2,3.2,4.2,39.0,36.4,18.6,15.9,11.2,10.2,8.6,5.5,13.7,23.0,22.0,14.6,4.9,7.0,36.8,43.1,4.3,4.0,4.1,3.8,4.6,3.6,3.3,3.7,3.6,2.9,2.7,7.0,6.3,4.1
Loan (any source),18.5,27.1,15.2,22.6,15.7,20.1,15.8,13.8,8.4,9.4,10.1,7.6,14.0,13.8,30.9,44.2,9.1,7.6,16.1,20.0,8.1,8.4,49.8,47.5,28.3,31.7,35.9,40.3,21.2,26.3,46.9,46.5,34.3,33.7,42.9,38.6,34.5,42.8
Personal sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savings,47.0,54.4,44.2,51.7,51.5,51.6,43.3,47.5,40.7,42.1,41.7,41.6,41.0,45.2,57.5,65.0,38.1,41.8,47.0,54.8,34.4,38.9,68.0,65.7,57.1,59.5,61.6,62.3,58.4,65.0,67.0,64.3,60.4,58.4,63.1,63.2,59.2,61.1
Other earnings during graduate school,24.7,34.8,20.1,29.2,27.7,28.4,18.5,20.4,16.0,18.0,14.2,14.6,19.1,25.5,37.1,49.2,17.8,17.9,23.4,33.5,11.7,13.1,46.9,46.3,37.9,43.7,48.6,51.7,25.5,28.1,58.1,57.5,54.0,53.4,62.5,58.4,40.1,45.6
"Spouse's, partner's, or family's earnings or savings",33.6,44.8,31.9,42.6,33.9,43.0,32.8,39.3,29.2,34.4,30.5,35.3,28.3,33.3,34.9,47.5,29.9,39.9,33.7,39.6,25.8,30.9,44.9,59.6,39.8,47.8,42.5,51.4,37.4,50.3,38.8,49.7,45.7,53.4,48.2,54.3,43.2,52.1
Employer reimbursement or assistance,9.2,11.2,8.0,8.9,9.8,8.6,6.7,6.9,10.0,8.1,7.9,5.9,7.3,6.4,15.3,22.4,5.6,5.6,7.8,11.3,6.2,4.8,9.4,8.2,9.6,10.3,15.4,18.0,11.3,14.9,28.6,28.0,10.5,8.1,4.3,6.8,16.0,14.2
Foreign (non-U.S.) support,6.9,4.9,6.8,5.0,11.6,8.1,5.1,4.5,8.0,9.4,8.5,6.5,6.0,4.5,8.6,4.1,5.7,7.2,7.3,5.4,3.5,3.2,3.1,2.3,8.8,6.7,7.4,4.7,6.2,5.5,5.7,3.3,7.5,4.9,5.6,7.3,10.9,6.0
Other ,0.9,1.1,0.8,0.9,0.6,1.3,0.7,0.8,0.4,0.0,0.6,0.3,0.7,0.5,1.1,2.1,0.8,0.2,0.7,1.1,0.4,0.5,1.4,1.3,1.7,1.2,1.6,1.7,1.6,2.2,2.2,1.7,1.5,0.9,0.3,1.6,1.7,2.5
