Table 4-3,,,,,,,,,,,,,,,,,,,,
"Research doctorate recipients' sources of financial support, by sex and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,,
(Number and percent distribution),,,,,,,,,,,,,,,,,,,,
Sex and financial resource,All fields (number),All fields (percent),Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Othera
Male doctorate recipients reporting source of support,"24,923",100.0,84.0,2.1,14.4,5.9,25.3,2.1,2.8,5.0,2.7,11.8,3.3,8.5,16.0,2.5,3.7,5.6,1.2,2.9
Fellowship or scholarship,"15,889",100.0,82.8,2.2,16.0,5.0,23.0,2.3,2.6,4.8,2.6,11.1,3.0,10.2,17.2,2.6,2.7,7.4,1.6,2.9
Dissertation grant,"3,566",100.0,71.7,2.1,12.8,2.4,12.6,2.2,3.1,3.0,2.1,6.0,5.1,20.3,28.3,2.6,3.3,15.1,2.7,4.6
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,"17,402",100.0,84.8,1.4,11.1,6.3,23.8,2.3,2.1,6.8,2.9,14.6,3.5,9.9,15.2,2.4,1.9,6.7,1.6,2.7
Research,"17,716",100.0,90.5,2.4,13.3,7.0,30.3,2.6,2.2,4.4,3.0,15.0,2.7,7.5,9.5,2.1,1.8,3.0,0.5,2.2
Other,"1,746",100.0,71.8,2.7,8.5,4.7,17.5,1.7,3.6,3.9,2.7,5.0,9.9,11.6,28.2,2.2,8.0,11.6,2.7,3.8
Traineeship,818,100.0,96.1,1.3,51.0,D,13.1,1.1,6.6,2.7,D,6.5,6.2,5.0,3.9,D,0.6,1.7,D,0.6
Internship or clinical residency,"3,023",100.0,94.6,0.8,3.8,18.8,38.7,2.0,2.0,5.7,5.0,4.8,10.1,3.0,5.4,1.0,1.0,1.7,0.3,1.5
Loan (any source),"4,602",100.0,69.0,1.8,12.3,2.7,13.8,1.6,4.7,2.5,2.4,5.2,9.0,13.1,31.0,2.9,9.5,10.5,2.8,5.4
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,"11,714",100.0,79.1,2.3,13.3,5.1,22.5,1.9,3.4,4.1,2.7,8.6,4.8,10.4,20.9,3.1,5.3,7.2,1.6,3.6
Other earnings during graduate school,"6,153",100.0,68.6,2.4,10.8,3.8,14.5,1.7,4.2,3.6,2.6,5.6,6.3,13.1,31.4,2.6,8.8,12.3,3.1,4.7
"Spouse's, partner's, or family's earnings or savings","8,370",100.0,79.8,2.1,14.0,5.1,23.0,1.8,2.9,4.5,2.7,9.1,4.4,10.1,20.2,2.8,4.3,7.7,1.7,3.7
Employer reimbursement or assistance,"2,281",100.0,73.1,2.3,10.5,6.4,21.8,1.7,4.7,3.1,2.3,7.9,3.4,8.9,26.9,3.1,11.7,6.5,0.6,5.0
Foreign (non-U.S.) support,"1,720",100.0,83.0,3.5,10.6,6.7,31.2,1.9,3.5,4.1,2.9,6.0,1.5,10.9,17.0,2.3,3.1,6.2,1.0,4.5
Other ,227,100.0,71.8,1.3,11.0,2.6,18.1,1.8,3.5,4.4,2.2,5.3,5.3,16.3,28.2,4.4,8.8,9.3,0.4,5.3
Female doctorate recipients reporting source of support,"21,172",100.0,74.8,2.6,18.6,2.2,10.4,2.0,7.3,2.3,2.2,6.7,10.3,10.2,25.2,2.4,10.5,6.0,1.7,4.6
Fellowship or scholarship,"14,464",100.0,75.8,2.8,20.2,1.8,10.1,2.3,6.5,2.2,2.3,6.7,9.3,11.6,24.2,2.3,7.6,7.5,2.3,4.5
Dissertation grant,"4,548",100.0,68.5,2.3,13.6,1.1,4.4,1.5,7.7,0.9,2.2,3.1,11.3,20.4,31.5,1.6,7.6,12.8,3.3,6.2
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,"13,901",100.0,76.2,2.3,15.4,2.6,10.5,2.4,4.7,3.1,2.4,9.1,10.9,12.6,23.8,2.3,6.4,8.0,2.3,4.8
Research,"13,256",100.0,82.4,3.3,19.3,2.9,14.1,2.7,5.6,2.2,2.4,9.4,10.0,10.3,17.6,2.2,6.4,3.8,1.0,4.2
Other,"2,112",100.0,61.4,2.2,7.5,1.4,4.7,0.9,5.5,1.2,1.6,2.0,21.4,12.9,38.6,2.0,16.9,10.9,2.9,5.9
Traineeship,"1,064",100.0,94.1,1.1,47.9,D,7.1,1.5,11.1,1.3,D,4.1,13.3,4.6,5.9,D,2.1,1.3,D,1.9
Internship or clinical residency,"2,355",100.0,91.3,1.4,7.0,7.0,14.8,1.8,3.7,4.8,2.8,4.2,40.1,3.7,8.7,0.8,3.5,1.6,1.1,1.7
Loan (any source),"5,735",100.0,62.4,1.9,9.5,0.7,2.9,1.0,12.0,0.6,1.6,2.1,18.1,11.9,37.6,2.3,18.1,7.4,2.5,7.3
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,"11,517",100.0,71.1,2.4,16.2,1.7,8.0,1.6,8.8,1.8,2.2,4.8,12.5,11.1,28.9,2.8,12.5,6.4,2.0,5.2
Other earnings during graduate school,"7,376",100.0,62.6,2.1,10.9,1.1,4.4,1.5,10.4,1.2,2.1,2.5,13.7,12.8,37.4,1.9,17.4,9.2,2.9,6.0
"Spouse's, partner's, or family's earnings or savings","9,490",100.0,71.1,2.5,16.3,1.7,8.2,1.5,7.8,2.0,1.9,4.6,13.7,10.9,28.9,2.7,11.7,7.1,2.1,5.3
Employer reimbursement or assistance,"2,374",100.0,59.4,2.0,11.5,1.6,5.4,1.1,14.7,1.1,2.2,2.9,7.6,9.4,40.6,3.2,26.3,4.3,1.1,5.8
Foreign (non-U.S.) support,"1,038",100.0,76.0,4.2,17.0,4.1,13.8,1.8,6.1,3.4,2.4,4.3,4.9,14.0,24.0,2.7,7.1,6.0,2.6,5.6
Other ,236,100.0,61.4,3.0,13.1,0.0,2.5,0.8,14.0,0.4,2.1,3.0,11.9,10.6,38.6,4.7,16.1,5.1,2.5,10.2
