Table 4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Education-related debt of research doctorate recipients, by broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Median debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt level,All fields,,Science and engineering ,,,,,,,,,,,,,,,,,,,,,,,,Non-science and engineering,,,,,,,,,,,
,,,Total,,Agricultural sciences and natural resources,,Biological and biomedical sciences,,Computer and information sciences,,Engineering,,"Geosciences, atmospheric, and ocean sciences",,Health sciences,,Mathematics and statistics,,Multidisciplinary/ interdisciplinary sciences,,Physical sciences,,Psychology,,Social sciences,,Total,,Business,,Education,,Humanities,,Visual and performing arts,,Othera,
Cumulative debt,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
All reporting education-related debt (number),"47,344",,"37,763",,"1,107",,"7,713",,"1,972",,"8,755",,980,,"2,312",,"1,766",,"1,182",,"4,472",,"3,133",,"4,371",,"9,581",,"1,163",,"3,262",,"2,727",,692,,"1,737",
Median debt,"$40,000",,"$35,000",,"$30,000",,"$30,000",,"$25,000",,"$25,000",,"$25,000",,"$70,000",,"$25,000",,"$40,000",,"$25,000",,"$80,000",,"$50,000",,"$65,000",,"$60,000",,"$80,000",,"$45,000",,"$60,000",,"$65,000",
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,"28,610",60.4,"23,815",63.1,671,60.6,"4,779",62.0,"1,584",80.3,"6,397",73.1,635,64.8,"1,045",45.2,"1,304",73.8,781,66.1,"3,058",68.4,"1,200",38.3,"2,361",54.0,"4,795",50.0,762,65.5,"1,475",45.2,"1,390",51.0,344,49.7,824,47.4
"$10,000 or less","3,261",6.9,"2,654",7.0,98,8.9,580,7.5,115,5.8,648,7.4,77,7.9,157,6.8,106,6.0,80,6.8,318,7.1,157,5.0,318,7.3,607,6.3,57,4.9,181,5.5,207,7.6,46,6.6,116,6.7
"$10,001–$20,000","2,482",5.2,"2,030",5.4,79,7.1,498,6.5,54,2.7,414,4.7,65,6.6,92,4.0,90,5.1,45,3.8,290,6.5,162,5.2,241,5.5,452,4.7,40,3.4,133,4.1,151,5.5,33,4.8,95,5.5
"$20,001–$30,000","2,136",4.5,"1,716",4.5,50,4.5,422,5.5,49,2.5,318,3.6,54,5.5,101,4.4,69,3.9,45,3.8,245,5.5,162,5.2,201,4.6,420,4.4,42,3.6,125,3.8,157,5.8,28,4.0,68,3.9
"$30,001–$40,000","1,621",3.4,"1,256",3.3,38,3.4,288,3.7,31,1.6,213,2.4,36,3.7,110,4.8,34,1.9,31,2.6,176,3.9,129,4.1,170,3.9,365,3.8,28,2.4,109,3.3,121,4.4,34,4.9,73,4.2
"$40,001–$50,000","1,159",2.4,862,2.3,27,2.4,195,2.5,22,1.1,157,1.8,17,1.7,67,2.9,38,2.2,22,1.9,86,1.9,108,3.4,123,2.8,297,3.1,22,1.9,110,3.4,86,3.2,14,2.0,65,3.7
