Table 4-5,,,,,,,,,,,,,,,,,,,,,,,,
"Education-related debt of research doctorate recipients, by sex, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,,,,,,,,,,,,,,
"(Median debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,
Debt level,Sex,,,,Citizenship status,,,,U.S. citizens and permanent residents,,,,,,,,,,,,,,,
,,,,,,,,,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,Male,,Female,,U.S. citizen or permanent resident,,Temporary visa holder,,,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
Cumulative debt, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,
All reporting education-related debt (number),"25,636",,"21,706",,"30,304",,"16,784",,"2,724",,90,,"2,931",,"2,304",,"20,699",,"1,071",,299,,186,
Median debt,"$35,000",,"$50,000",,"$50,000",,"$15,000",,"$50,000",,"$80,000",,"$30,000",,"$110,000",,"$45,000",,"$55,000",,"$50,000",,"$60,000",
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,"16,138",63.0,"12,470",57.4,"14,988",49.5,"13,456",80.2,"1,018",37.4,23,25.6,"2,030",69.3,448,19.4,"10,703",51.7,495,46.2,167,55.9,104,55.9
"$10,000 or less","1,877",7.3,"1,384",6.4,"1,998",6.6,"1,240",7.4,223,8.2,8,8.9,177,6.0,111,4.8,"1,378",6.7,71,6.6,22,7.4,8,4.3
"$10,001–$20,000","1,384",5.4,"1,098",5.1,"1,920",6.3,554,3.3,212,7.8,9,10.0,172,5.9,112,4.9,"1,328",6.4,67,6.3,13,4.3,7,3.8
"$20,001–$30,000","1,182",4.6,954,4.4,"1,761",5.8,372,2.2,172,6.3,5,5.6,110,3.8,105,4.6,"1,270",6.1,76,7.1,15,5.0,8,4.3
"$30,001–$40,000",851,3.3,770,3.5,"1,359",4.5,256,1.5,148,5.4,D,D,87,3.0,D,D,972,4.7,39,3.6,10,3.3,6,3.2
"$40,001–$50,000",638,2.5,521,2.4,966,3.2,188,1.1,104,3.8,0,0.0,57,1.9,98,4.3,658,3.2,32,3.0,8,2.7,9,4.8
"$50,001–$60,000",477,1.9,450,2.1,804,2.7,122,0.7,97,3.6,6,6.7,31,1.1,84,3.6,540,2.6,33,3.1,9,3.0,4,2.2
"$60,001–$70,000",349,1.4,384,1.8,663,2.2,66,0.4,73,2.7,D,D,36,1.2,D,D,461,2.2,29,2.7,1,0.3,1,0.5
"$70,001–$80,000",330,1.3,363,1.7,627,2.1,64,0.4,57,2.1,D,D,36,1.2,D,D,428,2.1,22,2.1,7,2.3,3,1.6
"$80,001–$90,000",303,1.2,331,1.5,565,1.9,65,0.4,63,2.3,0,0.0,23,0.8,85,3.7,366,1.8,22,2.1,3,1.0,3,1.6
"$90,001–$100,000",336,1.3,422,1.9,673,2.2,78,0.5,70,2.6,D,D,38,1.3,D,D,422,2.0,24,2.2,4,1.3,7,3.8
"$100,001–$120,000",422,1.6,575,2.6,899,3.0,93,0.6,108,4.0,7,7.8,25,0.9,172,7.5,533,2.6,41,3.8,8,2.7,5,2.7
"$120,001–$140,000",292,1.1,399,1.8,637,2.1,51,0.3,87,3.2,5,5.6,24,0.8,105,4.6,385,1.9,25,2.3,4,1.3,2,1.1
"$140,001–$160,000",239,0.9,326,1.5,509,1.7,52,0.3,69,2.5,D,D,22,0.8,D,D,285,1.4,17,1.6,6,2.0,4,2.2
"$160,001 or more",818,3.2,"1,259",5.8,"1,935",6.4,127,0.8,223,8.2,14,15.6,63,2.1,550,23.9,970,4.7,78,7.3,22,7.4,15,8.1
Graduate debt, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,
All reporting graduate debt (number),"25,613",,"21,671",,"30,269",,"16,764",,"2,723",,89,,"2,929",,"2,298",,"20,679",,"1,070",,298,,183,
Median debt,"$35,000",,"$45,000",,"$55,000",,"$15,000",,"$55,000",,"$55,000",,"$35,000",,"$85,000",,"$45,000",,"$55,000",,"$55,000",,"$55,000",
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,"19,102",74.6,"14,743",68.0,"19,642",64.9,"14,027",83.7,"1,493",54.8,30,33.7,"2,386",81.5,690,30.0,"14,063",68.0,661,61.8,203,68.1,116,63.4
"$10,000 or less","1,532",6.0,"1,206",5.6,"1,648",5.4,"1,070",6.4,174,6.4,10,11.2,113,3.9,128,5.6,"1,130",5.5,65,6.1,17,5.7,11,6.0
"$10,001–$20,000",885,3.5,726,3.4,"1,120",3.7,485,2.9,118,4.3,D,D,78,2.7,104,4.5,750,3.6,D,D,10,3.4,7,3.8
