Table 4-6,,,,,,,,,,,,,,,,,,,
"U.S. citizen and permanent resident research doctorate recipients with graduate education-related debt, by ethnicity, race, and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,,,,,,
"Ethnicity, race, and debt level",All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Othera
U.S. citizens and permanent residents reporting graduate debt,,,,,,,,,,,,,,,,,,,
Total (number)b,"30,269","22,969",657,"5,696",678,"3,659",651,"1,803",819,647,"2,628","2,832","2,899","7,300",545,"2,793","2,201",544,"1,217"
"Debt > $30,000 (%)",22.6,18.5,15.1,11.4,10.8,7.7,9.2,39.3,9.5,19.5,5.4,41.0,29.8,35.4,33.8,39.4,28.0,34.9,40.5
"Debt > $70,000 (%)",13.8,11.3,7.8,6.0,5.5,3.7,4.5,24.9,4.9,12.7,2.1,29.4,18.5,21.8,24.2,25.2,15.6,18.4,25.3
Hispanic or Latino,,,,,,,,,,,,,,,,,,,
Total (number)b,"2,723","2,067",41,551,31,299,47,136,62,66,209,318,307,656,28,272,211,43,102
"Debt > $30,000 (%)",29.6,25.6,19.5,14.3,22.6,12.7,17.0,46.3,14.5,34.8,10.0,56.0,30.9,42.4,42.9,45.2,32.7,51.2,51.0
"Debt > $70,000 (%)",18.6,16.3,D,6.7,D,7.0,D,24.3,D,21.2,4.8,43.4,22.5,25.9,D,27.2,19.0,D,34.3
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,,,,,,,,,,,,,,,,,,,
Total (number)b,89,61,D,12,0,D,D,9,0,D,D,8,15,28,D,16,D,D,6
"Debt > $30,000 (%)",39.3,32.8,0.0,D,-,D,D,D,-,0.0,D,D,33.3,53.6,0.0,D,D,D,D
"Debt > $70,000 (%)",27.0,D,0.0,0.0,-,D,0.0,D,-,0.0,D,62.5,33.3,D,0.0,D,D,D,D
Asian,,,,,,,,,,,,,,,,,,,
Total (number)b,"2,929","2,476",39,681,134,566,30,177,91,68,261,178,251,453,74,153,111,31,84
"Debt > $30,000 (%)",10.2,8.8,D,6.0,D,3.7,D,D,D,D,3.8,D,11.2,17.9,14.9,17.0,18.9,16.1,21.4
"Debt > $70,000 (%)",5.4,4.4,0.0,2.9,D,1.2,0.0,D,D,D,D,19.7,4.0,10.4,D,11.1,14.4,D,9.5
Black or African American,,,,,,,,,,,,,,,,,,,
Total (number)b,"2,298","1,398",29,260,36,D,13,252,28,47,D,227,281,900,104,472,97,17,210
"Debt > $30,000 (%)",54.8,49.1,34.5,31.5,44.4,D,D,67.5,46.4,46.8,D,66.1,62.6,63.8,64.4,65.7,50.5,64.7,65.2
"Debt > $70,000 (%)",40.5,36.2,D,18.5,27.8,13.6,D,52.0,D,D,D,55.5,44.1,47.1,53.8,49.4,27.8,D,D
White,,,,,,,,,,,,,,,,,,,
Total (number)b,"20,679","15,793",519,"3,912",434,"2,462",519,"1,150",586,426,"1,950","1,931","1,904","4,886",311,"1,745","1,660",421,749
"Debt > $30,000 (%)",19.6,16.4,14.3,10.8,9.4,7.2,8.3,34.3,7.3,16.2,4.5,36.8,27.7,30.2,27.0,32.7,25.7,33.5,33.6
"Debt > $70,000 (%)",11.3,9.5,6.9,5.7,4.6,D,D,20.3,3.9,10.6,1.6,25.2,16.1,17.1,18.3,19.0,13.9,18.1,18.4
More than one race,,,,,,,,,,,,,,,,,,,
Total (number)b,"1,070",821,11,212,26,112,33,54,32,27,96,122,96,249,19,93,77,22,38
"Debt > $30,000 (%)",24.1,17.7,D,10.8,D,5.4,D,35.2,D,25.9,8.3,36.9,26.0,45.4,42.1,D,45.5,D,50.0
"Debt > $70,000 (%)",14.8,10.4,D,6.1,D,D,D,D,D,D,0.0,23.8,17.7,29.3,D,D,27.3,D,36.8
Other race or race not reported,,,,,,,,,,,,,,,,,,,
Total (number)b,298,220,D,43,11,34,D,12,11,D,22,32,32,78,D,25,D,D,16
"Debt > $30,000 (%)",20.8,15.5,0.0,D,9.1,5.9,16.7,25.0,27.3,D,4.5,40.6,15.6,35.9,25.0,48.0,D,0.0,D
"Debt > $70,000 (%)",12.4,D,0.0,0.0,9.1,2.9,16.7,8.3,D,11.1,0.0,25.0,12.5,D,0.0,36.0,D,0.0,31.3
Ethnicity not reported,,,,,,,,,,,,,,,,,,,
Total (number)b,183,133,6,25,6,28,1,13,9,2,14,16,13,50,4,17,13,4,12
"Debt > $30,000 (%)",23.5,17.3,33.3,8.0,0.0,21.4,0.0,23.1,0.0,0.0,0.0,50.0,15.4,40.0,25.0,52.9,30.8,25.0,41.7
"Debt > $70,000 (%)",15.8,12.0,33.3,0.0,0.0,10.7,0.0,23.1,0.0,0.0,0.0,43.8,7.7,26.0,25.0,41.2,23.1,0.0,16.7
