Table 5-1,,,,,,,,,,,,,,,,,,,
"Research doctorate recipients who attended community college, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Othera
Doctorate recipients reporting community college attendance,21.2,19.7,26.1,22.7,9.2,12.5,20.7,35.5,14.3,18.5,17.3,29.8,21.3,27.0,18.7,35.1,24.6,20.3,24.0
Sex,,,,,,,,,,,,,,,,,,,
Male,18.8,17.6,24.0,23.4,8.5,12.2,21.1,29.8,15.2,16.5,17.5,31.2,20.1,24.9,17.2,33.1,26.2,18.5,21.1
Female,24.1,22.6,28.1,22.0,11.8,13.4,20.2,38.0,12.1,21.3,17.0,29.2,22.5,28.6,20.7,36.0,22.8,21.7,26.0
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,30.8,29.9,39.8,29.1,22.5,24.8,30.0,43.3,27.6,29.8,27.0,32.0,30.2,33.5,34.1,39.5,28.8,23.2,32.3
Temporary visa holder,4.0,3.8,5.6,4.1,2.1,3.7,1.9,8.1,2.9,4.5,3.4,6.8,3.5,5.8,5.0,7.4,6.5,8.6,4.0
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,37.4,36.6,26.8,35.0,35.5,32.8,29.8,48.9,34.9,30.8,33.5,40.9,39.3,40.2,50.0,50.2,29.7,32.6,35.6
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,55.4,54.1,D,D,-,D,D,55.6,-,0.0,D,D,80.0,58.1,D,52.6,D,D,83.3
Asian,21.3,21.3,15.8,20.6,20.0,18.9,23.3,27.4,26.1,14.7,19.2,34.8,17.9,21.2,20.3,26.6,D,D,20.2
Black or African American,33.7,31.4,31.0,D,13.9,D,D,40.5,28.6,34.0,D,D,34.4,37.2,42.9,39.0,D,D,34.6
White,30.5,29.9,43.5,29.5,23.2,24.7,30.8,45.6,26.8,31.3,27.3,29.8,28.9,32.4,33.4,38.5,29.0,21.8,31.6
More than one race,34.7,32.5,45.5,31.3,19.2,27.7,30.3,40.7,18.8,40.7,31.3,36.3,37.5,41.9,26.3,48.4,38.2,45.5,39.5
Other race or race not reported,36.8,38.1,D,41.9,27.3,34.3,D,41.7,66.7,22.2,23.8,39.4,45.5,33.3,D,42.3,D,D,35.3
Ethnicity not reported,31.2,30.7,12.5,42.9,16.7,29.0,50.0,50.0,20.0,0.0,40.0,27.8,12.5,32.7,33.3,33.3,16.7,50.0,41.7
