Table 5-2,,,,,,,,,,,,,,,,,,,
"Research doctorate recipients who earned a bachelor's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Othera
Doctorate recipients reporting bachelor's degree,98.4,98.4,96.5,98.2,98.2,99.0,98.8,96.3,98.9,98.4,98.8,98.6,98.5,98.3,97.9,98.4,98.2,98.9,98.4
Sex,,,,,,,,,,,,,,,,,,,
Male,98.4,98.5,95.7,98.2,98.6,99.0,98.6,95.2,98.9,98.2,98.6,98.3,98.4,98.4,98.5,98.4,98.4,99.1,98.1
Female,98.3,98.4,97.3,98.3,96.8,98.8,99.1,96.8,99.0,98.8,99.1,98.8,98.6,98.3,97.2,98.4,98.1,98.8,98.5
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,99.5,99.5,D,99.4,99.3,99.8,D,97.7,99.9,100.0,99.7,99.7,99.7,99.6,99.3,99.6,99.6,100.0,99.5
Temporary visa holder,98.6,98.5,94.7,96.7,99.4,99.3,D,94.7,D,98.9,98.7,99.3,99.1,98.7,98.7,99.8,97.4,97.9,99.1
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,99.2,99.3,D,99.3,100.0,100.0,100.0,95.0,100.0,100.0,100.0,99.4,D,99.0,100.0,99.3,99.6,100.0,96.3
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,99.0,98.5,D,D,-,100.0,D,D,-,D,100.0,100.0,100.0,100.0,D,100.0,D,D,100.0
Asian,99.3,99.3,100.0,98.7,100.0,D,100.0,D,100.0,100.0,99.2,100.0,100.0,99.8,100.0,99.4,100.0,100.0,100.0
Black or African American,99.3,99.2,100.0,D,D,D,100.0,D,100.0,D,100.0,99.2,100.0,99.5,D,99.6,D,100.0,D
White,99.6,99.6,100.0,99.5,D,99.8,D,97.8,D,100.0,99.8,99.8,99.7,99.7,D,99.7,99.6,100.0,D
More than one race,99.9,99.9,100.0,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other race or race not reported,99.2,99.6,D,100.0,100.0,100.0,D,100.0,100.0,D,100.0,100.0,97.2,97.8,83.3,100.0,D,D,100.0
Ethnicity not reported,99.5,99.3,100.0,100.0,100.0,100.0,100.0,100.0,D,D,96.2,98.0,D,100.0,100.0,100.0,100.0,100.0,100.0
Bachelor's degree in the same field as doctorate,61.7,65.8,49.6,64.3,40.9,82.3,53.0,44.5,80.1,12.3,78.6,72.7,56.2,45.4,36.5,25.4,73.4,69.1,35.9
Sex,,,,,,,,,,,,,,,,,,,
Male,64.5,67.7,52.9,62.7,41.7,83.8,55.0,36.0,79.7,12.8,78.6,69.6,58.4,48.0,32.7,24.3,73.6,67.6,34.5
Female,58.3,63.4,46.3,65.7,38.4,78.0,50.6,48.3,80.9,11.5,78.4,73.8,54.0,43.4,41.2,25.8,73.2,70.3,37.0
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,61.4,66.5,46.9,69.1,46.3,80.7,53.2,42.2,83.3,11.4,81.1,75.0,57.1,45.3,36.4,24.5,74.8,70.6,32.5
Temporary visa holder,64.0,66.4,54.9,52.0,39.0,84.5,54.4,55.1,78.6,13.7,76.2,63.0,56.6,48.2,37.9,33.8,71.0,66.7,45.3
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,61.1,67.8,34.1,72.4,61.3,82.3,46.8,33.1,85.7,16.7,79.9,80.6,55.2,40.1,39.3,16.4,69.3,62.8,33.7
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,47.3,52.5,0.0,D,-,D,D,D,-,0.0,100.0,62.5,46.7,36.7,D,33.3,D,D,0.0
Asian,60.6,64.2,51.3,67.0,43.7,D,50.0,D,80.4,16.2,73.7,75.1,51.0,40.7,35.1,17.5,70.3,74.2,36.9
Black or African American,46.2,57.5,31.0,D,47.2,79.4,69.2,D,64.3,D,76.7,68.2,51.6,28.7,D,18.3,D,76.5,D
White,63.7,67.9,48.7,69.1,46.1,81.5,54.5,45.5,85.5,11.2,82.9,75.6,59.3,50.0,D,28.6,77.4,71.2,D
More than one race,58.2,63.2,D,71.2,53.8,77.9,45.5,29.6,71.9,D,69.8,68.5,57.3,41.6,47.4,16.1,71.8,63.6,26.3
Other race or race not reported,56.7,64.0,D,76.7,27.3,91.4,D,38.5,66.7,D,73.9,69.7,54.5,36.6,20.0,15.4,D,D,23.5
Ethnicity not reported,51.5,55.8,50.0,64.3,42.9,60.0,50.0,28.6,70.0,0.0,81.3,52.6,44.4,38.5,25.0,22.2,84.6,60.0,8.3
