Table 5-3,,,,,,,,,,,,,,,,,,,
"Research doctorate recipients who earned a master's degree related to doctorate, by sex, citizenship status, ethnicity, race, and broad field of doctorate: 2021",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Demographic characteristic,All fields,Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Othera
Doctorate recipients reporting master's degree,75.1,70.1,78.3,45.0,77.6,76.6,69.9,80.3,72.4,78.9,52.7,91.0,90.0,94.3,88.9,96.8,93.3,94.0,94.8
Sex,,,,,,,,,,,,,,,,,,,
Male,73.9,70.0,81.0,44.7,77.2,78.2,72.3,73.7,70.6,78.4,54.4,89.4,89.0,94.5,90.7,97.1,94.3,95.0,94.8
Female,76.4,70.4,75.6,45.3,78.9,71.8,67.0,83.3,77.1,79.8,49.1,91.6,91.1,94.1,86.7,96.7,92.2,93.2,94.8
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,73.0,65.7,73.5,37.9,80.4,69.7,63.8,81.0,70.4,78.4,45.3,92.0,89.7,95.6,90.7,98.1,93.9,94.7,95.4
Temporary visa holder,80.3,78.2,87.7,65.6,77.3,82.1,83.5,81.3,75.4,81.4,63.9,90.7,93.5,94.4,89.1,97.8,95.6,94.3,96.7
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,71.7,64.5,75.6,33.2,90.3,67.9,53.2,84.6,66.7,72.7,41.1,90.3,92.9,94.3,D,97.8,92.5,D,92.3
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,90.2,85.2,D,58.3,-,D,D,D,-,D,D,100.0,100.0,100.0,D,100.0,D,D,100.0
Asian,69.0,64.4,79.5,41.7,73.3,70.3,63.3,78.5,63.0,77.9,52.7,90.1,86.9,94.1,89.2,96.8,91.0,96.8,96.4
Black or African American,86.5,79.2,93.1,42.7,D,78.7,D,D,D,D,D,92.3,93.7,97.9,97.1,99.2,D,D,97.2
White,72.0,64.7,72.1,37.1,81.0,69.2,64.7,78.7,70.4,77.3,45.0,92.5,88.9,95.4,88.4,97.9,94.1,95.8,95.2
More than one race,70.8,63.2,63.6,39.6,D,D,51.5,75.9,65.6,D,41.7,91.9,87.5,95.6,D,97.8,93.6,D,94.7
Other race or race not reported,79.5,74.3,D,58.1,72.7,80.0,50.0,76.9,D,D,43.5,84.8,93.9,93.9,80.0,96.2,96.7,75.0,94.1
Ethnicity not reported,84.1,78.8,50.0,58.6,100.0,80.6,100.0,85.7,90.0,100.0,62.5,89.5,100.0,100.0,D,100.0,100.0,D,100.0
Master's degree in the same field as doctorate,57.6,54.9,52.1,30.5,52.0,68.1,52.3,59.7,66.1,25.6,45.5,75.9,68.8,68.4,59.0,62.1,81.7,82.2,60.6
Sex,,,,,,,,,,,,,,,,,,,
Male,58.0,55.7,55.3,29.2,52.0,70.5,53.1,50.6,64.5,25.6,47.2,74.5,70.5,70.1,59.6,59.7,83.9,84.5,59.7
Female,57.2,53.7,49.0,31.7,52.0,61.5,51.3,63.8,70.3,25.6,42.2,76.4,67.1,67.2,58.2,63.1,79.3,80.2,61.2
Citizenship status,,,,,,,,,,,,,,,,,,,
U.S. citizen or permanent resident,56.1,51.5,49.8,26.1,57.3,63.0,49.2,61.8,65.7,26.1,40.3,77.6,66.2,70.4,62.9,63.4,83.1,84.9,60.5
Temporary visa holder,62.0,61.3,57.0,43.6,50.2,72.6,59.8,55.7,67.8,25.8,53.7,69.8,76.8,66.0,57.5,60.9,80.5,77.3,62.9
Ethnicity and race (U.S. citizens and permanent residents),,,,,,,,,,,,,,,,,,,
Hispanic or Latino,54.7,50.5,41.5,24.3,74.2,61.5,42.6,68.4,61.9,15.2,39.7,75.6,65.3,67.9,D,59.1,83.0,D,60.2
Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,57.1,49.2,D,D,-,D,D,D,-,0.0,D,87.5,46.7,73.3,D,77.8,D,D,D
Asian,52.8,49.6,56.4,29.1,48.9,61.3,36.7,54.8,58.7,23.5,42.4,79.0,66.1,70.3,67.6,65.6,75.7,87.1,67.9
Black or African American,58.1,55.4,48.3,31.0,D,69.7,D,D,D,D,D,68.2,55.8,62.1,67.6,61.5,D,D,56.6
White,56.5,51.6,50.8,25.1,59.4,63.2,51.4,61.1,65.8,28.6,40.5,78.9,67.9,72.4,59.8,64.1,84.9,86.3,61.5
More than one race,54.0,49.0,D,27.8,D,D,30.3,53.7,65.6,25.9,34.4,79.0,65.6,70.4,D,62.4,78.2,86.4,D
Other race or race not reported,61.7,60.2,D,D,54.5,74.3,16.7,53.8,D,D,43.5,78.8,72.7,65.9,60.0,73.1,73.3,50.0,47.1
Ethnicity not reported,59.6,57.0,37.5,42.9,50.0,63.3,100.0,42.9,60.0,50.0,62.5,68.4,68.8,67.3,D,66.7,84.6,D,25.0
