Table 6-1,,,,,,,,,
"Research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,All doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
All fields,"52,250","33,170","29,759","12,355","6,241","7,521","3,642","3,380",31
Science and engineering,"41,356","26,815","24,147","11,509","3,346","7,013","2,279","2,644",24
Agricultural sciences and natural resources,"1,223",746,658,320,100,163,75,87,1
"Agricultural, animal, plant, and veterinary sciences",807,510,450,212,70,140,28,59,1
Natural resources and conservation,416,236,208,108,30,23,47,28,0
Biological and biomedical sciences,"8,259","5,337","4,997","3,324",375,"1,030",268,336,4
"Biochemistry, biophysics, and molecular biology","1,348",869,815,569,33,189,24,54,0
"Bioinformatics, biostatistics, and computational biology",563,408,377,143,36,169,29,30,1
Cell/ cellular biology and anatomy,657,415,390,277,29,73,11,24,1
"Ecology, evolutionary biology, and epidemiology",984,680,624,399,75,71,79,56,0
Genetics and genomics,398,245,229,149,18,57,5,15,1
Microbiology and immunology,974,670,638,442,40,126,30,31,1
Neurobiology and neurosciences,"1,014",633,601,457,30,97,17,32,0
Pharmacology and toxicology,311,188,178,121,7,41,9,10,0
"Physiology, oncology and cancer biology",713,440,420,283,42,81,14,20,0
"Biological and biomedical sciences, other","1,297",789,725,484,65,126,50,64,0
Computer and information sciences,"2,195","1,543","1,390",311,251,755,73,149,4
Computer science,"1,545","1,082",984,223,158,559,44,96,2
"Computer and information sciences, other",650,461,406,88,93,196,29,53,2
Engineering,"9,563","5,919","5,355","2,077",395,"2,463",420,557,7
"Biological, biomedical, and biosystems engineering","1,071",628,597,327,36,213,21,30,1
Chemical and petroleum engineering,"1,292",767,700,298,11,365,26,67,0
"Civil, environmental, and transportation engineering","1,020",598,510,233,48,166,63,88,0
Electrical and computer engineering,"2,047","1,354","1,236",288,95,773,80,116,2
Engineering technologies,452,284,239,101,15,109,14,45,0
Industrial engineering and operations research,604,428,379,79,72,185,43,48,1
Materials and mining engineering,672,379,347,171,9,147,20,31,1
Mechanical engineering,"1,413",874,788,343,54,318,73,85,1
"Engineering, other",992,607,559,237,55,187,80,47,1
"Geosciences, atmospheric, and ocean sciences","1,044",723,643,421,60,81,81,80,0
Geological and earth sciences,613,407,358,214,37,64,43,49,0
Ocean/ marine sciences and atmospheric science,431,316,285,207,23,17,38,31,0
Health sciences,"2,582","1,695","1,576",556,473,276,271,117,2
Nursing and nursing science,603,423,394,84,191,33,86,29,0
Pharmacy and pharmaceutical sciences,408,254,235,104,10,107,14,19,0
Public health,696,471,434,190,108,46,90,35,2
"Health sciences, other",875,547,513,178,164,90,81,34,0
Mathematics and statistics,"1,915","1,279","1,049",438,194,362,55,229,1
Applied mathematics,475,312,275,131,37,93,14,37,0
Mathematics,827,508,361,196,82,63,20,146,1
Statistics,613,459,413,111,75,206,21,46,0
Multidisciplinary/ interdisciplinary sciences,"1,299",842,765,280,124,288,73,77,0
Interdisciplinary computer sciences,448,326,303,76,41,166,20,23,0
" Multidisciplinary/ interdisciplinary sciences, other",851,516,462,204,83,122,53,54,0
Physical sciences,"4,811","3,145","2,809","1,654",136,894,125,333,3
Astronomy and astrophysics,263,194,168,129,11,19,9,26,0
Chemistry,"2,369","1,533","1,420",792,77,496,55,111,2
Materials sciences,429,270,239,129,8,88,14,31,0
Physics,"1,750","1,148",982,604,40,291,47,165,1
Psychology,"3,716","2,484","2,405","1,445",361,299,300,79,0
Clinical psychology,"1,256",929,913,759,35,49,70,16,0
Counseling and applied psychology,"1,338",889,867,387,173,141,166,22,0
Research and experimental psychology,651,446,415,207,95,77,36,31,0
"Psychology, other",471,220,210,92,58,32,28,10,0
Social sciences,"4,749","3,102","2,500",683,877,402,538,600,2
Anthropology,388,204,178,84,61,17,16,26,0
"Area, ethnic, cultural, gender, and group studies",383,211,188,64,88,10,26,22,1
Economics,"1,317","1,009",701,160,194,201,146,307,1
Political science and government,581,364,297,103,106,40,48,67,0
Public policy analysis,399,255,231,41,73,30,87,24,0
"Sociology, demography, and population studies",578,395,352,101,150,32,69,43,0
"Social sciences, other","1,103",664,553,130,205,72,146,111,0
Non-science and engineering,"10,894","6,355","5,612",846,"2,895",508,"1,363",736,7
Business,"1,340",910,704,64,468,114,58,205,1
Business administration and management,456,279,223,17,134,46,26,56,0
"Business, other",884,631,481,47,334,68,32,149,1
Education,"3,711","2,313","2,172",175,"1,068",158,771,140,1
Education leadership and administration,"1,082",731,700,23,364,30,283,31,0
Education research,"1,204",743,707,70,357,78,202,36,0
Teacher education,"1,010",610,546,54,267,34,191,63,1
"Education, other",415,229,219,28,80,16,95,10,0
Humanities,"3,076","1,664","1,454",355,721,86,292,207,3
"English language and literature, letters",933,495,466,91,294,27,54,29,0
"Foreign languages, literatures, and linguistics",505,252,207,41,120,12,34,44,1
History,672,363,316,109,121,15,71,46,1
Philosophy and religious studies,592,341,289,90,127,19,53,51,1
"Humanities, other",374,213,176,24,59,13,80,37,0
Visual and performing arts,771,352,301,60,144,34,63,51,0
Performing arts,491,210,184,24,90,28,42,26,0
"Visual arts, media studies/ design",280,142,117,36,54,6,21,25,0
Other non-science and engineering,"1,996","1,116",981,192,494,116,179,133,2
Communications and journalism,520,295,262,46,171,26,19,31,2
Multidisciplinary/ interdisciplinary studies,331,159,143,28,69,19,27,16,0
Public administration and social services,490,288,262,43,121,14,84,26,0
"Non-science and engineering, other",655,374,314,75,133,57,49,60,0
