Table 6-2,,,,,,,,,
"U.S. citizen and permanent resident research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,All doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
U.S. citizens and permanent residents reporting postgraduation plans,"31,674","21,332","20,623","7,894","5,075","4,303","3,351",703,6
Science and engineering,"23,906","16,430","15,866","7,293","2,666","3,866","2,041",562,2
Agricultural sciences and natural resources,695,460,446,162,91,122,71,14,0
"Agricultural, animal, plant, and veterinary sciences",440,298,292,99,61,105,27,6,0
Natural resources and conservation,255,162,154,63,30,17,44,8,0
Biological and biomedical sciences,"5,876","3,880","3,767","2,390",328,805,244,112,1
"Biochemistry, biophysics, and molecular biology",882,582,572,373,26,153,20,10,0
"Bioinformatics, biostatistics, and computational biology",296,201,195,67,26,80,22,6,0
Cell/ cellular biology and anatomy,455,290,D,189,D,60,10,D,0
"Ecology, evolutionary biology, and epidemiology",793,569,536,329,69,62,76,33,0
Genetics and genomics,291,178,D,104,D,48,5,D,1
Microbiology and immunology,766,532,520,343,35,113,29,12,0
Neurobiology and neurosciences,795,510,494,365,25,88,16,16,0
Pharmacology and toxicology,222,139,D,90,D,34,8,D,0
"Physiology, oncology and cancer biology",517,327,D,203,D,66,14,D,0
"Biological and biomedical sciences, other",859,552,530,327,58,101,44,22,0
Computer and information sciences,703,539,515,114,124,224,53,24,0
Computer science,480,360,345,80,74,160,31,15,0
"Computer and information sciences, other",223,179,170,34,50,64,22,9,0
Engineering,"3,785","2,537","2,478",828,244,"1,060",346,59,0
"Biological, biomedical, and biosystems engineering",732,424,414,209,27,163,15,10,0
Chemical and petroleum engineering,540,349,343,132,5,186,20,6,0
"Civil, environmental, and transportation engineering",325,216,207,69,32,63,43,9,0
Electrical and computer engineering,553,408,395,68,52,221,54,13,0
Engineering technologies,132,85,D,34,D,28,11,D,0
Industrial engineering and operations research,203,160,D,D,34,67,41,D,0
Materials and mining engineering,288,182,D,76,D,77,18,D,0
Mechanical engineering,571,392,382,123,40,152,67,10,0
"Engineering, other",441,321,D,D,39,103,77,D,0
"Geosciences, atmospheric, and ocean sciences",665,493,471,283,52,59,77,22,0
Geological and earth sciences,373,271,258,141,D,D,D,13,0
Ocean/ marine sciences and atmospheric science,292,222,213,142,D,D,D,9,0
Health sciences,"1,886","1,339","1,316",415,444,202,255,22,1
Nursing and nursing science,510,381,D,76,D,D,84,D,0
Pharmacy and pharmaceutical sciences,196,128,D,56,D,57,6,D,0
Public health,527,380,D,146,100,D,87,D,1
"Health sciences, other",653,450,442,137,149,78,78,8,0
Mathematics and statistics,847,568,518,219,129,129,41,50,0
Applied mathematics,228,154,147,72,29,34,12,7,0
Mathematics,428,271,233,107,67,39,20,38,0
Statistics,191,143,138,40,33,56,9,5,0
Multidisciplinary/ interdisciplinary sciences,674,449,434,154,84,134,62,15,0
Interdisciplinary computer sciences,175,136,D,29,24,66,D,D,0
" Multidisciplinary/ interdisciplinary sciences, other",499,313,D,125,60,68,D,D,0
Physical sciences,"2,712","1,843","1,745",925,115,588,117,98,0
Astronomy and astrophysics,183,141,129,D,11,D,9,12,0
Chemistry,"1,390",941,915,453,68,343,51,26,0
Materials sciences,226,142,132,D,D,57,14,10,0
Physics,913,619,569,322,D,D,43,50,0
Psychology,"3,070","2,267","2,237","1,331",334,283,289,30,0
Clinical psychology,"1,090",878,D,723,D,49,69,D,0
Counseling and applied psychology,"1,133",823,816,364,160,134,158,7,0
Research and experimental psychology,530,378,363,171,D,D,36,15,0
"Psychology, other",317,188,D,73,D,D,26,D,0
Social sciences,"2,993","2,055","1,939",472,721,260,486,116,0
Anthropology,294,162,151,65,54,17,15,11,0
"Area, ethnic, cultural, gender, and group studies",283,171,161,48,77,10,26,10,0
Economics,467,393,374,72,114,79,109,19,0
Political science and government,405,277,256,78,D,D,48,21,0
Public policy analysis,316,220,213,34,D,D,82,7,0
"Sociology, demography, and population studies",469,336,317,84,D,D,68,19,0
"Social sciences, other",759,496,467,91,178,60,138,29,0
Non-science and engineering,"7,768","4,902","4,757",601,"2,409",437,"1,310",141,4
Business,590,410,384,22,235,78,49,26,0
Business administration and management,219,145,136,6,71,37,22,9,0
"Business, other",371,265,248,16,164,41,27,17,0
Education,"2,962","2,055","2,034",135,997,148,754,20,1
Education leadership and administration,937,690,683,D,357,D,281,7,0
Education research,924,645,D,52,323,D,194,D,0
Teacher education,778,517,509,D,244,D,188,7,1
"Education, other",323,203,D,22,73,D,91,D,0
Humanities,"2,339","1,345","1,278",274,642,86,276,65,2
"English language and literature, letters",776,442,431,75,275,27,54,11,0
"Foreign languages, literatures, and linguistics",305,164,153,31,85,12,25,11,0
History,524,290,278,83,110,15,70,11,1
Philosophy and religious studies,457,280,255,70,D,19,D,24,1
"Humanities, other",277,169,161,15,D,13,D,8,0
Visual and performing arts,571,282,265,D,129,D,60,17,0
Performing arts,368,176,168,D,83,D,40,8,0
"Visual arts, media studies/ design",203,106,97,D,46,D,20,9,0
Other non-science and engineering,"1,306",810,796,D,406,D,171,13,1
Communications and journalism,358,223,D,D,142,26,15,D,1
Multidisciplinary/ interdisciplinary studies,233,127,D,21,62,D,26,D,0
Public administration and social services,357,229,D,28,102,D,83,D,0
"Non-science and engineering, other",358,231,225,39,100,39,47,6,0
