Table 6-4,,,,,,,,,
"Female research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,All doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
Female doctorate recipients reporting postgraduation commitments,"24,156","15,140","13,894","5,706","3,526","2,719","1,943","1,238",8
Science and engineering,"17,939","11,518","10,586","5,226","1,781","2,450","1,129",928,4
Agricultural sciences and natural resources,621,363,333,166,53,73,41,30,0
"Agricultural, animal, plant, and veterinary sciences",403,243,223,109,36,62,16,20,0
Natural resources and conservation,218,120,110,57,17,11,25,10,0
Biological and biomedical sciences,"4,312","2,776","2,614","1,709",199,542,164,161,1
"Biochemistry, biophysics, and molecular biology",630,395,371,255,20,87,9,24,0
"Bioinformatics, biostatistics, and computational biology",234,172,160,57,12,77,14,11,1
Cell/ cellular biology and anatomy,346,224,211,141,20,42,8,13,0
"Ecology, evolutionary biology, and epidemiology",589,414,383,236,D,D,54,31,0
Genetics and genomics,209,127,121,84,6,29,2,6,0
Microbiology and immunology,549,377,365,251,24,69,21,12,0
Neurobiology and neurosciences,556,335,321,238,13,59,11,14,0
Pharmacology and toxicology,164,104,99,69,D,D,5,5,0
"Physiology, oncology and cancer biology",341,204,192,126,15,41,10,12,0
"Biological and biomedical sciences, other",694,424,391,252,40,69,30,33,0
Computer and information sciences,526,357,318,78,73,154,13,38,1
Computer science,336,229,205,50,44,104,7,24,0
"Computer and information sciences, other",190,128,113,28,29,50,6,14,1
Engineering,"2,511","1,481","1,357",548,116,587,106,123,1
"Biological, biomedical, and biosystems engineering",434,260,246,135,12,90,9,14,0
Chemical and petroleum engineering,380,231,213,74,D,128,D,18,0
"Civil, environmental, and transportation engineering",317,170,146,60,20,45,21,24,0
Electrical and computer engineering,366,222,206,59,18,120,9,16,0
Engineering technologies,130,72,62,34,D,20,D,10,0
Industrial engineering and operations research,170,118,105,19,19,55,12,12,1
Materials and mining engineering,212,116,110,45,D,47,D,6,0
Mechanical engineering,259,153,138,63,17,46,12,15,0
"Engineering, other",243,139,131,59,20,36,16,8,0
"Geosciences, atmospheric, and ocean sciences",461,314,276,188,28,30,30,38,0
Geological and earth sciences,254,165,141,87,19,22,13,24,0
Ocean/ marine sciences and atmospheric science,207,149,135,101,9,8,17,14,0
Health sciences,"1,776","1,164","1,087",343,369,165,210,76,1
Nursing and nursing science,537,380,356,71,180,D,D,24,0
Pharmacy and pharmaceutical sciences,214,129,119,50,5,54,10,10,0
Public health,474,316,296,125,77,31,63,19,1
"Health sciences, other",551,339,316,97,107,D,D,23,0
Mathematics and statistics,534,371,320,107,76,121,16,51,0
Applied mathematics,143,91,81,37,12,28,4,10,0
Mathematics,186,126,101,43,33,20,5,25,0
Statistics,205,154,138,27,31,73,7,16,0
Multidisciplinary/ interdisciplinary sciences,536,350,319,134,67,84,34,31,0
Interdisciplinary computer sciences,99,76,69,17,14,35,3,7,0
" Multidisciplinary/ interdisciplinary sciences, other",437,274,250,117,53,49,31,24,0
Physical sciences,"1,563","1,027",919,497,65,318,39,108,0
Astronomy and astrophysics,101,78,62,D,D,7,5,16,0
Chemistry,"1,000",636,589,299,48,220,22,47,0
Materials sciences,130,81,73,D,D,34,4,8,0
Physics,332,232,195,120,10,57,8,37,0
Psychology,"2,711","1,804","1,753","1,088",257,195,213,51,0
Clinical psychology,939,686,676,575,23,34,44,10,0
Counseling and applied psychology,"1,004",663,650,304,128,94,124,13,0
Research and experimental psychology,422,294,D,140,65,44,D,D,0
"Psychology, other",346,161,D,69,41,23,D,D,0
Social sciences,"2,388","1,511","1,290",368,478,181,263,221,0
Anthropology,271,141,125,56,45,12,12,16,0
"Area, ethnic, cultural, gender, and group studies",247,127,119,41,D,D,15,8,0
Economics,446,336,250,53,79,73,45,86,0
Political science and government,242,153,124,38,D,D,20,29,0
Public policy analysis,230,148,137,31,44,14,48,11,0
"Sociology, demography, and population studies",359,244,226,69,86,21,50,18,0
"Social sciences, other",593,362,309,80,118,38,73,53,0
Non-science and engineering,"6,217","3,622","3,308",480,"1,745",269,814,310,4
Business,584,393,311,27,212,44,28,81,1
Business administration and management,197,118,100,8,56,20,16,18,0
"Business, other",387,275,211,19,156,24,12,63,1
Education,"2,599","1,605","1,526",120,756,120,530,79,0
Education leadership and administration,705,482,464,15,246,20,183,18,0
Education research,834,506,489,44,248,59,138,17,0
Teacher education,757,452,D,39,205,D,140,D,0
"Education, other",303,165,D,22,57,D,69,D,0
Humanities,"1,455",791,709,175,392,38,104,81,1
"English language and literature, letters",568,302,288,D,191,D,34,14,0
"Foreign languages, literatures, and linguistics",288,147,117,24,68,6,19,29,1
History,291,161,144,50,63,6,25,17,0
Philosophy and religious studies,213,132,119,43,50,8,18,13,0
"Humanities, other",95,49,41,D,20,D,8,8,0
Visual and performing arts,422,199,174,41,81,12,40,25,0
Performing arts,228,97,87,13,D,D,22,10,0
"Visual arts, media studies/ design",194,102,87,28,D,D,18,15,0
Other non-science and engineering,"1,157",634,588,117,304,55,112,44,2
Communications and journalism,299,171,157,34,98,13,12,12,2
Multidisciplinary/ interdisciplinary studies,180,86,D,18,41,7,D,D,0
Public administration and social services,331,188,178,26,91,9,52,10,0
"Non-science and engineering, other",347,189,D,39,74,26,D,D,0
