Table 6-5,,,,,,,,,
"Male research doctorate recipients with definite postgraduation commitments, by major field of doctorate: 2021",,,,,,,,,
(Number),,,,,,,,,
Field of doctorate,All doctorate recipients,Doctorate recipients with definite commitments,Location of definite commitments,,,,,,
,,,United States,,,,,Abroad,Unknown
,,,Total,Postdoctoral study,Academic employment,Industry employmenta,Otherb,,
Male doctorate recipients reporting postgraduation commitments,"28,082","18,029","15,864","6,648","2,715","4,802","1,699","2,142",23
Science and engineering,"23,408","15,296","13,560","6,282","1,565","4,563","1,150","1,716",20
Agricultural sciences and natural resources,602,383,325,154,47,90,34,57,1
"Agricultural, animal, plant, and veterinary sciences",404,267,227,103,34,78,12,39,1
Natural resources and conservation,198,116,98,51,13,12,22,18,0
Biological and biomedical sciences,"3,946","2,561","2,383","1,615",176,488,104,175,3
"Biochemistry, biophysics, and molecular biology",718,474,444,314,13,102,15,30,0
"Bioinformatics, biostatistics, and computational biology",329,236,217,86,24,92,15,19,0
Cell/ cellular biology and anatomy,311,191,179,136,9,31,3,11,1
"Ecology, evolutionary biology, and epidemiology",395,266,241,163,D,D,25,25,0
Genetics and genomics,189,118,108,65,12,28,3,9,1
Microbiology and immunology,425,293,273,191,16,57,9,19,1
Neurobiology and neurosciences,458,298,280,219,17,38,6,18,0
Pharmacology and toxicology,147,84,79,52,D,D,4,5,0
"Physiology, oncology and cancer biology",372,236,228,157,27,40,4,8,0
"Biological and biomedical sciences, other",602,365,334,232,25,57,20,31,0
Computer and information sciences,"1,669","1,186","1,072",233,178,601,60,111,3
Computer science,"1,209",853,779,173,114,455,37,72,2
"Computer and information sciences, other",460,333,293,60,64,146,23,39,1
Engineering,"7,050","4,438","3,998","1,529",279,"1,876",314,434,6
"Biological, biomedical, and biosystems engineering",636,368,351,192,24,123,12,16,1
Chemical and petroleum engineering,912,536,487,224,D,237,D,49,0
"Civil, environmental, and transportation engineering",703,428,364,173,28,121,42,64,0
Electrical and computer engineering,"1,681","1,132","1,030",229,77,653,71,100,2
Engineering technologies,322,212,177,67,D,89,D,35,0
Industrial engineering and operations research,434,310,274,60,53,130,31,36,0
Materials and mining engineering,459,263,237,126,D,100,D,25,1
Mechanical engineering,"1,154",721,650,280,37,272,61,70,1
"Engineering, other",749,468,428,178,35,151,64,39,1
"Geosciences, atmospheric, and ocean sciences",583,409,367,233,32,51,51,42,0
Geological and earth sciences,359,242,217,127,18,42,30,25,0
Ocean/ marine sciences and atmospheric science,224,167,150,106,14,9,21,17,0
Health sciences,806,531,489,213,104,111,61,41,1
Nursing and nursing science,66,43,38,13,11,D,D,5,0
Pharmacy and pharmaceutical sciences,194,125,116,54,5,53,4,9,0
Public health,222,155,138,65,31,15,27,16,1
"Health sciences, other",324,208,197,81,57,D,D,11,0
Mathematics and statistics,"1,381",908,729,331,118,241,39,178,1
Applied mathematics,332,221,194,94,25,65,10,27,0
Mathematics,641,382,260,153,49,43,15,121,1
Statistics,408,305,275,84,44,133,14,30,0
Multidisciplinary/ interdisciplinary sciences,762,492,446,146,57,204,39,46,0
Interdisciplinary computer sciences,349,250,234,59,27,131,17,16,0
" Multidisciplinary/ interdisciplinary sciences, other",413,242,212,87,30,73,22,30,0
Physical sciences,"3,246","2,117","1,889","1,156",71,576,86,225,3
Astronomy and astrophysics,162,116,106,D,D,12,4,10,0
Chemistry,"1,369",897,831,493,29,276,33,64,2
Materials sciences,299,189,166,D,D,54,10,23,0
Physics,"1,416",915,786,483,30,234,39,128,1
Psychology,"1,005",680,652,357,104,104,87,28,0
Clinical psychology,317,243,237,184,12,15,26,6,0
Counseling and applied psychology,334,226,217,83,45,47,42,9,0
Research and experimental psychology,229,152,D,67,30,33,D,D,0
"Psychology, other",125,59,D,23,17,9,D,D,0
Social sciences,"2,358","1,591","1,210",315,399,221,275,379,2
Anthropology,117,63,53,28,16,5,4,10,0
"Area, ethnic, cultural, gender, and group studies",135,84,69,23,D,D,11,14,1
Economics,870,673,451,107,115,128,101,221,1
Political science and government,339,211,173,65,D,D,28,38,0
Public policy analysis,169,107,94,10,29,16,39,13,0
"Sociology, demography, and population studies",219,151,126,32,64,11,19,25,0
"Social sciences, other",509,302,244,50,87,34,73,58,0
Non-science and engineering,"4,674","2,733","2,304",366,"1,150",239,549,426,3
Business,756,517,393,37,256,70,30,124,0
Business administration and management,259,161,123,9,78,26,10,38,0
"Business, other",497,356,270,28,178,44,20,86,0
Education,"1,111",708,646,55,312,38,241,61,1
Education leadership and administration,377,249,236,8,118,10,100,13,0
Education research,370,237,218,26,109,19,64,19,0
Teacher education,252,158,D,15,62,D,51,D,1
"Education, other",112,64,D,6,23,D,26,D,0
Humanities,"1,619",873,745,180,329,48,188,126,2
"English language and literature, letters",363,193,178,D,103,D,20,15,0
"Foreign languages, literatures, and linguistics",217,105,90,17,52,6,15,15,0
History,381,202,172,59,58,9,46,29,1
Philosophy and religious studies,379,209,170,47,77,11,35,38,1
"Humanities, other",279,164,135,D,39,D,72,29,0
Visual and performing arts,349,153,127,19,63,22,23,26,0
Performing arts,263,113,97,11,D,D,20,16,0
"Visual arts, media studies/ design",86,40,30,8,D,D,3,10,0
Other non-science and engineering,839,482,393,75,190,61,67,89,0
Communications and journalism,221,124,105,12,73,13,7,19,0
Multidisciplinary/ interdisciplinary studies,151,73,D,10,28,12,D,D,0
Public administration and social services,159,100,84,17,30,5,32,16,0
"Non-science and engineering, other",308,185,D,36,59,31,D,D,0
