Table 6-6,,,,,,,,,
"Median basic annual salary for research doctorate recipients with definite postgraduation plans in the United States, by broad field of doctorate, type of postgraduation plans, and sex: 2021",,,,,,,,,
(Dollars),,,,,,,,,
Field of doctorate,Total with definite plana,,,Employment,,,Postdoctoral study,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
Doctorate recipients reporting annual salary,"65,000","70,000","62,000","90,000","100,000","80,000","53,460","54,000","53,000"
Science and engineering ,"65,700","70,000","61,000","100,000","108,000","87,000","53,460","54,000","53,000"
Agricultural sciences and natural resources,"60,000","60,000","56,000","80,000","82,000","75,812","50,000","50,000","50,000"
Biological and biomedical sciences  ,"55,000","55,000","55,000","90,000","95,000","87,750","53,000","53,000","53,000"
Computer and information sciences  ,"125,000","130,000","102,500","145,000","149,000","130,000","65,000","65,000","70,000"
Engineering  ,"87,000","90,000","83,000","110,000","113,000","108,000","54,000","54,000","54,000"
"Geosciences, atmospheric, and ocean sciences  ","60,000","60,000","60,000","77,000","80,000","72,468","58,000","58,000","58,000"
Health sciences  ,"70,000","67,000","70,000","90,000","95,451","85,000","53,760","53,760","53,760"
Mathematics and statistics  ,"75,000","75,000","78,500","110,000","113,000","101,500","60,000","60,000","60,900"
Multidisciplinary/ interdisciplinary sciences,"81,500","94,000","68,000","113,000","125,000","95,000","55,000","60,000","53,000"
Physical sciences  ,"66,516","65,000","70,000","100,000","104,520","100,000","55,000","55,000","55,000"
Psychology  ,"53,138","55,000","53,000","70,000","73,000","70,000","51,500","51,000","52,000"
Social sciences  ,"70,000","75,000","66,250","80,000","88,000","75,000","56,000","60,000","55,000"
Non-science and engineering,"65,000","65,000","64,000","69,000","70,000","66,900","53,000","51,250","54,000"
Business,"120,000","123,000","115,000","125,000","125,000","120,000","60,000","60,000","60,000"
Education  ,"69,042","70,000","67,500","70,000","73,500","70,000","55,000","55,000","55,000"
Humanities,"53,000","53,000","53,000","55,000","55,000","54,000","50,000","49,000","52,000"
Visual and performing arts  ,"50,000","48,000","50,000","50,000","47,500","50,000","52,000","55,000","52,000"
Otherb,"65,000","65,000","65,000","70,000","71,000","70,000","54,000","54,000","55,000"
