Table 7-2,,,,
"Top 50 doctorate-granting institutions ranked by total number of research doctorate recipients, by sex: 2021",,,,
(Number),,,,
Institution,Rank,Totala,Male,Female
Walden U.,1,846,273,573
Stanford U.,2,815,508,305
"U. Michigan, Ann Arbor",3,797,431,366
"U. California, Berkeley",4,787,484,303
"Purdue U., West Lafayette",5,776,483,293
"Texas A&M U., College Station and Health Science Center",6,766,470,295
"Ohio State U., Columbus",7,713,388,325
U. Florida,8,711,376,335
"U. Texas, Austin",9,667,379,288
U. Wisconsin-Madison,10,664,387,277
"U. Illinois, Urbana-Champaign",11,662,394,268
"U. California, Los Angeles",12,639,368,271
"U. Washington, Seattle",13,632,355,277
Pennsylvania State U.,14,629,329,300
"U. Minnesota, Twin Cities",15,626,362,264
Harvard U.,16,621,346,275
Columbia U. in the City of New York,17,585,325,260
Massachusetts Institute of Technology,18,568,401,167
Georgia Institute of Technology,19,563,400,163
Arizona State U.,20,508,307,201
North Carolina State U.,21,505,294,211
"U. Maryland, College Park",22,502,260,241
"U. California, San Diego",23,490,300,190
Michigan State U.,24,478,258,220
Cornell U.,25,472,267,205
"U. California, Davis",26,465,236,229
Virginia Polytechnic Institute and State U.,26,465,285,180
U. Chicago,28,455,277,178
U. Pennsylvania,28,455,246,209
"U. North Carolina, Chapel Hill",30,433,201,232
Northwestern U.,31,428,257,170
Johns Hopkins U.,32,423,220,203
Yale U.,33,410,239,170
U. Georgia,34,400,185,215
U. Southern California,35,397,223,174
U. Colorado Boulder,36,394,251,143
"U. California, Irvine",37,393,217,176
New York U.,38,385,208,177
Duke U.,39,384,235,149
U. Arizona,40,380,205,174
"Indiana U., Bloomington",41,375,188,187
Texas Tech U.,41,375,181,194
"U. Pittsburgh, Pittsburgh",43,353,181,172
"Rutgers, State U. New Jersey, New Brunswick",44,342,187,155
"SUNY, U. Buffalo",45,340,190,150
"U. Tennessee, Knoxville",45,340,189,151
U. Houston,47,338,182,156
"CUNY, Graduate Center",48,337,142,195
Florida State U.,49,333,181,152
Iowa State U.,50,325,202,123
