Table 7-3,,,,
"Top 20 doctorate-granting institutions ranked by total number of research doctorate recipients, by broad field of doctorate and sex: 2021",,,,
(Number),,,,
Field and institution,Rank,Totala,Male,Female
Science and engineering,-,"41,356","23,408","17,939"
From top 20 institutions,-,"11,238","6,796","4,440"
Stanford U.,1,718,458,258
"U. Michigan, Ann Arbor",2,693,394,299
"Purdue U., West Lafayette",3,679,436,243
"Texas A&M U., College Station and Health Science Center",4,668,432,236
"U. California, Berkeley",5,664,423,241
U. Florida,6,595,330,265
"U. Illinois, Urbana-Champaign",7,566,351,215
"U. Washington, Seattle",8,558,327,231
U. Wisconsin-Madison,8,558,343,215
"Ohio State U., Columbus",10,547,317,230
Georgia Institute of Technology,11,536,384,152
"U. Minnesota, Twin Cities",12,530,319,211
Massachusetts Institute of Technology,13,526,377,149
Walden U.,14,519,169,350
"U. Texas, Austin",15,509,313,196
Pennsylvania State U.,16,508,291,217
"U. California, Los Angeles",17,503,309,194
Harvard U.,18,483,278,205
"U. California, San Diego",19,445,280,165
North Carolina State U.,20,433,265,168
 Agricultural sciences and natural resources,-,"1,223",602,621
From top 20 institutions,-,701,348,353
"Texas A&M U., College Station and Health Science Center",1,56,32,24
U. Florida,2,54,30,24
U. Georgia,3,49,21,28
"U. California, Davis",4,40,15,25
"U. Nebraska, Lincoln",5,37,23,14
Cornell U.,6,36,19,17
North Carolina State U.,7,34,12,22
Virginia Polytechnic Institute and State U.,7,34,21,13
Iowa State U.,9,33,22,11
"U. Illinois, Urbana-Champaign",9,33,16,17
Kansas State U.,11,32,14,18
"Ohio State U., Columbus",11,32,11,21
U. Wisconsin-Madison,13,28,16,12
Mississippi State U.,14,26,16,10
"Purdue U., West Lafayette",14,26,7,19
"U. Minnesota, Twin Cities",16,24,11,13
Michigan State U.,17,23,8,15
"U. Missouri, Columbia",18,22,12,10
Washington State U.,18,22,8,14
"Auburn U., Auburn",20,20,13,7
"Oklahoma State U., Stillwater",20,20,12,8
Texas Tech U.,20,20,9,11
 Biological and biomedical sciences,-,"8,259","3,946","4,312"
From top 20 institutions,-,"2,367","1,128","1,238"
Harvard U.,1,162,89,73
Johns Hopkins U.,2,155,68,87
Stanford U.,3,144,76,67
"U. Michigan, Ann Arbor",4,143,52,91
U. Florida,5,140,69,71
"U. Washington, Seattle",6,131,62,69
U. Pennsylvania,7,122,58,64
"U. California, Davis",8,120,52,68
"U. California, Berkeley",9,119,63,56
"U. North Carolina, Chapel Hill",10,113,47,66
Yale U.,10,113,54,59
"Texas A&M U., College Station and Health Science Center",12,109,56,53
U. Wisconsin-Madison,13,107,54,53
"Ohio State U., Columbus",14,106,52,54
U. Georgia,14,106,47,59
"U. Minnesota, Twin Cities",16,100,50,50
"U. California, San Diego",17,98,44,54
