Table 7-4,,
"Top 20 doctorate-granting institutions ranked by number of minority U.S. citizen and permanent resident research doctorate recipients, by ethnicity and race: 5-year total, 2017–21",,
(Number),,
Institution,Rank,Doctorate recipients
Hispanic or Latino (390 institutions),-,"13,658"
From top 20 institutions,-,"3,906"
"U. California, Berkeley",1,283
"U. California, Los Angeles",2,256
"U. Texas, Austin",3,238
"U. Michigan, Ann Arbor",4,232
"Texas A&M U., College Station and Health Science Center",5,230
Walden U.,6,213
U. Wisconsin-Madison,7,212
U. Arizona,8,205
U. Florida,9,201
"U. California, San Diego",10,185
"U. California, Davis",11,177
"U. California, Irvine",12,174
Florida International U.,13,173
"U. Texas, El Paso",14,171
"U. California, Riverside",15,167
"U. Washington, Seattle",16,163
"CUNY, Graduate Center",17,159
Columbia U. in the City of New York,18,158
"U. Illinois, Urbana-Champaign",19,155
Harvard U.,20,154
Not Hispanic or Latino,-,-
American Indian or Alaska Native (171 institutions),-,540
From top 20 institutions,-,260
U. Arizona,1,27
"U. New Mexico, Albuquerque",2,22
"Oklahoma State U., Stillwater",3,20
"U. Oklahoma, Norman",4,19
Arizona State U.,5,18
Walden U.,6,17
"U. Minnesota, Twin Cities",7,15
"U. Montana, Missoula",7,15
"U. Washington, Seattle",9,13
U. Kansas,10,11
"Texas A&M U., College Station and Health Science Center",11,10
"U. California, Berkeley",11,10
"U. Alaska, Fairbanks",13,9
"U. California, Davis",14,8
"U. Michigan, Ann Arbor",14,8
"SUNY, U. Buffalo",16,7
U. North Dakota,16,7
Harvard U.,18,6
"Montana State U., Bozeman",18,6
"Ohio State U., Columbus",18,6
"U. Maryland, College Park",18,6
Asian (388 institutions),-,"16,458"
From top 20 institutions,-,"5,812"
"U. California, Los Angeles",1,506
"U. California, Berkeley",2,467
Harvard U.,3,413
Massachusetts Institute of Technology,4,354
Stanford U.,5,337
"U. Michigan, Ann Arbor",6,322
Columbia U. in the City of New York,7,313
"U. California, San Diego",8,290
"U. Illinois, Urbana-Champaign",9,286
"U. Washington, Seattle",10,283
"U. California, Irvine",11,281
U. Southern California,12,256
U. Pennsylvania,13,244
"U. California, Davis",14,227
Georgia Institute of Technology,15,223
Johns Hopkins U.,16,222
"U. Maryland, College Park",17,209
Cornell U.,18,201
"Purdue U., West Lafayette",19,189
U. Wisconsin-Madison,19,189
Black or African American (388 institutions),-,"12,245"
From top 20 institutions,-,"4,040"
Walden U.,1,"1,485"
Howard U.,2,256
Jackson State U.,3,208
U. Georgia,4,158
U. Florida,5,148
Georgia State U.,6,145
"U. North Carolina, Chapel Hill",7,137
"U. Michigan, Ann Arbor",8,135
"Louisiana State U., Baton Rouge",9,133
"U. Maryland, College Park",10,127
Michigan State U.,11,120
Morgan State U.,12,119
George Washington U.,13,118
U. Memphis,14,117
"Ohio State U., Columbus",15,113
North Carolina Agricultural and Technical State U.,16,107
"Texas A&M U., College Station and Health Science Center",17,106
"U. Illinois, Urbana-Champaign",18,104
Columbia U. in the City of New York,19,103
Florida State U.,20,101
More than one race (337 institutions),-,"5,459"
From top 20 institutions,-,"1,676"
"U. California, Berkeley",1,152
"U. Washington, Seattle",2,114
Harvard U.,3,103
"U. Michigan, Ann Arbor",3,103
Stanford U.,5,94
"U. California, Davis",5,94
"U. California, Los Angeles",5,94
Walden U.,8,91
"U. Hawaii, Manoa",9,82
"U. California, San Diego",10,78
U. Wisconsin-Madison,10,78
"U. California, Irvine",12,76
"U. Illinois, Urbana-Champaign",13,75
Massachusetts Institute of Technology,14,70
"U. North Carolina, Chapel Hill",15,69
Columbia U. in the City of New York,16,67
U. Pennsylvania,17,63
Yale U.,18,59
"Texas A&M U., College Station and Health Science Center",19,57
U. Florida,19,57
