Table 7-9,,,,
"Top 20 baccalaureate-origin institutions ranked by 2018 Carnegie Classification category and total number of research doctorate recipients, by field of doctorate: 2021",,,,
(Number),,,,
2018 Carnegie Classification and baccalaureate-origin institution,Ranka,All fields,Science and engineering,Non-science and engineering
U.S. institutions by 2018 Carnegie Classification,-,"30,852","23,490","7,362"
R1: doctoral universities - very high research,-,"15,934","12,897","3,037"
"U. California, Berkeley",1,511,434,77
"U. Michigan, Ann Arbor",2,354,310,44
U. Florida,3,311,250,61
Cornell U.,4,305,262,43
U. Wisconsin-Madison,5,293,245,48
"U. California, Los Angeles",6,289,241,48
"U. Texas, Austin",6,289,233,56
Pennsylvania State U.,8,269,216,53
"U. Illinois, Urbana-Champaign",9,268,229,39
"Ohio State U., Columbus",10,242,194,48
"U. Washington, Seattle",11,228,199,29
"U. Maryland, College Park",12,225,194,31
"U. California, San Diego",13,219,197,22
"U. California, Davis",14,209,188,21
Massachusetts Institute of Technology,15,207,199,8
"Purdue U., West Lafayette",16,204,180,24
"Texas A&M U., College Station and Health Science Center",16,204,166,38
"U. Minnesota, Twin Cities",18,203,183,20
"U. North Carolina, Chapel Hill",19,201,164,37
Harvard U.,20,196,150,46
R2: doctoral universities - high research,-,"4,143","3,021","1,122"
"Brigham Young U., Provo",1,257,180,77
C. of William and Mary,2,106,72,34
"U. Maryland, Baltimore County",3,81,71,10
"Miami U., Oxford",4,80,59,21
Rochester Institute of Technology,5,67,59,8
Baylor U.,6,65,47,18
"San Diego State U., San Diego",7,64,43,21
"U. Texas, San Antonio",8,61,43,18
"U. Puerto Rico, Rio Piedras",9,57,42,15
U. Vermont,9,57,45,12
"Ohio U., Athens",11,56,36,20
Wake Forest U.,11,56,37,19
"Kent State U., Kent",13,54,37,17
"Utah State U., Logan",14,53,36,17
"New Mexico State U., Las Cruces",15,52,40,12
Central Michigan U.,16,51,30,21
Missouri U. of Science and Technology,16,51,49,2
Northern Arizona U.,16,51,39,12
"Loyola U., Chicago",19,47,39,8
U. Toledo,19,47,28,19
Doctoral/ professional universities,-,"1,340",930,410
U. North Florida,1,37,29,8
"California State U., Fresno",2,36,29,7
Middle Tennessee State U.,2,36,26,10
Creighton U.,4,34,26,8
Indiana U. Pennsylvania,5,30,15,15
Gonzaga U.,6,28,22,6
Santa Clara U.,7,27,23,4
U. Northern Colorado,8,26,12,14
U. Central Arkansas,9,25,17,8
Seattle U.,10,24,20,4
Western Kentucky U.,10,24,15,9
"Missouri State U., Springfield",12,23,18,5
Adelphi U.,13,22,14,8
Texas Woman's U.,13,22,14,8
Towson U.,13,22,18,4
Valdosta State U.,13,22,13,9
Andrews U.,17,21,13,8
Elon U.,17,21,15,6
Pepperdine U.,17,21,7,14
"Loyola U., New Orleans",20,19,14,5
"U. Tennessee, Chattanooga",20,19,15,4
Master's colleges and universities,-,"4,935","3,362","1,573"
James Madison U.,1,84,60,24
"SUNY, Geneseo",2,63,56,7
"California Polytechnic State U., San Luis Obispo",3,59,53,6
Grand Valley State U.,4,58,42,16
San Francisco State U.,4,58,46,12
"California State U., Long Beach",6,56,34,22
"CUNY, Hunter C.",7,54,47,7
"U. Puerto Rico, Mayaguez",8,51,47,4
C. New Jersey,9,49,35,14
"California State U., Fullerton",10,46,31,15
Western Washington U.,11,45,32,13
Ithaca C.,12,42,23,19
C. Charleston,13,41,32,9
"California State U., Northridge",13,41,31,10
Truman State U.,15,40,23,17
San Jose State U.,16,38,30,8
Calvin C.,17,37,28,9
"California State Polytechnic U., Pomona",18,36,33,3
Trinity U.,19,35,26,9
Appalachian State U.,20,33,24,9
Baccalaureate colleges,-,"4,256","3,125","1,131"
Swarthmore C.,1,69,52,17
Oberlin C.,2,67,38,29
"Williams C., Williamstown",2,67,54,13
St. Olaf C.,4,66,53,13
Carleton C.,5,65,52,13
Wesleyan U.,6,61,40,21
Amherst C.,7,56,44,12
Vassar C.,7,56,39,17
Wellesley C.,7,56,48,8
Barnard C.,10,55,40,15
Macalester C.,11,52,32,20
Smith C.,12,50,40,10
Grinnell C.,13,48,36,12
Reed C.,14,47,33,14
Mount Holyoke C.,15,45,33,12
Haverford C.,16,43,33,10
Bowdoin C.,17,42,37,5
Colgate U.,17,42,32,10
Middlebury C.,17,42,31,11
Bucknell U.,20,41,35,6
Colorado C.,20,41,34,7
Otherb,-,244,155,89
Rose-Hulman Institute of Technology,1,25,25,0
U. of the Sciences Philadelphia,2,10,10,0
Franklin W. Olin C. of Engineering,3,9,8,1
Moody Bible Institute,4,7,1,6
"U. Maryland, Baltimore",4,7,7,0
Berklee C. of Music,6,5,1,4
Franklin U.,6,5,3,2
South Dakota School of Mines and Technology,6,5,5,0
"U. Oklahoma, Oklahoma City",6,5,4,1
"U. Texas Health Science Center, San Antonio",6,5,5,0
Loma Linda U.,11,4,3,1
Multnomah U.,11,4,0,4
"Polytechnic U. Puerto Rico, San Juan",11,4,4,0
U. of the Arts,11,4,1,3
"Bethel C., Hampton",15,3,1,2
Juilliard School,15,3,0,3
"Kent State U., Jackson Township",15,3,1,2
King's U.,15,3,1,2
Maryland Institute C. of Art,15,3,2,1
New England Conservatory,15,3,0,3
Oregon Health and Science U.,15,3,2,1
Rhode Island School of Design,15,3,1,2
School of the Art Institute of Chicago,15,3,1,2
"Texas Tech U., Health Sciences Center",15,3,2,1
"U. Nebraska, Medical Center",15,3,3,0
"U. Texas Health Science Center, Houston",15,3,3,0
Non-U.S. institutions,-,"17,616","15,008","2,608"
Beijing U.,1,353,310,43
Tsinghua U.,2,270,251,19
U. of Science and Technology of China (USTC),2,270,266,4
Sharif U. of Technology,4,260,246,14
Shanghai Jiaotong U.,5,195,188,7
Seoul National U.,6,194,130,64
