State or location,Abbrev,All fields,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Business,Education,Humanities,Visual and performing arts,Other,,,,,,,,,,,,,,,,,
Alabama,AL,640,3.91,18.59,1.72,18.28,1.25,4.69,3.44,2.50,7.03,8.91,2.66,3.75,16.41,2.19,0.16,4.53,,,,,,,,,,,,,,,,,
Alaska,AK,42,0.78,0.47,0.00,0.31,1.72,0.00,0.00,0.31,0.31,1.56,0.63,0.00,0.31,0.00,0.00,0.16,,,,,,,,,,,,,,,,,
Arizona,AZ,935,3.28,17.50,4.84,30.94,3.59,6.41,3.91,5.47,13.44,9.06,16.25,3.91,9.53,6.72,6.25,5.00,,,,,,,,,,,,,,,,,
Arkansas,AR,275,3.28,7.66,2.81,7.50,0.31,1.25,0.31,0.47,3.13,1.72,2.50,2.19,6.25,1.88,0.00,1.72,,,,,,,,,,,,,,,,,
California,CA,5892,12.66,152.97,44.53,169.06,22.81,27.66,36.88,29.84,104.38,75.94,98.13,19.69,30.00,52.03,18.75,25.31,,,,,,,,,,,,,,,,,
Colorado,CO,1024,3.59,25.94,6.09,33.91,8.75,7.19,7.19,2.03,16.72,9.22,8.75,1.09,14.38,5.16,5.00,5.00,,,,,,,,,,,,,,,,,
Connecticut,CT,731,2.03,24.06,3.44,13.75,2.19,3.13,5.63,1.88,15.16,7.03,15.94,3.44,1.88,8.44,2.34,3.91,,,,,,,,,,,,,,,,,
Delaware,DE,212,1.88,5.47,1.41,8.59,0.63,0.31,1.41,0.47,4.38,1.09,3.28,0.31,1.41,1.09,0.31,1.09,,,,,,,,,,,,,,,,,
Florida,FL,2339,10.31,47.66,21.72,63.75,10.47,21.41,10.78,12.66,28.91,26.41,24.69,9.06,34.06,16.41,7.34,19.84,,,,,,,,,,,,,,,,,
Georgia,GA,1451,7.81,44.69,14.69,56.25,2.66,9.06,5.47,5.63,16.72,11.09,16.09,5.78,10.47,9.84,1.56,8.91,,,,,,,,,,,,,,,,,
Hawaii,HI,133,0.47,2.66,0.47,1.25,2.03,0.94,0.31,0.47,1.41,1.41,3.44,0.78,1.72,2.19,0.47,0.78,,,,,,,,,,,,,,,,,
Idaho,ID,136,2.50,3.28,1.72,4.84,0.94,0.63,0.31,0.63,1.09,1.88,0.16,0.00,2.66,0.47,0.00,0.16,,,,,,,,,,,,,,,,,
Illinois,IL,2310,5.78,50.63,19.38,62.19,4.06,13.75,15.16,5.63,42.97,25.31,43.75,11.88,13.28,28.44,6.72,12.03,,,,,,,,,,,,,,,,,
Indiana,IN,1556,4.84,30.47,11.41,61.09,3.44,8.28,11.41,6.09,24.06,13.28,20.94,4.53,16.56,19.06,1.09,6.56,,,,,,,,,,,,,,,,,
Iowa,IA,618,5.16,16.88,2.66,19.53,0.94,4.53,7.19,2.97,9.06,6.56,5.31,3.13,7.34,2.66,0.63,2.03,,,,,,,,,,,,,,,,,
Kansas,KS,466,5.00,9.69,1.88,11.25,0.47,2.50,2.81,1.88,5.94,8.75,6.25,1.72,6.72,3.44,1.09,3.44,,,,,,,,,,,,,,,,,
