State or location,Abbrev,All fields,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Business,Education,Humanities,Visual and performing arts,Other
Alabama,AL,640.00,25.00,119.00,11.00,117.00,8.00,30.00,22.00,16.00,45.00,57.00,17.00,24.00,105.00,14.00,1.00,29.00
Alaska,AK,42.00,5.00,3.00,0.00,2.00,11.00,0.00,0.00,2.00,2.00,10.00,4.00,0.00,2.00,0.00,0.00,1.00
Arizona,AZ,935.00,21.00,112.00,31.00,198.00,23.00,41.00,25.00,35.00,86.00,58.00,104.00,25.00,61.00,43.00,40.00,32.00
Arkansas,AR,275.00,21.00,49.00,18.00,48.00,2.00,8.00,2.00,3.00,20.00,11.00,16.00,14.00,40.00,12.00,0.00,11.00
California,CA,5892.00,81.00,979.00,285.00,1082.00,146.00,177.00,236.00,191.00,668.00,486.00,628.00,126.00,192.00,333.00,120.00,162.00
Colorado,CO,1024.00,23.00,166.00,39.00,217.00,56.00,46.00,46.00,13.00,107.00,59.00,56.00,7.00,92.00,33.00,32.00,32.00
Connecticut,CT,731.00,13.00,154.00,22.00,88.00,14.00,20.00,36.00,12.00,97.00,45.00,102.00,22.00,12.00,54.00,15.00,25.00
Delaware,DE,212.00,12.00,35.00,9.00,55.00,4.00,2.00,9.00,3.00,28.00,7.00,21.00,2.00,9.00,7.00,2.00,7.00
Florida,FL,2339.00,66.00,305.00,139.00,408.00,67.00,137.00,69.00,81.00,185.00,169.00,158.00,58.00,218.00,105.00,47.00,127.00
Georgia,GA,1451.00,50.00,286.00,94.00,360.00,17.00,58.00,35.00,36.00,107.00,71.00,103.00,37.00,67.00,63.00,10.00,57.00
Hawaii,HI,133.00,3.00,17.00,3.00,8.00,13.00,6.00,2.00,3.00,9.00,9.00,22.00,5.00,11.00,14.00,3.00,5.00
Idaho,ID,136.00,16.00,21.00,11.00,31.00,6.00,4.00,2.00,4.00,7.00,12.00,1.00,0.00,17.00,3.00,0.00,1.00
Illinois,IL,2310.00,37.00,324.00,124.00,398.00,26.00,88.00,97.00,36.00,275.00,162.00,280.00,76.00,85.00,182.00,43.00,77.00
Indiana,IN,1556.00,31.00,195.00,73.00,391.00,22.00,53.00,73.00,39.00,154.00,85.00,134.00,29.00,106.00,122.00,7.00,42.00
Iowa,IA,618.00,33.00,108.00,17.00,125.00,6.00,29.00,46.00,19.00,58.00,42.00,34.00,20.00,47.00,17.00,4.00,13.00
