Table 8-1,,,,,,,,,,,,,
"Science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2021",,,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,,
Characteristic,All fields,Science and engineering ,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences
All doctorate recipients (number)a,"52,250","41,356","1,223","8,259","2,195","9,563","1,044","2,582","1,915","1,299","4,811","3,716","4,749"
Sex (%),,,,,,,,,,,,,
Male,53.7,56.6,49.2,47.8,76.0,73.7,55.8,31.2,72.1,58.7,67.5,27.0,49.7
Female,46.2,43.4,50.8,52.2,24.0,26.3,44.2,68.8,27.9,41.3,32.5,73.0,50.3
Unknown,*,*,0.0,*,0.0,*,0.0,0.0,0.0,0.1,*,0.0,0.1
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,60.6,57.8,56.8,71.1,32.0,39.6,63.7,73.0,44.2,51.9,56.4,82.6,63.0
Temporary visa holder,33.8,36.9,39.0,25.0,60.8,55.1,32.2,20.4,51.5,41.9,39.5,8.3,31.8
Unknown,5.6,5.3,4.2,3.8,7.2,5.4,4.1,6.5,4.2,6.2,4.1,9.1,5.2
Marital status (%),,,,,,,,,,,,,
Never married,35.2,38.4,30.8,39.1,38.8,43.8,38.4,26.1,49.4,37.7,46.6,27.7,30.6
Married,39.6,37.3,44.0,36.5,39.5,36.0,35.4,48.1,29.8,37.4,30.9,35.9,43.4
Marriage-like relationship,9.9,10.4,10.2,13.5,6.3,7.2,15.1,6.9,9.3,9.3,11.7,13.2,11.3
"Separated, divorced, widowed",3.2,2.5,2.5,1.9,2.0,1.5,2.1,5.8,1.1,3.3,1.1,3.9,4.5
Unknown,12.2,11.5,12.5,9.0,13.4,11.5,8.9,13.1,10.3,12.2,9.7,19.3,10.1
Has dependent age 18 or younger (%),21.3,18.0,24.2,15.6,21.0,16.5,15.0,32.9,11.5,20.6,10.8,18.6,24.1
Has one or more functional limitations (%),11.3,10.8,11.1,11.9,9.9,8.2,11.1,10.5,10.1,10.8,10.3,13.1,13.2
Age at doctorate (median years),31.4,30.8,31.7,30.4,31.3,30.2,30.7,34.5,29.4,31.6,29.2,31.2,33.1
Bachelor's in same field as doctorate (%)b,61.7,65.8,49.6,64.3,40.9,82.3,53.0,44.5,80.1,12.3,78.6,72.7,56.2
Master's earned (%),75.1,70.1,78.3,45.0,77.6,76.6,69.9,80.3,72.4,78.9,52.7,91.0,90.0
Master's earned at same doctorate institution (%),45.7,48.9,32.6,38.4,48.6,50.2,44.2,33.7,56.5,47.0,58.0,66.8,47.1
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,8.7,8.0,8.6,8.0,8.8,7.5,8.0,11.3,7.0,8.9,6.6,8.6,10.0
From graduate school start,7.3,6.8,7.3,6.3,7.3,6.7,6.8,8.9,6.1,7.6,5.9,6.9,8.4
From doctoral program startc,5.7,5.6,5.0,5.8,5.8,5.3,5.3,5.3,5.3,5.5,5.5,6.0,6.0
Received tuition remission (%),84.5,86.2,85.4,89.2,85.1,85.7,88.4,70.9,93.5,84.5,90.7,80.8,87.3
Male doctorate recipients (number),"28,082","23,408",602,"3,946","1,669","7,050",583,806,"1,381",762,"3,246","1,005","2,358"
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,54.2,51.6,52.3,70.0,30.7,37.6,59.2,65.5,44.0,46.2,55.4,84.2,57.9
Temporary visa holder,40.6,43.5,43.7,26.3,62.4,57.6,36.7,28.0,52.1,47.8,40.6,7.1,37.0
Unknown,5.2,4.8,4.0,3.6,6.9,4.8,4.1,6.5,3.9,6.0,4.0,8.8,5.0
Marital status (%),,,,,,,,,,,,,
Never married,38.0,41.1,27.6,39.5,39.9,44.7,40.5,31.9,51.4,41.3,47.4,29.3,30.7
Married,39.5,37.2,49.0,37.3,38.9,36.6,37.2,45.8,28.4,37.9,30.9,38.4,44.8
Marriage-like relationship,9.0,9.2,9.5,12.5,6.4,6.5,12.0,6.7,8.5,7.7,11.2,12.2,10.9
"Separated, divorced, widowed",2.0,1.7,1.5,1.6,1.7,1.3,1.5,2.4,1.2,2.5,0.8,2.2,3.5
Unknown,11.6,10.8,12.5,9.0,13.1,10.9,8.7,13.3,10.5,10.5,9.7,17.9,10.1
