Table 8-2,,,,,,,
"Non-science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2021",,,,,,,
"(Number, percent, and median years)",,,,,,,
Characteristic,All fields,Non-science and engineering,,,,,
,,Total,Business,Education,Humanities,Visual and performing arts,Othera
All doctorate recipients (number)b,"52,250","10,894","1,340","3,711","3,076",771,"1,996"
Sex (%),,,,,,,
Male,53.7,42.9,56.4,29.9,52.6,45.3,42.0
Female,46.2,57.1,43.6,70.0,47.3,54.7,58.0
Unknown,*,*,0.0,*,0.1,0.0,0.0
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,60.6,71.3,44.0,79.8,76.0,74.1,65.4
Temporary visa holder,33.8,21.8,48.1,13.4,17.8,19.1,27.3
Unknown,5.6,6.9,7.9,6.8,6.2,6.9,7.3
Marital status (%),,,,,,,
Never married,35.2,22.8,26.3,17.1,25.2,28.5,24.9
Married,39.6,48.4,46.8,54.6,45.5,42.2,44.7
Marriage-like relationship,9.9,8.1,5.2,5.3,11.3,12.3,8.3
"Separated, divorced, widowed",3.2,5.8,5.1,7.7,4.3,3.8,6.1
Unknown,12.2,14.9,16.6,15.2,13.6,13.2,16.0
Has dependent age 18 or younger (%),21.3,34.2,32.4,44.5,27.0,21.5,32.4
Has one or more functional limitations (%),11.3,13.3,9.2,12.2,15.2,15.1,14.6
Age at doctorate (median years),31.4,35.8,33.9,38.8,34.6,33.9,35.3
Bachelor's in same field as doctorate (%)c,61.7,45.4,36.5,25.4,73.4,69.1,35.9
Master's earned (%),75.1,94.3,88.9,96.8,93.3,94.0,94.8
Master's earned at same doctorate institution (%),45.7,36.2,26.6,34.0,41.5,38.1,37.4
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,8.7,12.3,10.8,15.0,11.3,11.0,11.7
From graduate school start,7.3,10.0,8.8,12.0,9.8,9.3,9.5
From doctoral program startd,5.7,5.9,5.0,5.7,6.8,6.7,5.8
Received tuition remission (%),84.5,77.8,78.1,64.4,89.2,93.4,78.5
Male doctorate recipients (number),"28,082","4,674",756,"1,111","1,619",349,839
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,54.2,67.4,40.3,77.9,75.2,74.8,59.6
Temporary visa holder,40.6,25.9,51.2,15.2,18.8,19.8,33.4
Unknown,5.2,6.8,8.5,6.9,6.1,5.4,7.0
Marital status (%),,,,,,,
Never married,38.0,22.3,23.4,16.9,22.9,27.5,25.1
Married,39.5,50.8,49.3,57.8,49.8,43.0,47.8
Marriage-like relationship,9.0,8.0,5.3,4.6,10.7,12.6,7.6
"Separated, divorced, widowed",2.0,3.7,3.7,4.4,3.2,3.4,3.7
Unknown,11.6,15.3,18.3,16.3,13.3,13.5,15.7
Has dependent age 18 or younger (%),21.5,36.7,36.9,49.6,31.6,24.1,34.9
Has one or more functional limitations (%),10.0,11.4,8.0,10.5,13.1,10.8,12.2
Age at doctorate (median years),31.3,35.7,34.2,38.5,35.1,33.8,35.8
Bachelor's in same field as doctorate (%)c,64.5,48.0,32.7,24.3,73.6,67.6,34.5
Master's earned (%),73.9,94.5,90.7,97.1,94.3,95.0,94.8
Master's earned at same doctorate institution (%),45.9,35.6,28.0,32.8,40.9,36.6,34.9
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,8.3,12.0,10.8,15.0,11.5,10.7,11.6
From graduate school start,7.0,9.8,8.8,11.8,9.8,8.8,9.3
From doctoral program startd,5.7,5.9,5.0,5.5,6.8,6.0,5.7
Received tuition remission (%),85.8,78.8,77.4,63.8,87.2,92.5,77.5
Female doctorate recipients (number),"24,156","6,217",584,"2,599","1,455",422,"1,157"
Citizenship status (%),,,,,,,
U.S. citizen or permanent resident,68.1,74.3,48.8,80.7,77.1,73.5,69.7
Temporary visa holder,25.8,18.8,44.0,12.6,16.7,18.5,22.9
Unknown,6.1,6.9,7.2,6.7,6.2,8.1,7.4
Marital status (%),,,,,,,
Never married,31.9,23.1,30.1,17.2,27.8,29.4,24.7
Married,39.8,46.7,43.5,53.3,40.8,41.5,42.5
Marriage-like relationship,10.9,8.1,5.1,5.7,12.0,12.1,8.8
"Separated, divorced, widowed",4.5,7.5,6.8,9.1,5.6,4.0,7.8
Unknown,12.9,14.6,14.4,14.7,13.8,13.0,16.2
Has dependent age 18 or younger (%),21.1,32.3,26.9,42.4,21.9,19.3,30.6
Has one or more functional limitations (%),12.7,14.8,10.7,12.8,17.6,18.6,16.3
Age at doctorate (median years),31.7,35.8,33.5,39.0,34.0,34.0,35.2
Bachelor's in same field as doctorate (%)c,58.3,43.4,41.2,25.8,73.2,70.3,37.0
Master's earned (%),76.4,94.1,86.7,96.7,92.2,93.2,94.8
Master's earned at same doctorate institution (%),45.3,36.7,24.8,34.5,42.2,39.3,39.2
Time to doctorate (median years),,,,,,,
Years since earning bachelor's degree,9.0,12.7,10.8,15.3,11.2,11.4,11.8
From graduate school start,7.6,10.3,8.8,12.0,9.4,9.8,9.7
From doctoral program startd,5.8,5.9,5.0,5.7,6.8,6.8,5.8
Received tuition remission (%),83.0,77.0,79.0,64.6,91.5,94.1,79.2
