Table 8-3,,,
"Agricultural sciences and natural resources research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,All agricultural sciences and natural resources fields,"Agricultural, animal, plant, and veterinary sciences",Natural resources and conservation
All doctorate recipients (number)a,"1,223",807,416
Sex (%),,,
Male,49.2,50.1,47.6
Female,50.8,49.9,52.4
Unknown,0.0,0.0,0.0
Citizenship status (%),,,
U.S. citizen or permanent resident,56.8,54.5,61.3
Temporary visa holder,39.0,42.1,32.9
Unknown,4.2,3.3,5.8
Marital status (%),,,
Never married,30.8,32.7,27.2
Married,44.0,43.7,44.5
Marriage-like relationship,10.2,8.7,13.2
"Separated, divorced, widowed",2.5,1.7,3.8
Unknown,12.5,13.1,11.3
Has dependent age 18 or younger (%),24.2,23.8,24.9
Has one or more functional limitations (%),11.1,11.6,10.2
Age at doctorate (median years),31.7,31.0,33.0
Bachelor's in same field as doctorate (%)b,49.6,61.2,27.0
Master's earned (%),78.3,75.3,84.1
Master's earned at same doctorate institution (%),32.6,34.5,29.4
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.6,8.0,10.0
From graduate school start,7.3,6.8,8.1
From doctoral program startc,5.0,4.8,5.3
Received tuition remission (%),85.4,84.6,87.0
Male doctorate recipients (number),602,404,198
Citizenship status (%),,,
U.S. citizen or permanent resident,52.3,51.5,54.0
Temporary visa holder,43.7,46.0,38.9
Unknown,4.0,2.5,7.1
Marital status (%),,,
Never married,27.6,29.0,24.7
Married,49.0,50.2,46.5
Marriage-like relationship,9.5,D,D
"Separated, divorced, widowed",1.5,D,D
Unknown,12.5,12.1,13.1
Has dependent age 18 or younger (%),29.1,30.2,26.7
Has one or more functional limitations (%),11.2,12.9,7.7
Age at doctorate (median years),32.0,31.3,33.8
Bachelor's in same field as doctorate (%)b,52.9,64.6,27.9
Master's earned (%),81.0,77.8,87.7
Master's earned at same doctorate institution (%),29.7,33.9,21.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.6,8.0,10.5
From graduate school start,7.3,6.8,8.3
From doctoral program startc,4.9,4.9,5.3
Received tuition remission (%),84.0,82.7,86.7
Female doctorate recipients (number),621,403,218
Citizenship status (%),,,
U.S. citizen or permanent resident,61.2,57.6,67.9
Temporary visa holder,34.5,38.2,27.5
Unknown,4.3,4.2,4.6
Marital status (%),,,
Never married,34.0,36.5,29.4
Married,39.1,37.2,42.7
Marriage-like relationship,11.0,D,D
"Separated, divorced, widowed",3.4,D,D
Unknown,12.6,14.1,9.6
Has dependent age 18 or younger (%),19.4,17.2,23.4
Has one or more functional limitations (%),10.9,10.2,12.3
Age at doctorate (median years),31.4,30.8,32.1
Bachelor's in same field as doctorate (%)b,46.3,57.5,26.1
Master's earned (%),75.6,72.6,80.9
Master's earned at same doctorate institution (%),35.7,35.1,36.6
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.4,8.0,9.5
From graduate school start,7.0,6.7,8.0
From doctoral program startc,5.0,4.8,5.3
Received tuition remission (%),86.8,86.4,87.3
