Table 8-5,,,
"Computer and information sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,All computer and information sciences fields,Computer science,"Computer and information sciences, other"
All doctorate recipients (number)a,"2,195","1,545",650
Sex (%),,,
Male,76.0,78.3,70.8
Female,24.0,21.7,29.2
Unknown,0.0,0.0,0.0
Citizenship status (%),,,
U.S. citizen or permanent resident,32.0,31.1,34.3
Temporary visa holder,60.8,61.7,58.6
Unknown,7.2,7.2,7.1
Marital status (%),,,
Never married,38.8,40.2,35.4
Married,39.5,37.7,43.8
Marriage-like relationship,6.3,6.3,6.3
"Separated, divorced, widowed",2.0,1.3,3.5
Unknown,13.4,14.4,10.9
Has dependent age 18 or younger (%),21.0,18.5,26.8
Has one or more functional limitations (%),9.9,8.9,12.1
Age at doctorate (median years),31.3,30.9,32.3
Bachelor's in same field as doctorate (%)b,40.9,45.7,29.9
Master's earned (%),77.6,76.6,80.0
Master's earned at same doctorate institution (%),48.6,49.5,46.7
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.8,8.4,9.5
From graduate school start,7.3,7.3,7.8
From doctoral program startc,5.8,5.8,5.6
Received tuition remission (%),85.1,87.2,80.4
Male doctorate recipients (number),"1,669","1,209",460
Citizenship status (%),,,
U.S. citizen or permanent resident,30.7,30.3,31.7
Temporary visa holder,62.4,62.9,61.3
Unknown,6.9,6.9,7.0
Marital status (%),,,
Never married,39.9,41.4,35.9
Married,38.9,36.5,45.4
Marriage-like relationship,6.4,D,D
"Separated, divorced, widowed",1.7,D,D
Unknown,13.1,14.2,10.2
Has dependent age 18 or younger (%),21.2,19.0,26.6
Has one or more functional limitations (%),9.1,8.5,10.4
Age at doctorate (median years),31.3,31.0,32.1
Bachelor's in same field as doctorate (%)b,41.7,46.1,30.5
Master's earned (%),77.2,76.4,79.3
Master's earned at same doctorate institution (%),48.8,50.0,45.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.6,8.3,9.4
From graduate school start,7.3,7.3,7.7
From doctoral program startc,5.8,5.8,5.5
Received tuition remission (%),85.8,87.7,81.2
Female doctorate recipients (number),526,336,190
Citizenship status (%),,,
U.S. citizen or permanent resident,36.3,33.9,40.5
Temporary visa holder,55.5,57.4,52.1
Unknown,8.2,8.6,7.4
Marital status (%),,,
Never married,35.2,35.7,34.2
Married,41.4,42.3,40.0
Marriage-like relationship,6.3,D,D
"Separated, divorced, widowed",2.9,D,D
Unknown,14.3,15.2,12.6
Has dependent age 18 or younger (%),20.6,16.7,27.3
Has one or more functional limitations (%),12.4,10.0,16.5
Age at doctorate (median years),31.4,30.8,32.9
Bachelor's in same field as doctorate (%)b,38.4,44.2,28.4
Master's earned (%),78.9,77.3,81.8
Master's earned at same doctorate institution (%),48.1,47.9,48.6
Time to doctorate (median years),,,
Years since earning bachelor's degree,9.1,8.5,10.3
From graduate school start,7.4,7.0,8.3
From doctoral program startc,5.6,5.5,5.6
Received tuition remission (%),82.8,85.3,78.4
