Table 8-7,,,
"Geosciences, atmospheric, and ocean sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,"All geosciences, atmospheric, and ocean sciences fields",Geological and earth sciences,Ocean/ marine sciences and atmospheric science
All doctorate recipients (number)a,"1,044",613,431
Sex (%),,,
Male,55.8,58.6,52.0
Female,44.2,41.4,48.0
Unknown,0.0,0.0,0.0
Citizenship status (%),,,
U.S. citizen or permanent resident,63.7,60.8,67.7
Temporary visa holder,32.2,34.4,29.0
Unknown,4.1,4.7,3.2
Marital status (%),,,
Never married,38.4,37.4,39.9
Married,35.4,35.1,36.0
Marriage-like relationship,15.1,14.7,15.8
"Separated, divorced, widowed",2.1,2.6,1.4
Unknown,8.9,10.3,7.0
Has dependent age 18 or younger (%),15.0,16.6,12.8
Has one or more functional limitations (%),11.1,11.7,10.3
Age at doctorate (median years),30.7,30.8,30.4
Bachelor's in same field as doctorate (%)b,53.0,60.1,43.1
Master's earned (%),69.9,71.3,68.0
Master's earned at same doctorate institution (%),44.2,40.7,49.3
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.0,8.0,7.6
From graduate school start,6.8,6.9,6.6
From doctoral program startc,5.3,5.3,5.5
Received tuition remission (%),88.4,89.6,86.9
Male doctorate recipients (number),583,359,224
Citizenship status (%),,,
U.S. citizen or permanent resident,59.2,57.4,62.1
Temporary visa holder,36.7,38.4,33.9
Unknown,4.1,4.2,4.0
Marital status (%),,,
Never married,40.5,39.8,41.5
Married,37.2,37.0,37.5
Marriage-like relationship,12.0,D,D
"Separated, divorced, widowed",1.5,D,D
Unknown,8.7,8.9,8.5
Has dependent age 18 or younger (%),17.7,19.9,14.1
Has one or more functional limitations (%),8.9,8.6,9.4
Age at doctorate (median years),31.0,31.2,30.8
Bachelor's in same field as doctorate (%)b,55.0,60.8,45.5
Master's earned (%),72.3,72.2,72.3
Master's earned at same doctorate institution (%),43.0,38.5,50.0
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.0,8.0,7.9
From graduate school start,6.9,7.0,6.8
From doctoral program startc,5.3,5.3,5.6
Received tuition remission (%),88.4,89.6,86.5
Female doctorate recipients (number),461,254,207
Citizenship status (%),,,
U.S. citizen or permanent resident,69.4,65.7,73.9
Temporary visa holder,26.5,28.7,23.7
Unknown,4.1,5.5,2.4
Marital status (%),,,
Never married,35.8,33.9,38.2
Married,33.2,32.3,34.3
Marriage-like relationship,19.1,D,D
"Separated, divorced, widowed",2.8,D,D
Unknown,9.1,12.2,5.3
Has dependent age 18 or younger (%),11.5,11.7,11.3
Has one or more functional limitations (%),13.9,16.3,11.2
Age at doctorate (median years),30.2,30.2,30.0
Bachelor's in same field as doctorate (%)b,50.6,59.1,40.6
Master's earned (%),67.0,70.0,63.5
Master's earned at same doctorate institution (%),45.9,44.0,48.4
Time to doctorate (median years),,,
Years since earning bachelor's degree,7.8,8.0,7.5
From graduate school start,6.7,6.7,6.5
From doctoral program startc,5.3,5.3,5.5
Received tuition remission (%),88.5,89.5,87.3
