Table 8-8,,,,,
"Health sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All health sciences fields,Nursing and nursing science,Pharmacy and pharmaceutical sciences,Public health,"Health sciences, other"
All doctorate recipients (number)a,"2,582",603,408,696,875
Sex (%),,,,,
Male,31.2,10.9,47.5,31.9,37.0
Female,68.8,89.1,52.5,68.1,63.0
Unknown,0.0,0.0,0.0,0.0,0.0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,73.0,84.6,48.0,75.7,74.6
Temporary visa holder,20.4,10.0,46.3,18.8,16.9
Unknown,6.5,5.5,5.6,5.5,8.5
Marital status (%),,,,,
Never married,26.1,16.1,35.5,28.6,26.7
Married,48.1,58.5,40.9,46.6,45.4
Marriage-like relationship,6.9,2.7,5.4,9.9,8.0
"Separated, divorced, widowed",5.8,11.4,2.9,5.0,3.9
Unknown,13.1,11.3,15.2,9.9,16.0
Has dependent age 18 or younger (%),32.9,42.5,24.1,31.5,31.2
Has one or more functional limitations (%),10.5,9.6,9.0,11.1,11.5
Age at doctorate (median years),34.5,44.4,30.8,34.0,34.0
Bachelor's in same field as doctorate (%)b,44.5,87.5,41.5,24.4,32.0
Master's earned (%),80.3,86.4,54.4,88.7,81.0
Master's earned at same doctorate institution (%),33.7,28.5,34.7,36.8,34.3
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.3,17.0,8.0,11.0,11.0
From graduate school start,8.9,11.3,6.5,8.9,9.0
From doctoral program startc,5.3,5.3,5.3,5.0,5.3
Received tuition remission (%),70.9,58.2,89.5,71.5,70.7
Male doctorate recipients (number),806,66,194,222,324
Citizenship status (%),,,,,
U.S. citizen or permanent resident,65.5,80.3,50.0,70.3,68.5
Temporary visa holder,28.0,15.2,45.4,25.2,22.2
Unknown,6.5,4.5,4.6,4.5,9.3
Marital status (%),,,,,
Never married,31.9,24.2,37.1,31.1,30.9
Married,45.8,54.5,44.8,47.3,43.5
Marriage-like relationship,6.7,D,D,9.5,7.7
"Separated, divorced, widowed",2.4,D,D,2.7,1.5
Unknown,13.3,9.1,13.9,9.5,16.4
Has dependent age 18 or younger (%),30.3,40.7,25.1,31.5,30.4
Has one or more functional limitations (%),10.1,6.7,9.6,9.5,11.5
Age at doctorate (median years),33.0,39.0,31.1,34.1,33.3
Bachelor's in same field as doctorate (%)b,36.0,87.1,42.3,26.1,28.0
Master's earned (%),73.7,82.3,54.3,82.6,77.4
Master's earned at same doctorate institution (%),35.1,38.0,36.8,34.5,34.2
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,10.0,14.0,8.3,10.4,10.0
From graduate school start,7.8,9.4,6.8,8.0,8.3
From doctoral program startc,5.3,4.8,5.3,5.0,5.0
Received tuition remission (%),75.2,68.3,88.8,70.9,71.5
Female doctorate recipients (number),"1,776",537,214,474,551
Citizenship status (%),,,,,
U.S. citizen or permanent resident,76.5,85.1,46.3,78.3,78.2
Temporary visa holder,17.0,9.3,47.2,15.8,13.8
Unknown,6.5,5.6,6.5,5.9,8.0
Marital status (%),,,,,
Never married,23.5,15.1,34.1,27.4,24.3
Married,49.1,59.0,37.4,46.2,46.5
Marriage-like relationship,6.9,D,D,10.1,8.2
"Separated, divorced, widowed",7.4,D,D,6.1,5.3
Unknown,13.1,11.5,16.4,10.1,15.8
Has dependent age 18 or younger (%),34.1,42.7,23.0,31.5,31.7
Has one or more functional limitations (%),10.8,9.9,8.4,11.8,11.5
Age at doctorate (median years),35.5,45.2,30.4,33.9,34.2
Bachelor's in same field as doctorate (%)b,48.3,87.5,40.7,23.7,34.2
Master's earned (%),83.3,86.9,54.5,91.5,83.1
Master's earned at same doctorate institution (%),33.1,27.4,32.7,37.8,34.4
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,12.0,17.3,7.9,11.2,11.5
From graduate school start,9.6,12.0,6.3,9.3,9.6
From doctoral program startc,5.2,5.3,5.0,5.0,5.3
Received tuition remission (%),68.9,57.0,90.1,71.7,70.3
