Table 8-9,,,,
"Mathematics and statistics research doctorate recipients, statistical profiles by sex and major field of doctorate: 2021",,,,
"(Number, percent, and median years)",,,,
Characteristic,All mathematics and statistics fields,Applied mathematics,Mathematics,Statistics
All doctorate recipients (number)a,"1,915",475,827,613
Sex (%),,,,
Male,72.1,69.9,77.5,66.6
Female,27.9,30.1,22.5,33.4
Unknown,0.0,0.0,0.0,0.0
Citizenship status (%),,,,
U.S. citizen or permanent resident,44.2,48.0,51.8,31.2
Temporary visa holder,51.5,49.5,43.0,64.6
Unknown,4.2,2.5,5.2,4.2
Marital status (%),,,,
Never married,49.4,48.0,49.2,50.7
Married,29.8,33.7,26.8,30.8
Marriage-like relationship,9.3,D,9.9,D
"Separated, divorced, widowed",1.1,D,1.3,D
Unknown,10.3,7.6,12.7,9.3
Has dependent age 18 or younger (%),11.5,15.2,8.2,12.9
Has one or more functional limitations (%),10.1,12.1,9.9,8.6
Age at doctorate (median years),29.4,29.7,29.1,29.7
Bachelor's in same field as doctorate (%)b,80.1,73.0,88.6,74.5
Master's earned (%),72.4,78.3,66.0,76.2
Master's earned at same doctorate institution (%),56.5,60.2,55.1,55.1
Time to doctorate (median years),,,,
Years since earning bachelor's degree,7.0,7.3,6.8,7.3
From graduate school start,6.1,6.3,6.0,6.3
From doctoral program startc,5.3,5.0,5.8,5.0
Received tuition remission (%),93.5,92.3,95.2,92.3
Male doctorate recipients (number),"1,381",332,641,408
Citizenship status (%),,,,
U.S. citizen or permanent resident,44.0,43.4,51.6,32.4
Temporary visa holder,52.1,53.3,44.1,63.7
Unknown,3.9,3.3,4.2,3.9
Marital status (%),,,,
Never married,51.4,48.8,52.4,52.0
Married,28.4,32.5,25.4,29.7
Marriage-like relationship,8.5,D,D,7.8
"Separated, divorced, widowed",1.2,D,D,1.2
Unknown,10.5,8.4,12.3,9.3
Has dependent age 18 or younger (%),11.5,16.0,7.6,13.5
Has one or more functional limitations (%),10.6,12.6,10.0,9.8
Age at doctorate (median years),29.5,29.9,29.1,29.8
Bachelor's in same field as doctorate (%)b,79.7,70.4,88.4,74.2
Master's earned (%),70.6,76.7,63.5,76.4
Master's earned at same doctorate institution (%),54.3,58.8,52.3,53.1
Time to doctorate (median years),,,,
Years since earning bachelor's degree,7.0,7.3,6.7,7.3
From graduate school start,6.1,6.3,6.0,6.6
From doctoral program startc,5.3,5.0,5.8,5.1
Received tuition remission (%),94.0,93.5,95.5,92.3
Female doctorate recipients (number),534,143,186,205
Citizenship status (%),,,,
U.S. citizen or permanent resident,44.9,58.7,52.2,28.8
Temporary visa holder,50.0,40.6,39.2,66.3
Unknown,5.1,0.7,8.6,4.9
Marital status (%),,,,
Never married,44.2,46.2,38.2,48.3
Married,33.5,36.4,31.7,33.2
Marriage-like relationship,11.2,11.9,D,D
"Separated, divorced, widowed",1.1,0.0,D,D
Unknown,9.9,5.6,14.0,9.3
Has dependent age 18 or younger (%),11.6,13.2,10.1,11.8
Has one or more functional limitations (%),8.6,11.0,9.5,6.1
Age at doctorate (median years),29.3,29.5,29.0,29.4
Bachelor's in same field as doctorate (%)b,80.9,79.0,89.2,75.3
Master's earned (%),77.1,81.9,74.7,75.8
Master's earned at same doctorate institution (%),61.8,63.4,63.4,59.2
Time to doctorate (median years),,,,
Years since earning bachelor's degree,7.0,7.0,7.0,7.1
From graduate school start,6.2,6.3,6.2,6.1
From doctoral program startc,5.3,5.2,5.8,5.0
Received tuition remission (%),92.2,89.7,94.4,92.2
