Table 8-10,,,
"Multidisciplinary/ interdisciplinary sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,All multidisciplinary/ interdisciplinary sciences fields,Interdisciplinary computer sciences,"Multidisciplinary/ interdisciplinary sciences, other"
All doctorate recipients (number)a,"1,299",448,851
Sex (%),,,
Male,58.7,77.9,48.5
Female,41.3,22.1,51.4
Unknown,0.1,0.0,0.1
Citizenship status (%),,,
U.S. citizen or permanent resident,51.9,39.1,58.6
Temporary visa holder,41.9,56.9,34.0
Unknown,6.2,4.0,7.4
Marital status (%),,,
Never married,37.7,47.8,32.4
Married,37.4,34.6,38.9
Marriage-like relationship,9.3,8.0,10.0
"Separated, divorced, widowed",3.3,1.6,4.2
Unknown,12.2,8.0,14.5
Has dependent age 18 or younger (%),20.6,15.7,23.3
Has one or more functional limitations (%),10.8,10.7,10.9
Age at doctorate (median years),31.6,30.3,32.4
Bachelor's in same field as doctorate (%)b,12.3,16.9,9.7
Master's earned (%),78.9,77.1,79.9
Master's earned at same doctorate institution (%),47.0,50.2,45.3
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.9,7.8,9.6
From graduate school start,7.6,6.9,8.0
From doctoral program startc,5.5,5.7,5.4
Received tuition remission (%),84.5,84.5,84.5
Male doctorate recipients (number),762,349,413
Citizenship status (%),,,
U.S. citizen or permanent resident,46.2,37.2,53.8
Temporary visa holder,47.8,58.2,39.0
Unknown,6.0,4.6,7.3
Marital status (%),,,
Never married,41.3,50.4,33.7
Married,37.9,34.1,41.2
Marriage-like relationship,7.7,D,D
"Separated, divorced, widowed",2.5,D,D
Unknown,10.5,7.2,13.3
Has dependent age 18 or younger (%),20.2,15.9,24.1
Has one or more functional limitations (%),9.6,10.6,8.8
Age at doctorate (median years),31.5,30.6,32.5
Bachelor's in same field as doctorate (%)b,12.8,17.4,8.8
Master's earned (%),78.4,76.5,80.2
Master's earned at same doctorate institution (%),47.1,48.6,45.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,8.4,7.9,9.5
From graduate school start,7.3,7.1,7.8
From doctoral program startc,5.7,5.8,5.3
Received tuition remission (%),83.4,83.1,83.7
Female doctorate recipients (number),536,99,437
Citizenship status (%),,,
U.S. citizen or permanent resident,60.1,45.5,63.4
Temporary visa holder,33.6,52.5,29.3
Unknown,6.3,2.0,7.3
Marital status (%),,,
Never married,32.6,38.4,31.4
Married,36.8,36.4,36.8
Marriage-like relationship,11.6,D,D
"Separated, divorced, widowed",4.5,D,D
Unknown,14.6,11.1,15.3
Has dependent age 18 or younger (%),21.1,14.8,22.6
Has one or more functional limitations (%),12.6,11.2,12.9
Age at doctorate (median years),31.6,30.0,32.3
Bachelor's in same field as doctorate (%)b,11.5,15.1,10.7
Master's earned (%),79.8,79.6,79.8
Master's earned at same doctorate institution (%),46.9,55.4,44.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,9.1,7.6,9.6
From graduate school start,7.8,6.5,8.1
From doctoral program startc,5.4,5.3,5.7
Received tuition remission (%),86.1,89.8,85.3
