Table 8-12,,,,,
"Psychology research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All psychology fields,Clinical psychology,Counseling and applied psychology,Research and experimental psychology,"Psychology, other"
All doctorate recipients (number)a,"3,716","1,256","1,338",651,471
Sex (%),,,,,
Male,27.0,25.2,25.0,35.2,26.5
Female,73.0,74.8,75.0,64.8,73.5
Unknown,0.0,0.0,0.0,0.0,0.0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,82.6,86.8,84.7,81.4,67.3
Temporary visa holder,8.3,4.3,7.8,15.7,10.2
Unknown,9.1,8.9,7.5,2.9,22.5
Marital status (%),,,,,
Never married,27.7,27.5,27.1,36.3,18.5
Married,35.9,35.2,38.9,35.0,30.4
Marriage-like relationship,13.2,12.9,11.8,18.1,10.8
"Separated, divorced, widowed",3.9,3.3,4.8,2.8,4.9
Unknown,19.3,21.1,17.4,7.8,35.5
Has dependent age 18 or younger (%),18.6,15.6,22.9,13.0,23.8
Has one or more functional limitations (%),13.1,12.1,13.6,15.3,10.1
Age at doctorate (median years),31.2,31.2,31.7,30.3,31.8
Bachelor's in same field as doctorate (%)b,72.7,82.4,67.1,72.4,61.7
Master's earned (%),91.0,93.1,93.3,83.8,89.4
Master's earned at same doctorate institution (%),66.8,77.9,56.6,72.0,58.4
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.6,8.7,9.1,7.6,9.0
From graduate school start,6.9,6.9,7.3,6.0,6.8
From doctoral program startc,6.0,6.0,5.8,5.8,5.3
Received tuition remission (%),80.8,80.9,75.5,91.0,79.5
Male doctorate recipients (number),"1,005",317,334,229,125
Citizenship status (%),,,,,
U.S. citizen or permanent resident,84.2,89.6,85.0,83.4,69.6
Temporary visa holder,7.1,2.8,7.2,12.7,7.2
Unknown,8.8,7.6,7.8,3.9,23.2
Marital status (%),,,,,
Never married,29.3,30.0,27.5,35.8,20.0
Married,38.4,39.1,42.2,34.9,32.8
Marriage-like relationship,12.2,10.1,11.7,17.9,8.8
"Separated, divorced, widowed",2.2,1.9,2.4,D,D
Unknown,17.9,18.9,16.2,D,D
Has dependent age 18 or younger (%),24.6,21.6,33.2,14.9,29.1
Has one or more functional limitations (%),14.3,15.7,12.7,16.2,10.4
Age at doctorate (median years),31.8,31.9,32.4,30.7,32.3
Bachelor's in same field as doctorate (%)b,69.6,78.6,62.7,73.9,54.5
Master's earned (%),89.4,91.4,91.4,84.4,88.6
Master's earned at same doctorate institution (%),65.9,78.0,53.6,70.9,58.4
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.6,9.0,9.3,7.5,9.0
From graduate school start,7.0,7.0,7.4,6.0,6.3
From doctoral program startc,5.9,6.0,5.8,5.7,5.0
Received tuition remission (%),81.9,79.8,76.2,90.6,85.5
Female doctorate recipients (number),"2,711",939,"1,004",422,346
Citizenship status (%),,,,,
U.S. citizen or permanent resident,82.0,85.8,84.6,80.3,66.5
Temporary visa holder,8.8,4.8,8.1,17.3,11.3
Unknown,9.2,9.4,7.4,2.4,22.3
Marital status (%),,,,,
Never married,27.2,26.7,26.9,36.5,17.9
Married,35.0,33.9,37.8,35.1,29.5
Marriage-like relationship,13.5,13.8,11.9,18.2,11.6
"Separated, divorced, widowed",4.6,3.7,5.6,D,D
Unknown,19.8,21.8,17.8,D,D
Has dependent age 18 or younger (%),16.3,13.5,19.4,12.0,21.9
Has one or more functional limitations (%),12.7,10.9,14.0,14.8,10.0
Age at doctorate (median years),31.0,31.1,31.4,30.1,31.6
Bachelor's in same field as doctorate (%)b,73.8,83.7,68.6,71.7,64.3
Master's earned (%),91.6,93.7,94.0,83.5,89.7
Master's earned at same doctorate institution (%),67.2,77.9,57.6,72.7,58.3
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,8.6,8.7,9.0,7.6,9.0
From graduate school start,6.9,6.9,7.3,6.0,7.0
From doctoral program startc,6.0,6.0,5.8,5.8,5.4
Received tuition remission (%),80.4,81.3,75.3,91.2,77.3
