Table 8-13,,,,,,,,
"Social sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
All doctorate recipients (number)a,"4,749",388,383,"1,317",581,399,578,"1,103"
Sex (%),,,,,,,,
Male,49.7,30.2,35.2,66.1,58.3,42.4,37.9,46.1
Female,50.3,69.8,64.5,33.9,41.7,57.6,62.1,53.8
Unknown,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.1
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,63.0,75.8,73.9,35.5,69.7,79.2,81.1,68.8
Temporary visa holder,31.8,19.3,18.0,58.7,23.9,17.5,15.7,26.6
Unknown,5.2,4.9,8.1,5.8,6.4,3.3,3.1,4.6
Marital status (%),,,,,,,,
Never married,30.6,28.4,29.0,35.5,30.5,24.3,28.7,29.5
Married,43.4,41.8,39.2,40.6,40.8,50.4,45.5,46.6
Marriage-like relationship,11.3,14.7,11.0,10.8,12.7,9.5,11.9,10.5
"Separated, divorced, widowed",4.5,7.0,7.3,1.7,2.6,7.0,5.9,5.4
Unknown,10.1,8.2,13.6,11.3,13.4,8.8,8.0,8.0
Has dependent age 18 or younger (%),24.1,20.8,26.4,19.5,21.0,37.2,24.4,26.6
Has one or more functional limitations (%),13.2,15.6,17.1,9.0,13.6,12.4,15.2,14.9
Age at doctorate (median years),33.1,34.3,34.7,31.3,32.1,35.9,33.8,34.0
Bachelor's in same field as doctorate (%)b,56.2,61.2,27.8,65.6,72.0,39.5,64.2,46.8
Master's earned (%),90.0,88.8,91.6,85.8,87.9,90.5,94.9,93.2
Master's earned at same doctorate institution (%),47.1,57.7,44.3,45.3,56.2,29.0,58.6,42.4
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,10.0,11.3,11.5,8.7,9.3,13.0,10.4,10.6
