Table 8-14,,,,,
"Education research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All education fields,Education leadership and administration,Education research,Teacher education,"Education, other"
All doctorate recipients (number)a,"3,711","1,082","1,204","1,010",415
Sex (%),,,,,
Male,29.9,34.8,30.7,25.0,27.0
Female,70.0,65.2,69.3,75.0,73.0
Unknown,*,0.0,0.0,0.1,0.0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,79.8,86.6,76.7,77.0,77.8
Temporary visa holder,13.4,5.9,17.4,17.9,10.1
Unknown,6.8,7.5,5.9,5.0,12.0
Marital status (%),,,,,
Never married,17.1,15.6,17.3,18.2,17.8
Married,54.6,55.4,54.6,56.6,48.2
Marriage-like relationship,5.3,5.3,5.6,5.1,5.1
"Separated, divorced, widowed",7.7,6.7,7.9,8.9,6.7
Unknown,15.2,17.0,14.6,11.1,22.2
Has dependent age 18 or younger (%),44.5,49.4,42.4,42.9,41.7
Has one or more functional limitations (%),12.2,10.7,11.9,13.9,12.1
Age at doctorate (median years),38.8,40.3,37.8,38.3,38.7
Bachelor's in same field as doctorate (%)b,25.4,20.7,23.7,34.2,19.7
Master's earned (%),96.8,98.1,97.1,96.7,92.2
Master's earned at same doctorate institution (%),34.0,32.6,35.8,33.4,34.0
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15.0,16.7,14.3,14.7,15.0
From graduate school start,12.0,13.3,11.3,11.7,11.7
From doctoral program startc,5.7,5.8,5.8,5.3,5.4
Received tuition remission (%),64.4,55.8,67.4,68.4,67.5
Male doctorate recipients (number),"1,111",377,370,252,112
Citizenship status (%),,,,,
U.S. citizen or permanent resident,77.9,87.0,72.2,72.6,77.7
Temporary visa holder,15.2,5.3,21.1,24.2,8.9
Unknown,6.9,7.7,6.8,3.2,13.4
Marital status (%),,,,,
Never married,16.9,14.9,17.0,18.3,20.5
Married,57.8,60.5,55.7,61.1,48.2
Marriage-like relationship,4.6,4.8,4.9,D,D
"Separated, divorced, widowed",4.4,3.4,4.6,D,D
Unknown,16.3,16.4,17.8,10.7,23.2
Has dependent age 18 or younger (%),49.6,53.8,48.2,47.6,44.2
Has one or more functional limitations (%),10.5,10.3,10.6,10.3,11.6
Age at doctorate (median years),38.5,39.7,37.8,37.7,39.3
Bachelor's in same field as doctorate (%)b,24.3,19.3,19.8,39.1,20.4
Master's earned (%),97.1,98.2,96.3,97.4,95.7
Master's earned at same doctorate institution (%),32.8,34.3,34.8,28.9,30.3
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15.0,16.0,13.8,14.3,15.4
From graduate school start,11.8,12.8,11.3,10.9,11.8
From doctoral program startc,5.5,5.8,5.8,5.1,5.3
Received tuition remission (%),63.8,56.9,67.5,67.8,65.5
Female doctorate recipients (number),"2,599",705,834,757,303
Citizenship status (%),,,,,
U.S. citizen or permanent resident,80.7,86.4,78.8,78.6,77.9
Temporary visa holder,12.6,6.2,15.7,15.9,10.6
Unknown,6.7,7.4,5.5,5.5,11.6
Marital status (%),,,,,
Never married,17.2,16.0,17.4,18.2,16.8
Married,53.3,52.6,54.1,55.2,48.2
Marriage-like relationship,5.7,5.5,6.0,D,D
"Separated, divorced, widowed",9.1,8.5,9.4,D,D
Unknown,14.7,17.3,13.2,11.1,21.8
Has dependent age 18 or younger (%),42.4,47.1,40.0,41.4,40.9
Has one or more functional limitations (%),12.8,10.9,12.4,15.2,12.3
Age at doctorate (median years),39.0,40.8,37.8,38.5,38.1
Bachelor's in same field as doctorate (%)b,25.8,21.4,25.4,32.7,19.4
Master's earned (%),96.7,98.1,97.4,96.6,90.9
Master's earned at same doctorate institution (%),34.5,31.8,36.2,34.9,35.4
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,15.3,17.3,14.4,14.9,14.6
From graduate school start,12.0,13.9,11.3,12.0,11.7
From doctoral program startc,5.7,5.8,5.8,5.4,5.6
Received tuition remission (%),64.6,55.2,67.3,68.6,68.2
