Table 8-15,,,,,,
"Humanities research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,,
"(Number, percent, and median years)",,,,,,
Characteristic,All humanities fields,"English language and literature, letters","Foreign languages, literatures, and linguistics",History,Philosophy and religious studies,"Humanities, other"
All doctorate recipients (number)a,"3,076",933,505,672,592,374
Sex (%),,,,,,
Male,52.6,38.9,43.0,56.7,64.0,74.6
Female,47.3,60.9,57.0,43.3,36.0,25.4
Unknown,0.1,0.2,0.0,0.0,0.0,0.0
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,76.0,83.2,60.4,78.0,77.2,74.1
Temporary visa holder,17.8,10.7,33.1,17.4,17.2,16.3
Unknown,6.2,6.1,6.5,4.6,5.6,9.6
Marital status (%),,,,,,
Never married,25.2,25.4,29.3,28.7,25.8,12.0
Married,45.5,43.5,41.2,43.2,44.8,62.0
Marriage-like relationship,11.3,13.9,9.9,11.8,12.5,4.0
"Separated, divorced, widowed",4.3,3.9,5.7,4.5,4.1,3.5
Unknown,13.6,13.3,13.9,11.9,12.8,18.4
Has dependent age 18 or younger (%),27.0,21.8,24.1,23.2,26.4,53.3
Has one or more functional limitations (%),15.2,17.3,14.0,14.0,16.1,12.2
Age at doctorate (median years),34.6,33.8,35.1,33.9,34.0,38.8
Bachelor's in same field as doctorate (%)b,73.4,82.8,71.4,72.1,70.1,59.6
Master's earned (%),93.3,94.6,94.8,91.7,88.9,97.8
Master's earned at same doctorate institution (%),41.5,35.2,46.0,46.2,45.6,36.8
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.3,11.0,11.7,11.0,11.0,15.0
From graduate school start,9.8,9.0,9.9,9.2,9.8,12.2
From doctoral program startc,6.8,6.1,6.8,6.9,6.9,6.8
Received tuition remission (%),89.2,90.7,92.6,92.5,89.7,73.3
Male doctorate recipients (number),"1,619",363,217,381,379,279
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,75.2,81.8,59.9,76.4,77.0,74.2
Temporary visa holder,18.8,12.7,33.6,19.7,17.4,15.8
Unknown,6.1,5.5,6.5,3.9,5.5,10.0
Marital status (%),,,,,,
Never married,22.9,26.2,29.0,D,25.1,D
Married,49.8,46.0,42.4,47.0,47.0,68.5
Marriage-like relationship,10.7,13.8,12.0,12.3,11.1,3.2
"Separated, divorced, widowed",3.2,2.2,3.7,D,4.0,D
Unknown,13.3,11.8,12.9,11.3,12.9,19.0
Has dependent age 18 or younger (%),31.6,23.2,21.6,24.5,31.0,63.8
Has one or more functional limitations (%),13.1,11.7,13.2,12.5,15.5,12.0
Age at doctorate (median years),35.1,33.9,35.8,34.1,34.6,39.2
Bachelor's in same field as doctorate (%)b,73.6,84.8,71.4,73.5,72.3,61.9
Master's earned (%),94.3,95.1,96.0,93.2,90.8,98.3
Master's earned at same doctorate institution (%),40.9,33.7,47.1,44.6,43.3,37.3
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.5,10.8,12.0,10.9,11.0,15.6
From graduate school start,9.8,9.0,10.0,9.2,9.8,13.0
From doctoral program startc,6.8,6.1,7.0,6.8,6.9,6.8
Received tuition remission (%),87.2,91.6,91.8,90.6,89.2,69.4
Female doctorate recipients (number),"1,455",568,288,291,213,95
Citizenship status (%),,,,,,
U.S. citizen or permanent resident,77.1,84.3,60.8,80.1,77.5,73.7
Temporary visa holder,16.7,9.5,32.6,14.4,16.9,17.9
Unknown,6.2,6.2,6.6,5.5,5.6,8.4
Marital status (%),,,,,,
Never married,27.8,25.0,29.5,D,27.2,D
Married,40.8,42.1,40.3,38.1,40.8,43.2
Marriage-like relationship,12.0,14.1,8.3,11.0,15.0,6.3
"Separated, divorced, widowed",5.6,4.9,7.3,D,4.2,D
Unknown,13.8,13.9,14.6,12.7,12.7,16.8
Has dependent age 18 or younger (%),21.9,20.9,26.1,21.6,18.3,23.8
Has one or more functional limitations (%),17.6,20.9,14.5,15.9,17.2,12.8
Age at doctorate (median years),34.0,33.6,34.4,33.8,33.3,37.9
Bachelor's in same field as doctorate (%)b,73.2,81.6,71.4,70.3,66.2,52.9
Master's earned (%),92.2,94.3,93.8,89.8,85.6,96.5
Master's earned at same doctorate institution (%),42.2,36.2,45.2,48.3,50.0,35.4
Time to doctorate (median years),,,,,,
Years since earning bachelor's degree,11.2,11.0,11.5,11.0,11.0,14.0
From graduate school start,9.4,9.0,9.9,9.3,9.3,10.6
From doctoral program startc,6.8,6.0,6.8,7.0,6.9,6.8
Received tuition remission (%),91.5,90.2,93.2,95.0,90.4,85.0
