Table 8-16,,,
"Business research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,All business fields,Business administration and management,"Business, other"
All doctorate recipients (number)a,"1,340",456,884
Sex (%),,,
Male,56.4,56.8,56.2
Female,43.6,43.2,43.8
Unknown,0.0,0.0,0.0
Citizenship status (%),,,
U.S. citizen or permanent resident,44.0,48.0,42.0
Temporary visa holder,48.1,39.5,52.5
Unknown,7.9,12.5,5.5
Marital status (%),,,
Never married,26.3,21.5,28.8
Married,46.8,43.6,48.4
Marriage-like relationship,5.2,5.0,5.3
"Separated, divorced, widowed",5.1,5.0,5.1
Unknown,16.6,24.8,12.3
Has dependent age 18 or younger (%),32.4,35.1,31.3
Has one or more functional limitations (%),9.2,11.2,8.4
Age at doctorate (median years),33.9,37.2,33.0
Bachelor's in same field as doctorate (%)b,36.5,27.1,40.7
Master's earned (%),88.9,92.5,87.3
Master's earned at same doctorate institution (%),26.6,26.9,26.4
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.8,12.6,10.1
From graduate school start,8.8,9.8,8.1
From doctoral program startc,5.0,5.3,5.0
Received tuition remission (%),78.1,66.3,83.4
Male doctorate recipients (number),756,259,497
Citizenship status (%),,,
U.S. citizen or permanent resident,40.3,39.4,40.8
Temporary visa holder,51.2,47.9,52.9
Unknown,8.5,12.7,6.2
Marital status (%),,,
Never married,23.4,18.9,25.8
Married,49.3,47.5,50.3
Marriage-like relationship,5.3,3.9,6.0
"Separated, divorced, widowed",3.7,3.9,3.6
Unknown,18.3,25.9,14.3
Has dependent age 18 or younger (%),36.9,38.4,36.2
Has one or more functional limitations (%),8.0,8.5,7.9
Age at doctorate (median years),34.2,36.8,33.4
Bachelor's in same field as doctorate (%)b,32.7,23.7,36.8
Master's earned (%),90.7,93.3,89.5
Master's earned at same doctorate institution (%),28.0,25.4,29.1
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.8,12.1,10.3
From graduate school start,8.8,9.3,8.1
From doctoral program startc,5.0,5.0,5.0
Received tuition remission (%),77.4,67.0,82.0
Female doctorate recipients (number),584,197,387
Citizenship status (%),,,
U.S. citizen or permanent resident,48.8,59.4,43.4
Temporary visa holder,44.0,28.4,51.9
Unknown,7.2,12.2,4.7
Marital status (%),,,
Never married,30.1,24.9,32.8
Married,43.5,38.6,46.0
Marriage-like relationship,5.1,6.6,4.4
"Separated, divorced, widowed",6.8,6.6,7.0
Unknown,14.4,23.4,9.8
Has dependent age 18 or younger (%),26.9,30.9,25.1
Has one or more functional limitations (%),10.7,14.7,9.0
Age at doctorate (median years),33.5,37.4,32.4
Bachelor's in same field as doctorate (%)b,41.2,31.3,45.7
Master's earned (%),86.7,91.6,84.5
Master's earned at same doctorate institution (%),24.8,28.9,22.8
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.8,13.1,9.9
From graduate school start,8.8,10.1,8.0
From doctoral program startc,5.0,5.5,5.0
Received tuition remission (%),79.0,65.4,85.1
