Table 8-17,,,
"Visual and performing arts research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,
"(Number, percent, and median years)",,,
Characteristic,All visual and performing arts fields,Performing arts,"Visual arts, media studies/ design"
All doctorate recipients (number)a,771,491,280
Sex (%),,,
Male,45.3,53.6,30.7
Female,54.7,46.4,69.3
Unknown,0.0,0.0,0.0
Citizenship status (%),,,
U.S. citizen or permanent resident,74.1,74.9,72.5
Temporary visa holder,19.1,18.1,20.7
Unknown,6.9,6.9,6.8
Marital status (%),,,
Never married,28.5,29.1,27.5
Married,42.2,43.2,40.4
Marriage-like relationship,12.3,11.8,13.2
"Separated, divorced, widowed",3.8,2.4,6.1
Unknown,13.2,13.4,12.9
Has dependent age 18 or younger (%),21.5,21.1,22.1
Has one or more functional limitations (%),15.1,13.9,17.1
Age at doctorate (median years),33.9,33.1,34.8
Bachelor's in same field as doctorate (%)b,69.1,75.9,57.1
Master's earned (%),94.0,95.1,92.1
Master's earned at same doctorate institution (%),38.1,35.6,42.5
Time to doctorate (median years),,,
Years since earning bachelor's degree,11.0,10.3,12.0
From graduate school start,9.3,8.8,10.0
From doctoral program startc,6.7,6.0,7.3
Received tuition remission (%),93.4,93.3,93.5
Male doctorate recipients (number),349,263,86
Citizenship status (%),,,
U.S. citizen or permanent resident,74.8,76.8,68.6
Temporary visa holder,19.8,17.9,25.6
Unknown,5.4,5.3,5.8
Marital status (%),,,
Never married,27.5,28.9,23.3
Married,43.0,43.3,41.9
Marriage-like relationship,12.6,11.4,16.3
"Separated, divorced, widowed",3.4,2.7,5.8
Unknown,13.5,13.7,12.8
Has dependent age 18 or younger (%),24.1,24.1,24.0
Has one or more functional limitations (%),10.8,10.3,12.3
Age at doctorate (median years),33.8,33.2,35.1
Bachelor's in same field as doctorate (%)b,67.6,75.5,42.9
Master's earned (%),95.0,95.9,92.2
Master's earned at same doctorate institution (%),36.6,35.1,41.4
Time to doctorate (median years),,,
Years since earning bachelor's degree,10.7,10.0,11.5
From graduate school start,8.8,8.8,8.9
From doctoral program startc,6.0,5.8,7.0
Received tuition remission (%),92.5,91.4,96.1
Female doctorate recipients (number),422,228,194
Citizenship status (%),,,
U.S. citizen or permanent resident,73.5,72.8,74.2
Temporary visa holder,18.5,18.4,18.6
Unknown,8.1,8.8,7.2
Marital status (%),,,
Never married,29.4,29.4,29.4
Married,41.5,43.0,39.7
Marriage-like relationship,12.1,12.3,11.9
"Separated, divorced, widowed",4.0,2.2,6.2
Unknown,13.0,13.2,12.9
Has dependent age 18 or younger (%),19.3,17.7,21.3
Has one or more functional limitations (%),18.6,18.1,19.2
Age at doctorate (median years),34.0,32.9,34.8
Bachelor's in same field as doctorate (%)b,70.3,76.3,63.3
Master's earned (%),93.2,94.2,92.1
Master's earned at same doctorate institution (%),39.3,36.2,42.9
Time to doctorate (median years),,,
Years since earning bachelor's degree,11.4,10.6,12.1
From graduate school start,9.8,9.3,10.3
From doctoral program startc,6.8,6.5,7.7
Received tuition remission (%),94.1,95.5,92.4
