Table 8-18,,,,,
"Other non-science and engineering research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All other non-science and engineering fields,Communications and journalism,Multidisciplinary/ interdisciplinary studies,Public administration and social services,"Non-science and engineering, other"
All doctorate recipients (number)a,"1,996",520,331,490,655
Sex (%),,,,,
Male,42.0,42.5,45.6,32.4,47.0
Female,58.0,57.5,54.4,67.6,53.0
Unknown,0.0,0.0,0.0,0.0,0.0
Citizenship status (%),,,,,
U.S. citizen or permanent resident,65.4,68.8,70.4,72.9,54.7
Temporary visa holder,27.3,26.5,17.2,20.0,38.5
Unknown,7.3,4.6,12.4,7.1,6.9
Marital status (%),,,,,
Never married,24.9,28.8,23.6,20.2,26.0
Married,44.7,40.4,37.2,52.9,46.0
Marriage-like relationship,8.3,10.4,13.0,4.5,7.2
"Separated, divorced, widowed",6.1,5.4,5.7,7.8,5.5
Unknown,16.0,15.0,20.5,14.7,15.4
Has dependent age 18 or younger (%),32.4,26.0,24.4,44.0,32.6
Has one or more functional limitations (%),14.6,18.3,16.9,13.5,11.3
Age at doctorate (median years),35.3,33.4,34.4,38.2,35.1
Bachelor's in same field as doctorate (%)b,35.9,50.4,30.5,26.5,34.2
Master's earned (%),94.8,96.3,89.6,98.2,93.6
Master's earned at same doctorate institution (%),37.4,30.2,45.6,38.5,38.6
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.7,10.0,11.0,13.6,11.6
From graduate school start,9.5,8.3,9.5,11.3,9.3
From doctoral program startc,5.8,5.0,6.7,6.0,5.3
Received tuition remission (%),78.5,89.0,80.2,65.2,79.5
Male doctorate recipients (number),839,221,151,159,308
Citizenship status (%),,,,,
U.S. citizen or permanent resident,59.6,68.3,66.2,65.4,47.1
Temporary visa holder,33.4,26.7,21.2,27.7,47.1
Unknown,7.0,5.0,12.6,6.9,5.8
Marital status (%),,,,,
Never married,25.1,29.4,25.2,22.6,23.4
Married,47.8,41.6,37.7,61.0,50.3
Marriage-like relationship,7.6,6.8,13.9,3.8,7.1
"Separated, divorced, widowed",3.7,5.0,D,D,4.5
Unknown,15.7,17.2,D,D,14.6
Has dependent age 18 or younger (%),34.9,29.8,21.4,46.5,38.2
Has one or more functional limitations (%),12.2,14.3,13.6,14.7,8.8
Age at doctorate (median years),35.8,35.0,33.8,38.2,35.8
Bachelor's in same field as doctorate (%)b,34.5,49.0,34.1,20.4,31.9
Master's earned (%),94.8,96.4,88.9,99.3,94.0
Master's earned at same doctorate institution (%),34.9,28.6,50.9,34.5,33.0
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.6,11.0,10.5,13.0,11.7
From graduate school start,9.3,8.3,9.0,10.7,9.5
From doctoral program startc,5.7,5.1,6.8,5.9,5.3
Received tuition remission (%),77.5,85.3,78.9,61.0,80.5
Female doctorate recipients (number),"1,157",299,180,331,347
Citizenship status (%),,,,,
U.S. citizen or permanent resident,69.7,69.2,73.9,76.4,61.4
Temporary visa holder,22.9,26.4,13.9,16.3,30.8
Unknown,7.4,4.3,12.2,7.3,7.8
Marital status (%),,,,,
Never married,24.7,28.4,22.2,19.0,28.2
Married,42.5,39.5,36.7,48.9,42.1
Marriage-like relationship,8.8,13.0,12.2,4.8,7.2
"Separated, divorced, widowed",7.8,5.7,D,D,6.3
Unknown,16.2,13.4,D,D,16.1
Has dependent age 18 or younger (%),30.6,23.3,26.9,42.7,27.6
Has one or more functional limitations (%),16.3,21.1,19.6,12.8,13.6
Age at doctorate (median years),35.2,32.6,35.6,38.2,34.8
Bachelor's in same field as doctorate (%)b,37.0,51.5,27.5,29.5,36.2
Master's earned (%),94.8,96.3,90.2,97.6,93.2
Master's earned at same doctorate institution (%),39.2,31.3,41.3,40.5,44.0
Time to doctorate (median years),,,,,
Years since earning bachelor's degree,11.8,9.8,11.4,14.1,11.4
From graduate school start,9.7,8.2,9.8,11.8,9.0
From doctoral program startc,5.8,5.0,6.7,6.0,5.5
Received tuition remission (%),79.2,91.6,81.4,67.4,78.6
