Table 8-19,,,,,,,,,,,,,,,,,,,
"Statistical profile of research doctorate recipients, by ethnicity, race, and citizenship status: 2021",,,,,,,,,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,,,,,,,,
Characteristic,Totala,U.S. citizen,Non-U.S. citizen,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
,,,,,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,More than one race,,Other race or race not reported,,,
,,,,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen,U.S. citizen,Non-U.S. citizen
All doctorate recipients (number),"52,250","31,674","17,638","2,856","1,148",100,D,"3,022","11,551","2,431",593,"21,333","3,341","1,088",D,376,500,468,386
Primary source of support (%)b,,,,,,,,,,,,,,,,,,,
Teaching assistantships,21.3,19.5,24.4,18.4,23.1,10.3,D,17.0,24.8,10.6,28.6,21.0,23.3,18.9,D,21.3,18.1,23.4,21.6
Research or other assistantships or traineeshipsc,34.7,27.6,47.4,20.6,32.5,13.8,D,35.1,53.0,13.2,35.1,29.4,36.9,23.9,D,24.1,33.5,21.1,47.1
"Fellowships, scholarships, or dissertation grants",24.2,27.0,19.4,34.4,30.3,36.8,D,31.6,16.1,25.8,16.3,25.1,26.2,33.7,D,25.9,28.5,24.0,19.6
Own resources,15.3,21.3,4.4,23.2,2.1,33.3,D,13.4,4.1,44.3,15.4,19.6,4.0,20.7,D,22.4,4.5,26.3,5.9
Employer or other sources,4.5,4.6,4.5,3.4,12.1,5.7,D,2.9,2.0,6.0,4.5,4.8,9.6,2.8,D,6.3,15.4,5.3,5.9
Bachelor's in same field as doctorate (%)d,61.7,61.4,64.0,61.1,65.5,47.3,D,60.6,64.3,46.2,54.7,63.7,64.5,58.2,D,56.7,58.7,51.5,56.8
Master's earned (%),75.1,73.0,80.3,71.7,84.1,90.2,D,69.0,76.7,86.5,86.9,72.0,89.5,70.8,D,79.5,88.2,84.1,80.3
Master's earned at same doctorate institution (%),45.7,51.3,36.5,52.7,42.7,48.8,D,50.4,38.0,39.2,33.8,52.7,30.8,56.1,D,48.6,30.8,52.7,35.5
Marital status (%),,,,,,,,,,,,,,,,,,,
Not marriede,38.3,36.0,48.7,36.3,44.2,36.0,D,39.2,52.7,46.6,41.3,34.8,47.0,39.4,D,27.9,18.6,11.5,9.1
Married or in marriage-like relationship,49.5,56.9,44.2,55.7,51.8,51.0,D,55.0,43.5,44.4,52.8,59.9,49.1,56.0,D,44.4,22.2,17.7,14.2
Unknown,12.2,7.1,7.1,7.9,4.0,13.0,D,5.8,3.8,9.0,5.9,5.4,3.9,4.6,D,27.7,59.2,70.7,76.7
Has dependent age 18 or younger (%),21.3,22.8,18.7,22.7,17.8,35.6,D,21.0,16.0,32.7,45.1,22.0,22.6,20.0,D,25.0,29.6,23.0,26.7
Has one or more functional limitations (%),11.3,12.8,8.5,17.0,11.3,19.5,D,10.2,8.4,12.2,6.0,12.5,8.4,15.3,D,17.4,7.0,10.5,9.4
Age at doctorate (median years),31.4,31.7,31.1,31.8,32.9,37.3,38.8,31.3,30.5,36.6,35.4,31.4,32.3,31.1,31.4,32.9,31.5,33.8,32.2
Time to doctorate (median years),,,,,,,,,,,,,,,,,,,
Years since earning bachelor's degree,8.7,9.0,8.3,8.6,9.4,11.0,14.3,8.6,8.0,12.3,11.3,8.6,9.4,8.3,9.0,10.0,9.1,10.3,9.6
From graduate school start,7.3,7.3,7.3,7.3,7.8,8.8,9.0,7.0,7.0,9.8,8.3,7.0,8.0,6.9,7.3,8.2,8.1,8.0,7.8
From doctoral program startf,5.7,5.8,5.3,5.8,5.7,6.0,5.0,5.8,5.3,5.8,5.0,5.8,5.3,5.8,5.3,5.9,5.7,5.8,5.4
Received tuition remission (%),84.5,83.2,87.0,79.8,82.5,72.7,D,85.6,90.6,66.1,78.3,85.3,79.3,85.0,D,78.5,71.4,84.2,78.9
