Table 9-1,,,,,,,,,,,,,
"Science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2021",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
Characteristic,All fields,Science and engineering ,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences
Doctorate recipients reporting postgraduation status (number),"47,433","37,827","1,108","7,726","1,978","8,754",981,"2,328","1,769","1,178","4,478","3,149","4,378"
Definite postdoctoral training plans,28.9,33.6,31.0,45.5,17.7,26.0,48.5,25.1,33.9,27.0,42.3,47.1,19.6
Definite employment plans,41.0,37.3,36.3,23.5,60.3,41.6,25.2,47.7,38.4,44.5,27.9,31.8,51.2
Seeking employment or study,26.9,26.0,30.4,24.3,20.5,30.3,25.8,24.1,25.6,26.2,27.7,18.5,26.5
Other statusa,3.1,3.0,2.3,6.4,1.5,2.0,0.5,3.1,2.1,2.2,1.9,2.4,2.6
Definite postdoctoral training plans (%)b,,,,,,,,,,,,,
Postdoc fellowship or research associateship,94.7,94.6,96.8,94.4,95.1,95.8,99.2,88.9,98.0,95.3,98.4,85.2,97.2
Other training or unknownc,5.3,5.4,3.2,5.6,4.9,4.2,0.8,11.1,2.0,4.7,1.6,14.8,2.8
Definite employment plans (%)d,,,,,,,,,,,,,
Academe,38.4,29.4,33.1,24.4,26.9,15.6,30.0,47.7,33.7,27.5,13.2,38.2,51.7
In tenure track faculty position (%),45.4,46.4,45.9,30.4,68.8,50.9,25.7,39.9,47.6,54.2,27.3,35.3,53.5
Not in tenure track position (%),50.8,49.2,52.6,66.0,25.2,42.4,66.2,53.7,47.2,42.4,63.0,61.3,44.5
Government,7.9,9.1,14.7,8.5,3.5,7.3,26.7,8.7,4.0,7.1,5.2,11.1,16.0
Industry or businesse,40.9,52.4,44.0,58.8,65.8,71.6,35.2,25.9,57.5,56.7,75.9,30.9,19.3
