Table 9-2,,,,,,,
"Non-science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2021",,,,,,,
(Number and percent),,,,,,,
Characteristic,All fields,Non-science and engineering,,,,,
,,Total,Business,Education,Humanities,Visual and performing arts,Othera
Doctorate recipients reporting postgraduation status (number),"47,433","9,606","1,163","3,277","2,736",690,"1,740"
Definite postdoctoral training plans,28.9,10.5,6.7,5.8,16.0,11.2,12.9
Definite employment plans,41.0,55.7,71.5,64.8,44.8,39.9,51.3
Seeking employment or study,26.9,30.3,18.1,26.7,34.8,45.7,32.1
Other statusb,3.1,3.5,3.5,2.7,4.3,3.3,3.7
Definite postdoctoral training plans (%)c,,,,,,,
Postdoc fellowship or research associateship,94.7,95.8,91.0,94.7,96.8,94.8,96.9
Other training or unknownd,5.3,4.2,9.0,5.3,3.2,5.2,3.1
Definite employment plans (%)e,,,,,,,
Academe,38.4,62.2,75.5,54.7,66.3,60.7,62.6
In tenure track faculty position (%),45.4,44.2,80.6,28.3,35.1,35.3,52.3
Not in tenure track position (%),50.8,52.8,17.4,68.0,62.0,62.3,44.8
Government,7.9,4.9,D,4.3,3.7,D,9.8
Industry or businessf,40.9,10.7,16.0,7.8,7.8,14.9,15.1
Nonprofit organization,6.5,7.9,D,5.9,12.9,D,8.5
Other or unknowng,6.2,14.3,1.8,27.3,9.3,8.0,4.0
Primary activityh,,,,,,,
Research and development,44.5,18.8,47.4,11.3,9.6,12.0,24.5
Teaching,25.5,46.4,31.7,40.2,66.6,62.2,42.3
Management or administration,9.4,20.7,10.9,34.8,10.2,9.7,14.7
Professional services and other,20.6,14.0,9.9,13.6,13.6,16.2,18.5
Secondary activityh,,,,,,,
Research and development,24.1,29.9,32.1,24.7,34.2,30.9,34.1
Teaching,13.6,21.4,46.3,17.4,14.0,13.9,19.9
Management or administration,12.1,10.5,5.4,11.4,12.1,8.9,11.1
Professional services and other,12.4,8.3,5.9,9.1,7.5,11.2,9.1
No secondary activity,37.8,29.9,10.3,37.5,32.2,35.1,25.7
Activity unknown,5.1,5.1,4.4,5.9,4.5,5.8,4.4
Postgraduation location (%)i,,,,,,,
United Statesj,89.7,88.3,77.4,93.9,87.4,85.5,87.9
Midwest,15.9,18.2,15.8,19.7,17.5,17.3,18.5
Northeast,20.1,17.7,15.3,14.9,21.5,25.0,17.7
South,27.4,34.8,31.6,41.9,30.4,23.3,33.1
West,25.8,16.9,13.6,16.8,17.4,19.6,18.0
Outside the United States,10.2,11.6,22.5,6.1,12.4,14.5,11.9
Location unknown,0.1,0.1,0.1,*,0.2,0.0,0.2
Postgraduation location in same state as doctorate institution (%),38.1,43.3,20.4,61.7,37.3,34.7,35.8
Male doctorate recipients reporting postgraduation status (number),"25,662","4,102",648,965,"1,442",312,735
Definite postdoctoral training plans,29.3,11.3,6.9,6.2,16.1,8.7,13.6
Definite employment plans,41.0,55.3,72.8,67.2,44.5,40.4,52.0
