Table 9-3,,,
"Agricultural sciences and natural resources research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,All agricultural sciences and natural resources fields,"Agricultural, animal, plant, and veterinary sciences",Natural resources and conservation
Doctorate recipients reporting postgraduation status (number),"1,108",732,376
Definite postdoctoral training plans,31.0,30.6,31.9
Definite employment plans,36.3,39.1,30.9
Seeking employment or study,30.4,27.9,35.4
Other statusa,2.3,2.5,1.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,96.8,96.0,98.3
Other training or unknownc,3.2,4.0,1.7
Definite employment plans (%)d,,,
Academe,33.1,32.5,34.5
In tenure track faculty position (%),45.9,47.3,42.5
Not in tenure track position (%),52.6,50.5,57.5
Government,14.7,9.1,28.4
Industry or businesse,44.0,52.8,22.4
Nonprofit organization,4.7,2.1,11.2
Other or unknownf,3.5,3.5,3.4
Primary activityg,,,
Research and development,55.9,62.2,40.4
Teaching,17.6,16.1,21.1
Management or administration,7.4,3.7,16.5
Professional services and other,19.1,18.0,22.0
Secondary activityg,,,
Research and development,21.5,19.9,25.7
Teaching,12.5,11.6,14.7
Management or administration,17.0,17.2,16.5
Professional services and other,13.6,15.0,10.1
No secondary activity,35.4,36.3,33.0
Activity unknown,6.5,6.6,6.0
Postgraduation location (%)h,,,
United Statesi,88.2,88.2,88.1
Midwest,23.2,28.2,12.3
Northeast,8.6,7.8,10.2
South,32.2,32.7,30.9
West,23.6,18.4,34.7
Outside the United States,11.7,11.6,11.9
Location unknown,0.1,0.2,0.0
Postgraduation location in same state as doctorate institution (%),43.3,40.8,48.7
Male doctorate recipients reporting postgraduation status (number),549,374,175
Definite postdoctoral training plans,31.0,29.4,34.3
Definite employment plans,38.8,42.0,32.0
Seeking employment or study,27.9,26.5,30.9
Other statusa,2.4,2.1,2.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,97.6,97.3,98.3
Other training or unknownc,2.4,2.7,1.7
Definite employment plans (%)d,,,
Academe,31.0,29.9,33.9
In tenure track faculty position (%),47.0,44.7,52.6
Not in tenure track position (%),50.0,51.1,47.4
Government,15.0,D,D
Industry or businesse,47.4,56.1,23.2
Nonprofit organization,4.7,D,D
Other or unknownf,1.9,1.3,3.6
Primary activityg,,,
Research and development,61.0,66.7,45.3
Teaching,14.0,D,D
Management or administration,8.0,D,D
Professional services and other,17.0,15.6,20.8
Secondary activityg,,,
Research and development,20.0,17.7,26.4
Teaching,14.0,12.9,17.0
Management or administration,17.5,17.0,18.9
Professional services and other,16.0,17.7,11.3
No secondary activity,32.5,34.7,26.4
Activity unknown,6.1,6.4,5.4
Postgraduation location (%)h,,,
United Statesi,84.9,85.0,84.5
Midwest,23.2,28.5,11.2
Northeast,7.3,6.4,9.5
South,32.4,33.0,31.0
West,21.4,16.5,32.8
Outside the United States,14.9,14.6,15.5
Location unknown,0.3,0.4,0.0
Postgraduation location in same state as doctorate institution (%),36.8,36.7,37.1
Female doctorate recipients reporting postgraduation status (number),559,358,201
Definite postdoctoral training plans,31.1,31.8,29.9
Definite employment plans,33.8,36.0,29.9
Seeking employment or study,32.9,29.3,39.3
Other statusa,2.1,2.8,1.0
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,96.0,94.7,98.3
Other training or unknownc,4.0,5.3,1.7
Definite employment plans (%)d,,,
Academe,35.4,35.7,35.0
In tenure track faculty position (%),44.8,50.0,33.3
Not in tenure track position (%),55.2,50.0,66.7
Government,14.3,D,D
Industry or businesse,40.2,48.8,21.7
Nonprofit organization,4.8,D,D
Other or unknownf,5.3,6.2,3.3
Primary activityg,,,
Research and development,50.0,56.7,35.7
Teaching,21.6,D,D
Management or administration,6.8,D,D
Professional services and other,21.6,20.8,23.2
Secondary activityg,,,
Research and development,23.3,22.5,25.0
Teaching,10.8,10.0,12.5
Management or administration,16.5,17.5,14.3
Professional services and other,10.8,11.7,8.9
No secondary activity,38.6,38.3,39.3
Activity unknown,6.9,7.0,6.7
Postgraduation location (%)h,,,
United Statesi,91.7,91.8,91.7
Midwest,23.1,28.0,13.3
Northeast,9.9,9.5,10.8
South,32.0,32.5,30.8
West,25.9,20.6,36.7
Outside the United States,8.3,8.2,8.3
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),50.1,45.3,60.0
