Table 9-5,,,
"Computer and information sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,All computer and information sciences fields,Computer science,"Computer and information sciences, other"
Doctorate recipients reporting postgraduation status (number),"1,978","1,384",594
Definite postdoctoral training plans,17.7,18.0,17.0
Definite employment plans,60.3,60.2,60.6
Seeking employment or study,20.5,20.5,20.5
Other statusa,1.5,1.3,1.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.1,94.8,96.0
Other training or unknownc,4.9,5.2,4.0
Definite employment plans (%)d,,,
Academe,26.9,24.0,33.6
In tenure track faculty position (%),68.8,73.0,62.0
Not in tenure track position (%),25.2,22.0,30.6
Government,3.5,2.9,5.0
Industry or businesse,65.8,69.6,56.9
Nonprofit organization,2.5,2.2,3.3
Other or unknownf,1.3,1.3,1.1
Primary activityg,,,
Research and development,67.2,69.1,63.0
Teaching,15.9,14.4,19.2
Management or administration,1.9,0.8,4.6
Professional services and other,14.9,15.7,13.2
Secondary activityg,,,
Research and development,20.7,20.3,21.5
Teaching,11.8,10.6,14.6
Management or administration,7.5,6.5,9.7
Professional services and other,14.5,13.4,16.9
No secondary activity,45.5,49.2,37.2
Activity unknown,5.1,6.0,3.1
Postgraduation location (%)h,,,
United Statesi,90.1,90.9,88.1
Midwest,9.3,9.1,10.0
Northeast,20.7,21.0,20.2
South,18.2,15.5,24.5
West,41.4,45.3,32.3
Outside the United States,9.7,8.9,11.5
Location unknown,0.3,0.2,0.4
Postgraduation location in same state as doctorate institution (%),32.3,31.1,35.1
Male doctorate recipients reporting postgraduation status (number),"1,507","1,085",422
Definite postdoctoral training plans,17.4,17.6,16.8
Definite employment plans,61.3,61.0,62.1
Seeking employment or study,20.0,20.1,19.7
Other statusa,1.3,1.3,1.4
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,94.7,94.8,94.4
Other training or unknownc,5.3,5.2,5.6
Definite employment plans (%)d,,,
Academe,24.6,21.9,31.3
In tenure track faculty position (%),68.7,71.7,63.4
Not in tenure track position (%),24.7,22.1,29.3
Government,4.0,D,D
Industry or businesse,67.6,71.1,58.8
Nonprofit organization,2.4,D,D
Other or unknownf,1.4,1.4,1.5
Primary activityg,,,
Research and development,69.5,71.0,65.7
Teaching,13.5,12.3,16.5
Management or administration,D,D,3.5
Professional services and other,D,D,14.2
Secondary activityg,,,
Research and development,18.8,18.1,20.5
Teaching,11.9,10.6,15.0
Management or administration,7.6,6.5,10.2
Professional services and other,15.4,14.2,18.5
No secondary activity,46.3,50.6,35.8
Activity unknown,5.4,6.3,3.1
Postgraduation location (%)h,,,
United Statesi,90.4,91.3,88.0
Midwest,9.0,8.4,10.5
Northeast,20.0,19.9,20.1
South,17.6,15.5,23.1
West,43.4,47.4,33.3
Outside the United States,9.4,8.4,11.7
Location unknown,0.3,0.2,0.3
Postgraduation location in same state as doctorate institution (%),32.5,30.9,36.6
Female doctorate recipients reporting postgraduation status (number),471,299,172
Definite postdoctoral training plans,18.7,19.4,17.4
Definite employment plans,57.1,57.2,57.0
Seeking employment or study,22.3,22.1,22.7
Other statusa,1.9,1.3,2.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,96.6,94.8,100.0
Other training or unknownc,3.4,5.2,0.0
Definite employment plans (%)d,,,
Academe,34.9,32.2,39.8
In tenure track faculty position (%),69.1,76.4,59.0
Not in tenure track position (%),26.6,21.8,33.3
Government,1.9,D,D
Industry or businesse,59.5,63.7,52.0
Nonprofit organization,3.0,D,D
Other or unknownf,0.7,1.2,0.0
Primary activityg,,,
Research and development,59.7,62.0,55.8
Teaching,24.0,22.7,26.3
Management or administration,D,D,7.4
Professional services and other,D,D,10.5
Secondary activityg,,,
Research and development,27.1,28.8,24.2
Teaching,11.6,10.4,13.7
Management or administration,7.4,6.7,8.4
Professional services and other,11.2,10.4,12.6
No secondary activity,42.6,43.6,41.1
Activity unknown,4.1,4.7,3.1
Postgraduation location (%)h,,,
United Statesi,89.1,89.5,88.3
Midwest,10.4,11.4,8.6
Northeast,23.2,24.9,20.3
South,20.2,15.7,28.1
West,34.7,37.6,29.7
Outside the United States,10.6,10.5,10.9
Location unknown,0.3,0.0,0.8
Postgraduation location in same state as doctorate institution (%),31.4,31.4,31.3
