Table 9-6,,,,,,,,,,
"Engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,,,,,
(Number and percent),,,,,,,,,,
Characteristic,All engineering fields,"Biological, biomedical, and biosystems engineering",Chemical and petroleum engineering,"Civil, environmental, and transportation engineering",Electrical and computer engineering,Engineering technologies,Industrial engineering and operations research,Materials and mining engineering,Mechanical engineering,"Engineering, other"
Doctorate recipients reporting postgraduation status (number),"8,754","1,015","1,197",939,"1,866",438,563,601,"1,274",861
Definite postdoctoral training plans,26.0,33.6,27.1,29.0,17.2,26.3,16.2,30.9,29.1,30.0
Definite employment plans,41.6,28.3,37.0,34.7,55.4,38.6,59.9,32.1,39.5,40.5
Seeking employment or study,30.3,32.5,34.5,34.6,25.7,33.1,22.7,35.6,30.1,27.1
Other statusa,2.0,5.6,1.3,1.7,1.7,2.1,1.2,1.0,1.3,2.3
Definite postdoctoral training plans (%)b,,,,,,,,,,
Postdoc fellowship or research associateship,95.8,94.7,96.9,95.6,94.1,93.9,95.6,97.8,97.0,95.7
Other training or unknownc,4.2,5.3,3.1,4.4,5.9,6.1,4.4,2.2,3.0,4.3
Definite employment plans (%)d,,,,,,,,,,
Academe,15.6,15.3,5.6,24.8,13.6,14.8,29.1,8.3,14.5,18.9
In tenure track faculty position (%),50.9,29.5,36.0,67.9,56.4,52.0,63.3,31.3,41.1,34.8
Not in tenure track position (%),42.4,68.2,52.0,30.9,39.3,40.0,26.5,62.5,50.7,53.0
Government,7.3,4.2,3.2,13.5,D,D,6.8,6.7,10.5,16.0
Industry or businesse,71.6,76.3,87.8,53.4,78.0,72.8,57.3,80.3,69.6,57.0
Nonprofit organization,3.5,2.4,2.0,3.4,D,D,5.0,3.1,4.0,7.2
Other or unknownf,2.0,1.7,1.4,4.9,1.8,3.6,1.8,1.6,1.4,0.9
Primary activityg,,,,,,,,,,
Research and development,65.4,63.2,75.7,33.7,71.4,63.8,61.3,71.3,64.6,68.5
Teaching,7.7,6.1,3.1,14.1,6.6,8.0,12.7,3.9,7.9,8.6
Management or administration,2.5,5.1,D,4.2,0.9,D,5.9,D,2.1,4.8
Professional services and other,24.4,25.6,D,48.0,21.1,D,20.1,D,25.4,18.2
Secondary activityg,,,,,,,,,,
Research and development,18.3,16.2,12.5,27.1,18.3,16.0,21.1,15.5,20.7,16.1
Teaching,6.9,3.6,2.2,11.4,6.3,10.4,15.5,3.3,6.0,6.8
Management or administration,11.5,22.4,13.0,14.1,6.9,11.7,7.4,14.9,11.9,13.1
Professional services and other,19.0,18.1,20.4,10.1,20.1,19.6,19.8,21.0,19.0,20.8
No secondary activity,44.3,39.7,51.9,37.6,48.5,42.3,36.2,45.3,42.4,43.2
Activity unknown,4.9,3.5,6.1,5.8,4.2,3.6,4.2,6.2,6.8,3.7
Postgraduation location (%)h,,,,,,,,,,
