Table 9-7,,,
"Geosciences, atmospheric, and ocean sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,"All geosciences, atmospheric, and ocean sciences fields",Geological and earth sciences,Ocean/ marine sciences and atmospheric science
Doctorate recipients reporting postgraduation status (number),981,570,411
Definite postdoctoral training plans,48.5,42.8,56.4
Definite employment plans,25.2,28.6,20.4
Seeking employment or study,25.8,28.1,22.6
Other statusa,0.5,0.5,0.5
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,99.2,98.8,99.6
Other training or unknownc,0.8,1.2,0.4
Definite employment plans (%)d,,,
Academe,30.0,29.4,31.0
In tenure track faculty position (%),25.7,D,D
Not in tenure track position (%),66.2,60.4,76.9
Government,26.7,20.2,39.3
Industry or businesse,35.2,42.3,21.4
Nonprofit organization,4.9,D,D
Other or unknownf,3.2,D,D
Primary activityg,,,
Research and development,52.8,47.1,64.1
Teaching,16.5,17.6,14.1
Management or administration,4.8,D,D
Professional services and other,26.0,D,D
Secondary activityg,,,
Research and development,23.8,28.8,14.1
Teaching,8.2,7.8,9.0
Management or administration,10.0,7.2,15.4
Professional services and other,16.5,17.6,14.1
No secondary activity,41.6,38.6,47.4
Activity unknown,6.5,6.1,7.1
Postgraduation location (%)h,,,
United Statesi,88.9,88.0,90.2
Midwest,8.4,10.8,5.4
Northeast,16.2,14.0,19.0
South,27.5,26.0,29.4
West,36.0,36.9,34.8
Outside the United States,11.1,12.0,9.8
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),40.2,39.6,41.1
Male doctorate recipients reporting postgraduation status (number),549,338,211
Definite postdoctoral training plans,47.5,41.7,56.9
Definite employment plans,27.0,29.9,22.3
Seeking employment or study,25.1,27.8,20.9
Other statusa,0.4,0.6,0.0
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,99.2,98.6,100.0
Other training or unknownc,0.8,1.4,0.0
Definite employment plans (%)d,,,
Academe,25.0,22.8,29.8
In tenure track faculty position (%),21.6,34.8,0.0
Not in tenure track position (%),67.6,52.2,92.9
Government,27.7,21.8,40.4
Industry or businesse,D,45.5,D
Nonprofit organization,D,5.9,D
Other or unknownf,4.1,4.0,4.3
Primary activityg,,,
Research and development,56.8,50.5,70.5
Teaching,13.7,13.7,13.6
Management or administration,D,D,0.0
Professional services and other,D,D,15.9
Secondary activityg,,,
Research and development,22.3,26.3,13.6
Teaching,7.2,D,D
Management or administration,D,D,D
Professional services and other,D,D,D
No secondary activity,37.4,37.9,36.4
Activity unknown,6.1,5.9,6.4
Postgraduation location (%)h,,,
United Statesi,89.7,89.7,89.8
Midwest,8.3,9.9,6.0
Northeast,13.9,10.7,18.6
South,31.1,28.9,34.1
West,35.5,39.7,29.3
Outside the United States,10.3,10.3,10.2
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),44.0,44.2,43.7
Female doctorate recipients reporting postgraduation status (number),432,232,200
Definite postdoctoral training plans,49.8,44.4,56.0
Definite employment plans,22.9,26.7,18.5
Seeking employment or study,26.6,28.4,24.5
Other statusa,0.7,0.4,1.0
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,99.1,99.0,99.1
Other training or unknownc,0.9,1.0,0.9
Definite employment plans (%)d,,,
Academe,37.4,40.3,32.4
In tenure track faculty position (%),29.7,D,D
Not in tenure track position (%),64.9,68.0,58.3
Government,25.3,17.7,37.8
Industry or businesse,D,37.1,D
Nonprofit organization,D,D,D
Other or unknownf,2.0,D,D
Primary activityg,,,
Research and development,46.7,41.4,55.9
Teaching,20.7,24.1,14.7
Management or administration,D,D,D
Professional services and other,D,D,D
Secondary activityg,,,
Research and development,26.1,32.8,14.7
Teaching,9.8,D,D
Management or administration,D,D,D
Professional services and other,D,D,D
No secondary activity,47.8,39.7,61.8
Activity unknown,7.1,6.5,8.1
Postgraduation location (%)h,,,
United Statesi,87.9,85.5,90.6
Midwest,8.6,12.1,4.7
Northeast,19.1,18.8,19.5
South,22.9,21.8,24.2
West,36.6,32.7,40.9
Outside the United States,12.1,14.5,9.4
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.4,32.7,38.3
