Table 9-8,,,,,
"Health sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
(Number and percent),,,,,
Characteristic,All health sciences fields,Nursing and nursing science,Pharmacy and pharmaceutical sciences,Public health,"Health sciences, other"
Doctorate recipients reporting postgraduation status (number),"2,328",554,361,645,768
Definite postdoctoral training plans,25.1,15.7,29.9,30.7,25.0
Definite employment plans,47.7,60.6,40.4,42.3,46.2
Seeking employment or study,24.1,21.5,29.1,24.0,23.6
Other statusa,3.1,2.2,0.6,2.9,5.1
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,88.9,97.7,93.5,81.8,89.6
Other training or unknownc,11.1,2.3,6.5,18.2,10.4
Definite employment plans (%)d,,,,,
Academe,47.7,61.6,12.3,46.2,50.1
In tenure track faculty position (%),39.9,32.4,D,D,52.2
Not in tenure track position (%),53.7,57.0,D,D,44.9
Government,8.7,7.4,6.2,14.7,6.5
Industry or businesse,25.9,10.4,75.3,18.3,25.9
Nonprofit organization,14.5,17.0,4.1,17.6,14.1
Other or unknownf,3.2,3.6,2.1,3.3,3.4
Primary activityg,,,,,
Research and development,29.1,6.9,76.6,37.8,24.2
Teaching,32.5,54.5,7.3,21.2,30.7
Management or administration,13.5,17.9,3.6,16.2,11.2
Professional services and other,24.9,20.7,12.4,24.7,33.9
Secondary activityg,,,,,
Research and development,29.9,35.7,13.1,30.5,30.7
Teaching,16.5,16.6,4.4,16.6,21.2
Management or administration,15.7,12.5,18.2,19.3,15.0
Professional services and other,11.2,11.0,9.5,10.4,12.7
No secondary activity,26.7,24.1,54.7,23.2,20.4
Activity unknown,5.0,5.1,6.2,5.1,4.5
Postgraduation location (%)h,,,,,
United Statesi,93.0,93.1,92.5,92.1,93.8
Midwest,19.6,17.7,18.9,16.6,23.9
Northeast,19.4,22.9,23.6,19.5,14.4
South,34.7,35.2,25.2,37.6,36.2
West,18.8,17.3,24.8,17.4,18.3
Outside the United States,6.9,6.9,7.5,7.4,6.2
Location unknown,0.1,0.0,0.0,0.4,0.0
Postgraduation location in same state as doctorate institution (%),45.4,56.3,33.5,44.4,43.3
Male doctorate recipients reporting postgraduation status (number),721,62,173,205,281
Definite postdoctoral training plans,30.7,24.2,32.4,32.7,29.5
Definite employment plans,43.0,45.2,39.9,42.9,44.5
Seeking employment or study,23.3,29.0,27.2,22.4,20.3
Other statusa,2.9,1.6,0.6,2.0,5.3
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,84.2,100.0,94.6,67.2,88.0
Other training or unknownc,15.8,0.0,5.4,32.8,12.0
Definite employment plans (%)d,,,,,
Academe,41.9,50.0,14.5,46.6,52.0
In tenure track faculty position (%),53.8,42.9,D,D,61.5
Not in tenure track position (%),40.8,42.9,D,D,33.8
Government,7.4,D,D,12.5,4.0
Industry or businesse,36.1,D,D,17.0,32.0
Nonprofit organization,11.9,D,D,19.3,9.6
Other or unknownf,2.6,0.0,1.4,4.5,2.4
Primary activityg,,,,,
Research and development,42.2,D,D,45.1,31.1
Teaching,22.3,40.7,7.7,18.3,28.7
Management or administration,10.8,D,D,15.9,12.3
Professional services and other,24.7,44.4,15.4,20.7,27.9
Secondary activityg,,,,,
Research and development,27.4,37.0,15.4,29.3,30.3
Teaching,17.2,D,D,19.5,21.3
Management or administration,16.6,D,D,15.9,15.6
Professional services and other,11.8,D,D,17.1,10.7
No secondary activity,27.0,29.6,46.2,18.3,22.1
Activity unknown,4.5,3.6,5.8,6.8,2.4
Postgraduation location (%)h,,,,,
United Statesi,92.1,88.4,92.8,89.0,94.7
Midwest,19.2,16.3,16.0,16.8,23.6
Northeast,17.7,20.9,27.2,18.1,11.1
South,32.6,25.6,22.4,36.8,37.0
West,22.2,25.6,27.2,17.4,22.1
Outside the United States,7.7,11.6,7.2,10.3,5.3
Location unknown,0.2,0.0,0.0,0.6,0.0
Postgraduation location in same state as doctorate institution (%),39.2,51.2,31.2,37.4,42.8
Female doctorate recipients reporting postgraduation status (number),"1,607",492,188,440,487
Definite postdoctoral training plans,22.7,14.6,27.7,29.8,22.4
Definite employment plans,49.8,62.6,41.0,42.0,47.2
Seeking employment or study,24.4,20.5,30.9,24.8,25.5
Other statusa,3.2,2.2,0.5,3.4,4.9
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,91.8,97.2,92.3,89.3,90.8
Other training or unknownc,8.2,2.8,7.7,10.7,9.2
Definite employment plans (%)d,,,,,
Academe,49.9,62.7,10.4,45.9,49.1
In tenure track faculty position (%),35.3,31.6,D,D,46.9
Not in tenure track position (%),57.9,58.0,D,D,51.3
Government,9.3,D,D,15.7,7.8
Industry or businesse,21.9,D,D,18.9,22.6
Nonprofit organization,15.5,D,D,16.8,16.5
Other or unknownf,3.5,3.9,2.6,2.7,3.9
Primary activityg,,,,,
Research and development,24.0,D,D,34.5,20.3
Teaching,36.5,55.8,6.9,22.6,31.8
Management or administration,14.5,D,D,16.4,10.6
Professional services and other,24.9,18.5,9.7,26.6,37.3
Secondary activityg,,,,,
Research and development,30.9,35.6,11.1,31.1,30.9
Teaching,16.2,D,D,15.3,21.2
Management or administration,15.4,D,D,20.9,14.7
Professional services and other,10.9,D,D,7.3,13.8
No secondary activity,26.5,23.6,62.5,25.4,19.4
Activity unknown,5.3,5.2,6.5,4.3,5.7
Postgraduation location (%)h,,,,,
United Statesi,93.4,93.7,92.2,93.7,93.2
Midwest,19.8,17.9,21.7,16.5,24.2
Northeast,20.1,23.2,20.2,20.3,16.5
South,35.7,36.3,27.9,38.0,35.7
West,17.2,16.3,22.5,17.4,15.9
Outside the United States,6.5,6.3,7.8,6.0,6.8
Location unknown,0.1,0.0,0.0,0.3,0.0
Postgraduation location in same state as doctorate institution (%),48.2,56.8,35.7,47.8,43.7
