Table 9-9,,,,
"Mathematics and statistics research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,
(Number and percent),,,,
Characteristic,All mathematics and statistics fields,Applied mathematics,Mathematics,Statistics
Doctorate recipients reporting postgraduation status (number),"1,769",452,742,575
Definite postdoctoral training plans,33.9,34.5,41.9,23.0
Definite employment plans,38.4,34.5,26.5,56.9
Seeking employment or study,25.6,28.3,30.2,17.6
Other statusa,2.1,2.7,1.3,2.6
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,98.0,96.8,98.7,97.7
Other training or unknownc,2.0,3.2,1.3,2.3
Definite employment plans (%)d,,,,
Academe,33.7,28.8,49.7,26.3
In tenure track faculty position (%),47.6,44.4,38.8,59.3
Not in tenure track position (%),47.2,40.0,57.1,39.5
Government,4.0,D,4.1,D
Industry or businesse,57.5,61.5,38.6,67.0
Nonprofit organization,2.9,D,3.6,D
Other or unknownf,1.9,1.3,4.1,0.9
Primary activityg,,,,
Research and development,51.2,55.0,30.7,61.9
Teaching,26.8,18.8,52.1,15.2
Management or administration,0.8,D,D,D
Professional services and other,21.2,D,D,D
Secondary activityg,,,,
Research and development,28.5,24.2,36.5,25.7
Teaching,6.7,D,D,10.5
Management or administration,7.8,D,D,6.3
Professional services and other,17.1,17.4,10.4,21.0
No secondary activity,39.9,45.6,41.1,36.5
Activity unknown,3.5,4.5,2.5,3.7
Postgraduation location (%)h,,,,
United Statesi,82.0,88.1,71.1,90.0
Midwest,15.3,12.5,15.9,16.6
Northeast,21.8,23.1,22.6,20.0
South,19.9,23.4,16.3,21.6
West,24.6,28.5,16.1,31.4
Outside the United States,17.9,11.9,28.7,10.0
Location unknown,0.1,0.0,0.2,0.0
Postgraduation location in same state as doctorate institution (%),23.9,29.5,16.9,27.9
Male doctorate recipients reporting postgraduation status (number),"1,276",315,579,382
Definite postdoctoral training plans,36.5,35.6,43.5,26.7
Definite employment plans,34.6,34.6,22.5,53.1
Seeking employment or study,26.9,27.6,32.8,17.3
Other statusa,2.0,2.2,1.2,2.9
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,98.3,95.5,99.2,99.0
Other training or unknownc,1.7,4.5,0.8,1.0
Definite employment plans (%)d,,,,
Academe,31.9,29.4,46.9,23.6
In tenure track faculty position (%),46.8,46.9,36.1,60.4
Not in tenure track position (%),47.5,37.5,59.0,39.6
Government,3.8,D,D,3.4
Industry or businesse,D,D,D,69.5
Nonprofit organization,D,D,5.4,3.0
Other or unknownf,1.6,1.8,3.1,0.5
Primary activityg,,,,
Research and development,53.5,60.2,32.5,63.5
Teaching,25.1,19.4,48.4,13.2
Management or administration,1.2,D,D,D
Professional services and other,20.2,D,D,D
Secondary activityg,,,,
Research and development,29.1,24.3,38.1,25.9
Teaching,6.6,4.9,D,D
Management or administration,8.7,9.7,D,D
Professional services and other,18.1,20.4,9.5,22.3
No secondary activity,37.6,40.8,38.9,35.0
Activity unknown,3.6,5.5,3.1,3.0
Postgraduation location (%)h,,,,
United Statesi,80.3,87.8,68.1,90.2
Midwest,14.5,11.8,14.4,16.7
Northeast,22.5,25.3,22.8,20.0
South,19.5,23.5,15.7,21.3
West,23.5,26.2,15.2,31.8
Outside the United States,19.6,12.2,31.7,9.8
Location unknown,0.1,0.0,0.3,0.0
Postgraduation location in same state as doctorate institution (%),23.7,28.5,16.0,29.8
Female doctorate recipients reporting postgraduation status (number),493,137,163,193
Definite postdoctoral training plans,27.0,32.1,36.2,15.5
Definite employment plans,48.3,34.3,41.1,64.2
Seeking employment or study,22.3,29.9,20.9,18.1
Other statusa,2.4,3.6,1.8,2.1
Definite postdoctoral training plans (%)b,,,,
Postdoc fellowship or research associateship,97.0,100.0,96.6,93.3
Other training or unknownc,3.0,0.0,3.4,6.7
Definite employment plans (%)d,,,,
Academe,37.0,27.7,55.2,30.6
In tenure track faculty position (%),48.9,38.5,43.2,57.9
Not in tenure track position (%),46.6,46.2,54.1,39.5
Government,4.2,D,D,D
Industry or businesse,D,D,D,62.9
Nonprofit organization,D,D,0.0,D
Other or unknownf,2.5,0.0,6.0,1.6
Primary activityg,,,,
Research and development,47.0,43.5,27.3,59.3
Teaching,30.0,17.4,59.1,18.6
Management or administration,0.0,0.0,0.0,0.0
Professional services and other,23.0,39.1,13.6,22.0
Secondary activityg,,,,
Research and development,27.4,23.9,33.3,25.4
Teaching,7.0,D,0.0,D
Management or administration,6.1,D,9.1,D
Professional services and other,15.2,10.9,12.1,18.6
No secondary activity,44.3,56.5,45.5,39.0
Activity unknown,3.4,2.1,1.5,4.8
Postgraduation location (%)h,,,,
United Statesi,86.3,89.0,80.2,89.6
Midwest,17.3,14.3,20.6,16.2
Northeast,20.2,17.6,22.2,20.1
South,21.0,23.1,18.3,22.1
West,27.5,34.1,19.0,30.5
Outside the United States,13.7,11.0,19.8,10.4
Location unknown,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),24.5,31.9,19.8,24.0
