Table 9-10,,,
"Multidisciplinary/ interdisciplinary sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,
(Number and percent),,,
Characteristic,All multidisciplinary/ interdisciplinary sciences fields,Interdisciplinary computer sciences,"Multidisciplinary/ interdisciplinary sciences, other"
Doctorate recipients reporting postgraduation status (number),"1,178",423,755
Definite postdoctoral training plans,27.0,21.0,30.3
Definite employment plans,44.5,56.0,38.0
Seeking employment or study,26.2,21.5,28.9
Other statusa,2.2,1.4,2.6
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,95.3,96.6,94.8
Other training or unknownc,4.7,3.4,5.2
Definite employment plans (%)d,,,
Academe,27.5,20.7,33.1
In tenure track faculty position (%),54.2,73.5,44.2
Not in tenure track position (%),42.4,24.5,51.6
Government,7.1,3.8,9.8
Industry or businesse,56.7,70.5,45.3
Nonprofit organization,5.7,3.8,7.3
Other or unknownf,3.1,1.3,4.5
Primary activityg,,,
Research and development,54.5,64.9,45.4
Teaching,17.6,D,D
Management or administration,4.9,D,D
Professional services and other,23.0,24.6,21.5
Secondary activityg,,,
Research and development,24.6,22.8,26.2
Teaching,11.7,8.8,14.2
Management or administration,9.6,6.6,12.3
Professional services and other,16.6,17.1,16.2
No secondary activity,37.5,44.7,31.2
Activity unknown,6.9,3.8,9.4
Postgraduation location (%)h,,,
United Statesi,90.9,92.9,89.5
Midwest,14.8,16.0,14.1
Northeast,19.7,16.0,22.1
South,22.3,13.8,27.7
West,33.4,46.6,25.0
Outside the United States,9.1,7.1,10.5
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),39.3,38.7,39.7
Male doctorate recipients reporting postgraduation status (number),701,331,370
Definite postdoctoral training plans,24.0,20.2,27.3
Definite employment plans,46.2,55.3,38.1
Seeking employment or study,28.4,23.0,33.2
Other statusa,1.4,1.5,1.4
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,97.6,97.0,98.0
Other training or unknownc,2.4,3.0,2.0
Definite employment plans (%)d,,,
Academe,21.9,D,D
In tenure track faculty position (%),62.0,69.7,55.3
Not in tenure track position (%),35.2,D,D
Government,6.2,D,D
Industry or businesse,64.2,72.1,53.9
Nonprofit organization,4.9,D,D
Other or unknownf,2.8,1.6,4.3
Primary activityg,,,
Research and development,55.7,62.3,46.9
Teaching,15.7,10.3,23.1
Management or administration,3.6,D,D
Professional services and other,24.9,D,D
Secondary activityg,,,
Research and development,25.6,24.0,27.7
Teaching,9.5,6.3,13.8
Management or administration,8.5,D,D
Professional services and other,16.1,17.7,13.8
No secondary activity,40.3,D,D
Activity unknown,5.9,4.4,7.8
Postgraduation location (%)h,,,
United Statesi,90.7,93.6,87.6
Midwest,14.6,16.4,12.8
Northeast,17.3,14.8,19.8
South,20.9,14.0,28.1
West,37.2,47.6,26.4
Outside the United States,9.3,6.4,12.4
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),37.8,39.2,36.4
Female doctorate recipients reporting postgraduation status (number),477,92,385
Definite postdoctoral training plans,31.4,23.9,33.2
Definite employment plans,41.9,58.7,37.9
Seeking employment or study,23.1,16.3,24.7
Other statusa,3.4,1.1,3.9
Definite postdoctoral training plans (%)b,,,
Postdoc fellowship or research associateship,92.7,95.5,92.2
Other training or unknownc,7.3,4.5,7.8
Definite employment plans (%)d,,,
Academe,36.5,D,D
In tenure track faculty position (%),46.6,81.3,36.8
Not in tenure track position (%),49.3,D,D
Government,8.5,D,D
Industry or businesse,44.5,64.8,37.0
Nonprofit organization,7.0,D,D
Other or unknownf,3.5,0.0,4.8
Primary activityg,,,
Research and development,52.5,73.6,43.8
Teaching,20.8,D,D
Management or administration,7.1,D,D
Professional services and other,19.7,D,D
Secondary activityg,,,
Research and development,23.0,18.9,24.6
Teaching,15.3,17.0,14.6
Management or administration,11.5,D,D
Professional services and other,17.5,15.1,18.5
No secondary activity,32.8,D,D
Activity unknown,8.5,1.9,11.0
Postgraduation location (%)h,,,
United Statesi,91.1,90.8,91.2
Midwest,15.1,14.5,15.3
Northeast,23.1,19.7,24.1
South,24.3,13.2,27.4
West,28.0,43.4,23.7
Outside the United States,8.9,9.2,8.8
Location unknown,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),41.4,36.8,42.7
