Table 9-11,,,,,
"Physical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
(Number and percent),,,,,
Characteristic,All physical sciences fields,Astronomy and astrophysics,Chemistry,Materials sciences,Physics
Doctorate recipients reporting postgraduation status (number),"4,478",251,"2,176",418,"1,633"
Definite postdoctoral training plans,42.3,61.0,39.4,34.9,45.3
Definite employment plans,27.9,16.3,31.0,29.7,25.0
Seeking employment or study,27.7,20.3,27.5,33.3,27.6
Other statusa,1.9,2.4,2.0,2.2,1.7
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,98.4,99.3,97.6,98.6,99.1
Other training or unknownc,1.6,0.7,2.4,1.4,0.9
Definite employment plans (%)d,,,,,
Academe,13.2,31.7,13.3,8.9,12.5
In tenure track faculty position (%),27.3,D,28.9,D,25.5
Not in tenure track position (%),63.0,76.9,65.6,54.5,56.9
Government,5.2,0.0,4.7,6.5,6.1
Industry or businesse,75.9,46.3,77.5,79.0,75.3
Nonprofit organization,3.2,D,2.2,D,4.2
Other or unknownf,2.5,D,2.2,D,2.0
Primary activityg,,,,,
Research and development,66.9,35.0,69.4,64.9,66.7
Teaching,9.9,D,11.1,D,D
Management or administration,2.9,D,3.1,D,D
Professional services and other,20.2,37.5,16.5,26.3,23.0
Secondary activityg,,,,,
Research and development,14.0,30.0,10.8,19.3,16.3
Teaching,2.4,0.0,2.3,D,D
Management or administration,15.0,D,18.9,18.4,D
Professional services and other,12.0,D,8.6,D,17.3
No secondary activity,56.6,55.0,59.4,45.6,55.3
Activity unknown,4.6,2.4,3.7,8.1,5.4
Postgraduation location (%)h,,,,,
United Statesi,89.3,86.6,92.6,88.5,85.5
Midwest,15.3,13.4,17.3,14.1,13.2
Northeast,22.9,22.2,25.4,19.6,20.6
South,20.0,21.6,20.3,21.1,19.2
West,30.8,29.4,29.2,33.7,32.5
Outside the United States,10.6,13.4,7.2,11.5,14.4
Location unknown,0.1,0.0,0.1,0.0,0.1
Postgraduation location in same state as doctorate institution (%),31.2,30.9,32.8,37.0,27.6
Male doctorate recipients reporting postgraduation status (number),"3,025",154,"1,257",291,"1,323"
Definite postdoctoral training plans,43.8,60.4,42.4,37.5,44.6
Definite employment plans,26.2,14.9,29.0,27.5,24.6
