Table 9-12,,,,,
"Psychology research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
"(Number, percent, and median years)",,,,,
Characteristic,All psychology fields,Clinical psychology,Counseling and applied psychology,Research and experimental psychology,"Psychology, other"
Doctorate recipients reporting postgraduation status (number),"3,149","1,055","1,158",613,323
Definite postdoctoral training plans,47.1,72.7,33.8,37.0,30.7
Definite employment plans,31.8,15.4,43.0,35.7,37.5
Seeking employment or study,18.5,9.6,20.6,25.6,26.3
Other statusa,2.4,1.8,2.5,1.6,5.6
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,85.2,84.2,78.8,96.9,91.9
Other training or unknownc,14.8,15.8,21.2,3.1,8.1
Definite employment plans (%)d,,,,,
Academe,38.2,23.5,36.7,46.1,49.6
In tenure track faculty position (%),35.3,31.6,31.7,43.6,35.0
Not in tenure track position (%),61.3,63.2,65.6,54.5,58.3
Government,11.1,24.1,9.4,6.8,8.3
Industry or businesse,30.9,31.5,28.9,37.4,26.4
Nonprofit organization,9.7,16.7,8.2,6.8,11.6
Other or unknownf,10.1,4.3,16.7,2.7,4.1
Primary activityg,,,,,
Research and development,25.3,D,19.9,45.9,D
Teaching,21.9,6.0,18.4,32.5,36.4
Management or administration,7.1,D,10.4,4.3,D
Professional services and other,45.6,83.5,51.4,17.2,29.0
Secondary activityg,,,,,
Research and development,26.3,19.5,23.5,35.9,28.0
Teaching,13.9,13.5,14.7,12.4,14.0
Management or administration,13.0,D,14.0,11.0,D
Professional services and other,9.1,D,11.2,10.5,D
No secondary activity,37.6,49.6,36.5,30.1,42.1
Activity unknown,8.8,17.9,7.0,4.6,11.6
Postgraduation location (%)h,,,,,
United Statesi,96.8,98.3,97.5,93.0,95.5
Midwest,18.0,15.5,22.3,14.1,19.5
Northeast,24.4,28.5,19.5,27.4,20.9
South,29.1,25.2,33.9,28.5,28.2
West,24.8,28.7,21.1,22.9,26.4
Outside the United States,3.2,1.7,2.5,7.0,4.5
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.8,29.7,41.3,36.3,38.6
Male doctorate recipients reporting postgraduation status (number),872,277,297,214,84
Definite postdoctoral training plans,42.7,67.9,29.0,34.1,29.8
Definite employment plans,35.3,19.9,47.1,36.9,40.5
Seeking employment or study,19.7,9.7,21.5,27.6,26.2
Other statusa,2.2,2.5,2.0,1.4,3.6
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,83.6,80.9,76.7,94.5,96.0
Other training or unknownc,16.4,19.1,23.3,5.5,4.0
Definite employment plans (%)d,,,,,
Academe,35.7,21.8,34.3,41.8,50.0
In tenure track faculty position (%),34.5,D,37.5,D,41.2
Not in tenure track position (%),62.7,D,58.3,D,52.9
Government,13.3,30.9,13.6,D,D
Industry or businesse,35.1,29.1,34.3,44.3,26.5
Nonprofit organization,10.1,16.4,7.9,7.6,14.7
Other or unknownf,5.8,1.8,10.0,D,D
Primary activityg,,,,,
Research and development,26.2,D,22.7,D,29.0
Teaching,19.0,D,14.1,D,35.5
Management or administration,8.6,D,14.8,D,0.0
Professional services and other,46.2,80.4,48.4,25.7,35.5
Secondary activityg,,,,,
Research and development,26.5,19.6,20.3,37.8,35.5
Teaching,13.6,D,14.8,12.2,D
Management or administration,14.0,D,15.6,9.5,D
Professional services and other,11.8,D,17.2,8.1,D
No secondary activity,34.1,45.7,32.0,32.4,29.0
Activity unknown,9.4,16.4,8.6,6.3,8.8
Postgraduation location (%)h,,,,,
United Statesi,95.9,97.5,96.0,D,D
Midwest,18.5,17.7,20.8,13.8,25.4
Northeast,24.1,31.3,17.3,D,D
South,28.5,19.3,37.2,30.9,27.1
West,24.3,28.8,19.9,23.0,25.4
Outside the United States,4.1,2.5,4.0,D,D
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.4,30.0,40.3,36.2,37.3
Female doctorate recipients reporting postgraduation status (number),"2,277",778,861,399,239
Definite postdoctoral training plans,48.8,74.4,35.4,38.6,31.0
Definite employment plans,30.4,13.8,41.6,35.1,36.4
Seeking employment or study,18.0,9.5,20.3,24.6,26.4
Other statusa,2.5,1.5,2.7,1.8,6.3
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,85.8,85.3,79.3,98.1,90.5
Other training or unknownc,14.2,14.7,20.7,1.9,9.5
Definite employment plans (%)d,,,,,
Academe,39.3,24.3,37.7,48.6,49.4
In tenure track faculty position (%),35.7,D,29.6,D,32.6
Not in tenure track position (%),60.7,D,68.1,D,60.5
Government,10.1,20.6,7.8,D,D
Industry or businesse,29.0,32.7,26.8,33.6,26.4
Nonprofit organization,9.5,16.8,8.4,6.4,10.3
Other or unknownf,12.0,5.6,19.3,D,D
Primary activityg,,,,,
Research and development,25.0,D,18.8,D,D
Teaching,23.2,D,20.0,D,36.8
Management or administration,6.5,0.0,8.7,D,D
Professional services and other,45.3,85.1,52.5,12.6,26.3
Secondary activityg,,,,,
Research and development,26.2,19.5,24.8,34.8,25.0
Teaching,14.1,D,14.6,12.6,D
Management or administration,12.6,13.8,13.4,11.9,9.2
Professional services and other,7.9,D,9.0,11.9,D
No secondary activity,39.2,51.7,38.2,28.9,47.4
Activity unknown,8.5,18.7,6.4,3.6,12.6
Postgraduation location (%)h,,,,,
United Statesi,97.2,98.5,98.0,D,D
Midwest,17.8,14.7,22.8,14.3,17.4
Northeast,24.5,27.6,20.2,D,D
South,29.4,27.3,32.7,27.2,28.6
West,24.9,28.7,21.6,22.8,26.7
Outside the United States,2.8,1.5,2.0,D,D
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),36.0,29.6,41.6,36.4,39.1
